Slice	Count	Total Area	Average Size	%Area	Perim.	Major	Minor	Angle
501_8249_1.tif	213	28.526	0.134	0.146	1.412	0.527	0.322	94.328
506_9434_1.tif	351	49.415	0.141	0.252	1.465	0.550	0.325	93.441
505_8426_1.tif	303	38.397	0.127	0.196	1.360	0.498	0.323	89.487
503_8422_1.tif	398	52.336	0.131	0.267	1.377	0.494	0.337	94.702
508_8256_1.tif	297	37.072	0.125	0.189	1.344	0.489	0.324	92.819
495_8427_2.tif	283	36.045	0.127	0.184	1.365	0.498	0.325	84.583
502_8387_1.tif	320	40.387	0.126	0.206	1.338	0.476	0.337	89.905
500_8423_2.tif	425	57.850	0.136	0.295	1.416	0.521	0.332	92.033
507_8386_1.tif	404	52.413	0.130	0.268	1.362	0.491	0.335	85.231
409_9437_2.tif	368	45.615	0.124	0.233	1.341	0.487	0.323	94.068
410_6974_2.tif	345	43.749	0.127	0.223	1.363	0.489	0.330	91.908
408_6240_2.tif	181	26.293	0.145	0.134	1.468	0.546	0.338	89.678
411_6142_2.tif	357	45.419	0.127	0.232	1.358	0.495	0.327	88.334
1154_9339_1.tif	398	59.149	0.149	0.302	1.495	0.560	0.337	87.999
