 	Area	X	Y	Perim.	BX	BY	Width	Height	Major	Minor	Angle	XStart	YStart
1	0.237	30.091	3.411	1.822	29.803	3.133	0.550	0.550	0.551	0.549	95.593	1421	148
2	0.049	32.074	4.267	0.810	31.940	4.128	0.254	0.275	0.265	0.237	115.409	1514	195
3	0.125	67.447	18.789	1.364	67.225	18.584	0.444	0.402	0.473	0.338	39.784	3188	878
4	0.146	64.559	19.758	1.540	64.368	19.494	0.381	0.550	0.558	0.333	73.868	3049	921
5	0.134	73.190	20.333	1.399	72.940	20.130	0.487	0.423	0.510	0.335	32.646	3459	951
6	0.121	58.835	22.741	1.329	58.674	22.500	0.339	0.487	0.489	0.314	109.475	2775	1063
7	0.143	28.944	23.269	1.508	28.702	23.029	0.487	0.444	0.522	0.349	32.891	1367	1088
8	0.120	105.645	31.248	1.341	105.452	31.030	0.423	0.402	0.485	0.314	138.968	4983	1466
9	0.134	72.032	31.510	1.396	71.797	31.327	0.466	0.360	0.481	0.356	15.138	3402	1480
10	0.143	67.172	31.723	1.413	66.929	31.538	0.487	0.381	0.489	0.374	14.189	3171	1490
11	0.119	81.217	31.951	1.269	80.984	31.792	0.466	0.318	0.469	0.322	178.380	3834	1502
12	0.134	97.525	33.556	1.424	97.261	33.359	0.508	0.402	0.520	0.329	148.174	4600	1576
13	0.112	94.028	33.799	1.256	93.832	33.592	0.381	0.402	0.453	0.315	130.208	4438	1587
14	0.127	69.644	35.195	1.353	69.427	34.988	0.423	0.402	0.489	0.330	40.251	3291	1653
15	0.125	63.912	35.817	1.346	63.690	35.624	0.466	0.381	0.507	0.314	149.869	3012	1683
16	0.123	51.655	36.790	1.316	51.456	36.576	0.402	0.423	0.483	0.324	131.876	2435	1728
17	0.101	87.655	36.904	1.329	87.482	36.661	0.360	0.466	0.449	0.286	95.909	4140	1732
18	0.134	73.971	36.990	1.401	73.808	36.724	0.339	0.529	0.519	0.329	81.596	3494	1735
19	0.043	33.562	37.090	0.775	33.422	36.978	0.275	0.212	0.298	0.182	28.204	1586	1747
20	0.117	109.618	37.324	1.334	109.410	37.105	0.402	0.444	0.495	0.302	126.519	5172	1753
21	0.123	107.710	37.527	1.334	107.484	37.317	0.444	0.402	0.488	0.322	145.533	5083	1763
22	0.131	33.993	37.725	1.364	33.761	37.528	0.466	0.402	0.506	0.329	145.038	1599	1773
23	0.127	85.409	37.845	1.366	85.154	37.698	0.508	0.318	0.498	0.326	177.319	4029	1781
24	0.127	96.652	37.929	1.388	96.414	37.719	0.466	0.402	0.509	0.318	35.358	4570	1782
25	0.126	79.375	38.210	1.364	79.142	38.015	0.466	0.402	0.505	0.319	140.688	3742	1796
26	0.116	41.373	38.462	1.291	41.169	38.248	0.381	0.444	0.465	0.318	126.690	1951	1807
27	0.144	93.772	40.350	1.473	93.536	40.132	0.487	0.423	0.543	0.337	144.909	4424	1896
28	0.125	32.265	40.665	1.359	32.068	40.428	0.381	0.466	0.490	0.324	58.818	1527	1910
29	0.118	75.120	41.256	1.286	74.930	41.042	0.381	0.423	0.484	0.310	128.496	3543	1939
30	0.133	73.554	41.907	1.468	73.300	41.741	0.508	0.339	0.521	0.325	13.222	3468	1972
31	0.146	62.319	42.159	1.450	62.061	41.995	0.529	0.339	0.544	0.341	175.199	2937	1984
32	0.112	78.752	43.446	1.261	78.528	43.265	0.444	0.360	0.453	0.316	26.143	3722	2044
33	0.128	34.149	45.013	1.359	33.930	44.810	0.444	0.402	0.492	0.332	35.005	1615	2117
34	0.109	16.364	45.212	1.251	16.192	45.000	0.339	0.423	0.476	0.291	120.540	767	2126
35	0.133	115.245	45.266	1.378	115.083	45.022	0.339	0.487	0.511	0.330	76.356	5442	2127
36	0.131	30.350	45.725	1.364	30.120	45.530	0.466	0.402	0.505	0.330	141.605	1426	2151
37	0.097	80.303	45.794	1.124	80.116	45.635	0.381	0.318	0.392	0.315	163.213	3789	2156
38	0.126	105.343	45.961	1.364	105.114	45.762	0.444	0.423	0.507	0.317	144.608	4971	2162
39	0.067	42.863	46.477	0.980	42.693	46.334	0.339	0.275	0.364	0.234	21.668	2026	2189
40	0.116	81.231	47.267	1.306	81.090	47.032	0.296	0.487	0.489	0.302	92.896	3834	2222
41	0.109	82.397	47.426	1.256	82.169	47.244	0.444	0.339	0.462	0.301	22.201	3894	2232
42	0.121	87.246	48.504	1.336	87.080	48.260	0.318	0.487	0.503	0.305	82.072	4121	2280
43	0.129	48.999	48.577	1.385	48.853	48.324	0.296	0.508	0.532	0.310	85.745	2312	2283
44	0.131	23.953	48.574	1.408	23.707	48.408	0.487	0.339	0.510	0.327	166.763	1125	2287
45	0.124	36.459	48.910	1.323	36.216	48.747	0.487	0.318	0.496	0.319	0.629	1720	2303
46	0.127	79.573	49.413	1.431	79.417	49.149	0.318	0.550	0.532	0.304	89.896	3758	2322
47	0.140	87.402	49.753	1.424	87.164	49.530	0.466	0.444	0.515	0.346	143.142	4123	2340
48	0.116	87.797	50.327	1.286	87.630	50.102	0.339	0.466	0.447	0.331	88.686	4146	2367
49	0.121	103.128	51.567	1.371	102.870	51.414	0.508	0.318	0.516	0.298	11.485	4871	2429
50	0.120	108.210	52.268	1.376	108.035	52.028	0.360	0.508	0.511	0.299	71.097	5112	2458
51	0.102	88.884	52.384	1.184	88.710	52.197	0.360	0.381	0.432	0.301	49.360	4200	2466
52	0.133	80.744	53.086	1.359	80.518	52.896	0.466	0.381	0.497	0.340	26.730	3814	2499
53	0.117	116.484	53.263	1.341	116.332	53.022	0.318	0.487	0.494	0.301	97.466	5500	2505
54	0.126	58.220	53.487	1.424	58.039	53.255	0.402	0.466	0.473	0.340	64.518	2750	2516
55	0.128	86.401	55.166	1.413	86.233	54.906	0.318	0.508	0.517	0.315	95.937	4080	2594
56	0.137	101.316	55.360	1.383	101.071	55.182	0.487	0.360	0.498	0.350	11.545	4785	2607
57	0.125	18.317	55.681	1.323	18.098	55.499	0.444	0.360	0.462	0.345	169.628	862	2622
58	0.128	50.880	56.503	1.376	50.694	56.261	0.381	0.487	0.540	0.302	122.900	2397	2658
59	0.112	43.098	57.504	1.274	42.926	57.277	0.339	0.466	0.466	0.305	111.109	2031	2706
60	0.127	98.269	57.692	1.408	98.002	57.510	0.487	0.360	0.473	0.343	12.233	4644	2717
61	0.113	68.776	58.544	1.329	68.538	58.399	0.508	0.318	0.510	0.283	13.009	3249	2759
62	0.116	41.123	59.082	1.304	40.915	58.886	0.423	0.381	0.473	0.311	143.065	1938	2782
63	0.126	105.707	60.294	1.316	105.516	60.071	0.381	0.444	0.469	0.342	64.323	4993	2838
64	0.113	27.651	62.719	1.326	27.474	62.463	0.360	0.487	0.488	0.294	114.645	1304	2951
65	0.126	91.033	63.013	1.371	90.847	62.780	0.381	0.466	0.519	0.310	121.198	4295	2966
66	0.124	42.579	63.679	1.323	42.354	63.500	0.444	0.360	0.483	0.326	25.858	2011	3000
67	0.139	62.328	64.457	1.450	62.166	64.198	0.339	0.508	0.535	0.332	98.474	2941	3033
68	0.130	113.320	64.629	1.406	113.136	64.368	0.402	0.487	0.535	0.310	122.873	5348	3041
