 	Area	X	Y	Perim.	BX	BY	Width	Height	Major	Minor	Angle	XStart	YStart
1	0.121	31.944	15.265	1.371	31.792	15.007	0.318	0.508	0.502	0.306	87.794	1510	709
2	0.137	34.832	16.331	1.503	34.650	16.044	0.360	0.550	0.528	0.329	103.139	1647	758
3	0.156	39.720	16.295	1.515	39.455	16.108	0.550	0.381	0.561	0.354	164.686	1868	761
4	0.129	102.173	16.651	1.396	101.981	16.425	0.402	0.444	0.503	0.327	53.889	4831	776
5	0.120	35.474	18.685	1.388	35.242	18.478	0.444	0.423	0.502	0.305	135.353	1668	873
6	0.129	36.983	19.668	1.364	36.788	19.431	0.402	0.466	0.488	0.336	121.090	1743	918
7	0.126	93.169	19.794	1.359	92.922	19.622	0.487	0.360	0.528	0.304	151.999	4392	927
8	0.124	26.954	20.116	1.323	26.712	19.960	0.487	0.318	0.492	0.320	5.561	1271	943
9	0.125	30.846	20.433	1.346	30.628	20.214	0.423	0.423	0.505	0.316	46.113	1458	955
10	0.146	109.400	20.618	1.456	109.135	20.447	0.529	0.360	0.544	0.342	169.760	5162	966
11	0.156	81.961	21.324	1.498	81.682	21.146	0.550	0.360	0.562	0.353	167.044	3864	999
12	0.147	18.559	21.440	1.461	18.373	21.167	0.360	0.550	0.534	0.349	84.284	877	1000
13	0.143	102.760	22.632	1.438	102.574	22.373	0.360	0.508	0.541	0.336	73.104	4854	1057
14	0.159	86.854	22.948	1.556	86.614	22.691	0.466	0.508	0.555	0.364	126.919	4100	1072
15	0.137	28.700	24.482	1.413	28.469	24.299	0.487	0.381	0.517	0.338	27.370	1354	1148
16	0.114	85.856	24.658	1.294	85.598	24.511	0.487	0.296	0.489	0.297	1.960	4053	1158
17	0.126	85.525	26.580	1.383	85.259	26.416	0.508	0.339	0.509	0.316	3.893	4042	1248
18	0.115	113.915	27.326	1.251	113.728	27.136	0.381	0.381	0.443	0.331	45.098	5381	1282
19	0.142	42.027	27.642	1.461	41.846	27.368	0.360	0.529	0.544	0.332	69.547	1986	1293
20	0.138	81.024	29.850	1.396	80.857	29.591	0.339	0.508	0.531	0.330	71.574	3829	1398
21	0.128	90.167	29.900	1.378	89.916	29.739	0.487	0.339	0.507	0.322	12.292	4260	1405
22	0.120	36.696	30.272	1.264	36.491	30.099	0.423	0.339	0.435	0.350	3.378	1730	1422
23	0.134	39.159	31.420	1.376	38.968	31.178	0.402	0.466	0.492	0.347	60.883	1851	1473
24	0.151	95.569	32.233	1.478	95.314	32.025	0.508	0.423	0.551	0.350	148.255	4508	1513
25	0.119	83.768	32.334	1.311	83.545	32.152	0.444	0.360	0.496	0.306	31.852	3958	1519
26	0.155	40.363	32.886	1.510	40.174	32.618	0.381	0.529	0.542	0.365	76.984	1903	1541
27	0.167	9.327	33.588	1.700	9.059	33.359	0.550	0.444	0.547	0.389	27.825	442	1576
28	0.123	37.925	33.635	1.321	37.740	33.380	0.360	0.487	0.483	0.325	67.318	1792	1577
29	0.125	55.928	33.624	1.376	55.732	33.380	0.381	0.487	0.529	0.302	58.897	2644	1577
30	0.128	93.370	33.592	1.376	93.133	33.401	0.487	0.381	0.509	0.319	155.603	4406	1578
31	0.151	10.351	34.101	1.498	10.160	33.846	0.381	0.529	0.552	0.347	67.475	488	1599
32	0.147	65.235	34.015	1.503	64.960	33.846	0.572	0.339	0.576	0.324	171.640	3075	1599
33	0.122	95.779	34.327	1.316	95.610	34.078	0.339	0.487	0.497	0.313	111.944	4522	1610
34	0.121	99.342	35.445	1.329	99.166	35.221	0.360	0.466	0.503	0.306	61.765	4693	1664
35	0.117	44.600	35.998	1.329	44.429	35.772	0.339	0.466	0.485	0.308	103.945	2102	1690
36	0.137	109.504	36.167	1.401	109.326	35.899	0.360	0.508	0.507	0.344	105.448	5171	1696
37	0.084	99.204	36.152	1.082	99.018	36.004	0.360	0.318	0.396	0.271	151.386	4682	1701
38	0.131	47.666	36.946	1.401	47.477	36.703	0.381	0.487	0.524	0.318	116.963	2247	1734
39	0.133	74.570	37.040	1.383	74.316	36.872	0.508	0.339	0.502	0.338	177.006	3519	1742
40	0.138	61.615	37.317	1.421	61.447	37.063	0.339	0.508	0.529	0.332	100.709	2907	1751
41	0.159	63.992	37.708	1.551	63.775	37.444	0.444	0.529	0.591	0.343	54.665	3025	1769
42	0.122	27.926	37.903	1.311	27.686	37.740	0.466	0.339	0.476	0.327	167.659	1313	1783
43	0.146	33.597	37.976	1.478	33.380	37.740	0.423	0.487	0.536	0.347	55.383	1587	1783
44	0.110	108.761	38.167	1.264	108.606	37.931	0.296	0.466	0.463	0.302	85.095	5138	1792
45	0.137	81.152	38.549	1.413	80.899	38.375	0.529	0.339	0.534	0.326	165.547	3828	1813
46	0.128	124.840	39.141	1.401	124.672	38.862	0.339	0.529	0.527	0.309	98.796	5895	1836
47	0.164	57.294	39.177	1.553	57.023	38.989	0.550	0.381	0.566	0.368	169.867	2703	1842
48	0.116	24.659	39.228	1.329	24.448	39.010	0.402	0.423	0.502	0.296	51.358	1166	1843
49	0.127	90.223	39.376	1.383	90.064	39.116	0.318	0.529	0.512	0.315	83.338	4263	1848
50	0.138	59.207	39.429	1.394	58.992	39.201	0.444	0.444	0.508	0.345	136.271	2792	1852
51	0.132	37.019	40.311	1.413	36.851	40.047	0.339	0.508	0.522	0.322	79.916	1747	1892
52	0.122	46.855	40.257	1.348	46.609	40.111	0.487	0.318	0.509	0.306	167.801	2204	1895
53	0.147	93.508	40.451	1.448	93.282	40.217	0.444	0.466	0.531	0.351	47.108	4419	1900
54	0.122	70.181	40.549	1.431	70.019	40.259	0.318	0.572	0.570	0.273	106.010	3311	1902
55	0.125	82.243	40.504	1.401	82.063	40.259	0.360	0.508	0.531	0.299	114.999	3880	1902
56	0.099	13.784	40.564	1.196	13.568	40.407	0.444	0.296	0.446	0.282	11.953	651	1909
57	0.115	117.505	41.086	1.286	117.285	40.915	0.466	0.339	0.474	0.308	19.535	5552	1933
58	0.133	83.974	41.588	1.388	83.756	41.381	0.444	0.423	0.521	0.324	137.184	3958	1955
59	0.163	37.995	41.680	1.558	37.782	41.423	0.423	0.529	0.562	0.370	67.143	1794	1957
60	0.121	67.980	41.969	1.346	67.755	41.741	0.423	0.423	0.504	0.307	42.979	3215	1972
61	0.118	98.224	42.045	1.323	98.044	41.825	0.339	0.466	0.491	0.306	109.685	4635	1976
62	0.120	32.466	42.108	1.394	32.258	41.868	0.423	0.444	0.507	0.301	134.876	1528	1978
63	0.121	54.346	42.312	1.341	54.081	42.164	0.529	0.296	0.519	0.297	178.177	2563	1992
64	0.121	43.817	42.407	1.329	43.603	42.185	0.402	0.423	0.490	0.313	51.286	2071	1993
65	0.134	70.923	42.837	1.406	70.739	42.587	0.402	0.487	0.505	0.338	110.898	3347	2012
66	0.138	45.202	43.214	1.388	45.022	42.968	0.381	0.487	0.501	0.351	71.956	2135	2030
67	0.142	39.566	43.332	1.466	39.349	43.074	0.423	0.508	0.537	0.336	54.918	1872	2035
68	0.145	19.228	43.790	1.448	18.965	43.582	0.508	0.402	0.539	0.342	30.376	910	2059
69	0.112	37.424	43.838	1.251	37.253	43.624	0.339	0.423	0.452	0.316	64.605	1768	2061
70	0.135	42.447	43.929	1.456	42.249	43.667	0.381	0.508	0.562	0.306	60.198	2007	2063
71	0.144	37.063	44.648	1.486	36.894	44.365	0.360	0.550	0.546	0.335	78.115	1753	2096
72	0.143	65.762	44.748	1.466	65.511	44.556	0.508	0.402	0.533	0.341	28.869	3106	2105
73	0.047	59.527	44.692	0.910	59.372	44.598	0.360	0.169	0.353	0.171	174.843	2806	2107
74	0.131	45.629	44.948	1.408	45.466	44.683	0.318	0.529	0.532	0.313	88.301	2155	2111
75	0.128	44.802	44.978	1.364	44.556	44.768	0.466	0.402	0.520	0.314	35.326	2120	2115
76	0.128	52.869	46.175	1.371	52.684	45.932	0.360	0.487	0.510	0.319	65.870	2498	2170
77	0.135	51.538	46.463	1.383	51.350	46.228	0.381	0.466	0.488	0.352	65.680	2436	2184
78	0.208	113.187	46.892	1.824	112.988	46.546	0.381	0.698	0.719	0.369	85.253	5346	2199
79	0.135	82.317	46.816	1.418	82.063	46.630	0.508	0.360	0.526	0.326	19.692	3890	2203
80	0.145	52.868	46.913	1.468	52.684	46.651	0.360	0.529	0.552	0.335	74.298	2496	2204
