 	Area	X	Y	Perim.	BX	BY	Width	Height	Major	Minor	Angle	XStart	YStart
1	0.105	78.394	10.159	1.221	78.168	10.012	0.444	0.296	0.456	0.294	3.367	3705	473
2	0.127	79.348	10.357	1.336	79.184	10.118	0.339	0.466	0.492	0.328	106.185	3745	478
3	0.114	84.157	10.403	1.331	84.011	10.181	0.296	0.466	0.484	0.300	82.794	3974	481
4	0.126	82.697	12.357	1.371	82.529	12.107	0.339	0.508	0.517	0.311	76.879	3905	572
5	0.131	66.363	13.101	1.401	66.104	12.933	0.508	0.339	0.509	0.328	1.202	3132	611
6	0.126	55.247	17.767	1.383	55.076	17.526	0.339	0.508	0.514	0.313	102.149	2605	828
7	0.127	35.033	18.557	1.364	34.819	18.330	0.423	0.444	0.533	0.304	131.596	1648	866
8	0.128	95.307	20.931	1.371	95.144	20.659	0.318	0.529	0.524	0.310	88.471	4500	976
9	0.121	66.480	21.597	1.339	66.273	21.378	0.402	0.444	0.499	0.308	133.396	3135	1010
10	0.128	78.972	21.752	1.341	78.719	21.590	0.508	0.318	0.502	0.325	173.390	3725	1020
11	0.127	66.918	22.627	1.346	66.717	22.394	0.402	0.444	0.502	0.323	126.010	3156	1058
12	0.132	30.761	23.022	1.394	30.522	22.818	0.466	0.423	0.528	0.319	139.536	1446	1078
13	0.113	46.334	23.130	1.311	46.101	22.966	0.466	0.339	0.494	0.291	157.758	2181	1085
14	0.128	92.355	23.204	1.383	92.117	23.029	0.487	0.360	0.518	0.315	24.436	4363	1088
15	0.120	104.629	24.245	1.334	104.415	24.045	0.444	0.402	0.485	0.316	138.757	4936	1136
16	0.132	55.330	24.431	1.383	55.160	24.194	0.339	0.508	0.500	0.336	83.292	2612	1143
17	0.131	77.656	24.676	1.396	77.491	24.405	0.318	0.529	0.529	0.315	86.829	3668	1153
18	0.121	93.157	24.677	1.299	92.964	24.469	0.381	0.423	0.464	0.332	59.674	4401	1156
19	0.130	43.552	24.947	1.406	43.370	24.680	0.360	0.529	0.530	0.313	111.420	2055	1166
20	0.124	48.556	25.244	1.341	48.302	25.082	0.508	0.318	0.503	0.313	6.346	2292	1185
21	0.129	41.119	25.492	1.383	40.936	25.252	0.360	0.487	0.505	0.324	108.412	1938	1193
22	0.122	23.631	25.493	1.288	23.410	25.336	0.444	0.318	0.471	0.330	9.309	1112	1197
23	0.132	117.089	25.516	1.401	116.840	25.336	0.508	0.360	0.532	0.315	163.314	5527	1197
24	0.127	27.965	25.802	1.366	27.813	25.548	0.318	0.508	0.517	0.313	95.613	1319	1207
25	0.138	103.085	25.932	1.431	102.828	25.760	0.529	0.339	0.536	0.327	170.880	4863	1217
26	0.049	11.679	26.271	0.818	11.557	26.141	0.233	0.275	0.269	0.233	91.045	550	1235
27	0.121	90.993	26.782	1.336	90.847	26.522	0.296	0.508	0.512	0.301	83.238	4299	1253
28	0.134	84.482	27.531	1.376	84.264	27.305	0.423	0.444	0.495	0.345	49.866	3992	1290
29	0.127	73.557	28.010	1.336	73.321	27.834	0.466	0.339	0.481	0.337	165.715	3470	1315
30	0.120	91.841	28.239	1.336	91.673	28.004	0.318	0.487	0.497	0.307	84.058	4337	1323
31	0.140	87.892	28.351	1.424	87.651	28.152	0.487	0.423	0.535	0.334	34.928	4153	1330
32	0.120	86.447	28.558	1.366	86.275	28.321	0.339	0.487	0.503	0.303	77.550	4082	1338
33	0.129	109.140	28.777	1.366	108.902	28.617	0.487	0.339	0.513	0.319	16.115	5155	1352
34	0.134	112.009	29.252	1.383	111.760	29.083	0.487	0.339	0.497	0.342	6.371	5290	1374
35	0.113	43.575	29.348	1.269	43.392	29.146	0.381	0.402	0.439	0.329	133.082	2052	1377
36	0.138	23.126	29.494	1.448	22.881	29.295	0.487	0.402	0.548	0.320	33.210	1094	1384
37	0.125	107.632	29.902	1.341	107.400	29.697	0.444	0.381	0.484	0.329	36.905	5085	1403
38	0.132	20.321	30.103	1.371	20.151	29.845	0.339	0.508	0.521	0.323	75.912	960	1410
39	0.113	87.599	30.158	1.316	87.418	29.908	0.360	0.466	0.468	0.307	65.848	4141	1413
40	0.142	121.936	30.276	1.466	121.751	29.993	0.381	0.550	0.520	0.348	71.565	5763	1417
41	0.123	33.765	30.682	1.341	33.592	30.438	0.339	0.487	0.512	0.306	109.611	1591	1438
42	0.125	57.358	30.705	1.371	57.192	30.459	0.339	0.487	0.492	0.324	79.363	2710	1439
43	0.126	38.377	30.776	1.329	38.164	30.586	0.444	0.381	0.485	0.330	148.408	1806	1445
44	0.118	31.007	31.172	1.304	30.840	30.925	0.339	0.487	0.484	0.311	109.070	1462	1461
45	0.139	122.957	31.189	1.436	122.767	30.925	0.402	0.508	0.531	0.333	116.585	5806	1461
46	0.090	105.281	31.412	1.124	105.071	31.284	0.423	0.275	0.415	0.275	6.158	4968	1478
47	0.123	109.381	31.916	1.366	109.178	31.729	0.423	0.402	0.508	0.308	37.384	5168	1499
48	0.129	62.401	32.069	1.378	62.251	31.792	0.296	0.529	0.532	0.308	95.210	2947	1502
49	0.114	55.286	32.041	1.286	55.118	31.814	0.360	0.444	0.460	0.316	63.602	2614	1503
50	0.119	44.948	32.206	1.304	44.746	32.004	0.402	0.423	0.478	0.317	131.902	2117	1512
51	0.121	29.641	32.450	1.341	29.485	32.216	0.318	0.508	0.493	0.311	86.454	1398	1522
52	0.125	60.451	32.399	1.359	60.198	32.237	0.508	0.339	0.500	0.317	169.697	2850	1523
53	0.133	22.528	32.536	1.376	22.310	32.322	0.444	0.423	0.511	0.331	40.135	1066	1527
54	0.134	32.769	33.135	1.448	32.576	32.872	0.360	0.550	0.558	0.305	112.902	1544	1553
55	0.118	19.608	33.529	1.304	19.410	33.295	0.381	0.444	0.496	0.304	52.987	928	1573
56	0.129	84.137	34.271	1.396	83.884	34.100	0.508	0.339	0.528	0.311	18.306	3976	1611
57	0.123	70.002	34.403	1.323	69.786	34.226	0.444	0.360	0.491	0.319	151.161	3299	1617
58	0.129	118.630	34.464	1.406	118.385	34.269	0.466	0.381	0.477	0.346	31.897	5604	1619
59	0.134	21.158	34.815	1.388	20.955	34.586	0.423	0.444	0.491	0.349	128.430	993	1634
60	0.132	112.146	34.884	1.401	111.950	34.650	0.381	0.487	0.505	0.332	66.313	5297	1637
61	0.116	89.085	35.435	1.294	88.921	35.200	0.339	0.444	0.462	0.318	106.973	4206	1663
62	0.146	95.882	36.342	1.486	95.716	36.068	0.339	0.572	0.561	0.331	82.216	4528	1704
63	0.134	89.380	36.287	1.371	89.133	36.132	0.508	0.339	0.496	0.344	6.630	4217	1707
64	0.103	72.409	36.456	1.221	72.263	36.237	0.296	0.444	0.454	0.289	98.521	3417	1712
65	0.110	38.652	36.476	1.269	38.481	36.258	0.339	0.444	0.486	0.287	118.639	1820	1713
66	0.118	36.549	36.687	1.323	36.386	36.449	0.318	0.487	0.499	0.302	101.060	1722	1722
67	0.116	73.016	36.762	1.274	72.834	36.534	0.381	0.423	0.471	0.314	129.368	3444	1726
68	0.114	64.775	36.816	1.261	64.558	36.640	0.444	0.360	0.466	0.311	150.657	3053	1731
69	0.122	37.719	37.053	1.353	37.550	36.809	0.360	0.466	0.482	0.323	105.073	1778	1739
70	0.124	102.280	36.982	1.346	102.023	36.830	0.508	0.318	0.491	0.321	178.388	4826	1740
71	0.134	80.646	37.224	1.394	80.412	37.020	0.487	0.402	0.524	0.327	35.140	3811	1749
72	0.136	57.029	37.410	1.408	56.854	37.148	0.339	0.508	0.526	0.329	101.502	2691	1755
73	0.129	64.048	37.326	1.366	63.796	37.169	0.508	0.318	0.517	0.318	168.161	3018	1756
74	0.129	92.721	37.607	1.359	92.541	37.380	0.381	0.466	0.500	0.327	60.515	4382	1766
75	0.146	123.228	37.750	1.496	123.042	37.486	0.402	0.529	0.540	0.344	73.022	5820	1771
76	0.144	124.747	37.724	1.538	124.460	37.528	0.550	0.381	0.549	0.333	154.846	5884	1773
77	0.113	87.249	37.829	1.299	87.101	37.592	0.318	0.487	0.471	0.307	87.788	4122	1776
78	0.122	26.912	37.866	1.311	26.734	37.634	0.339	0.466	0.474	0.329	79.491	1270	1778
79	0.115	15.110	38.058	1.311	14.922	37.867	0.381	0.423	0.457	0.320	62.524	711	1789
80	0.125	75.164	38.185	1.371	74.994	37.910	0.339	0.508	0.501	0.319	76.983	3551	1791
81	0.121	85.869	38.230	1.361	85.704	37.994	0.318	0.487	0.500	0.309	77.951	4059	1795
82	0.106	23.616	38.211	1.239	23.389	38.058	0.444	0.318	0.445	0.304	13.381	1115	1798
83	0.130	63.303	38.261	1.364	63.077	38.058	0.466	0.402	0.517	0.320	141.991	2983	1798
84	0.139	71.603	38.594	1.468	71.438	38.312	0.339	0.550	0.563	0.315	106.209	3380	1810
85	0.133	116.578	38.741	1.401	116.353	38.544	0.466	0.402	0.504	0.335	36.580	5508	1821
86	0.125	47.605	39.027	1.353	47.434	38.777	0.339	0.487	0.502	0.317	102.095	2246	1832
87	0.116	30.908	39.072	1.311	30.734	38.820	0.339	0.466	0.471	0.314	108.878	1460	1834
88	0.099	68.021	39.157	1.189	67.860	38.926	0.318	0.444	0.450	0.280	113.871	3210	1839
89	0.127	50.933	39.336	1.381	50.715	39.095	0.444	0.444	0.528	0.307	134.408	2401	1847
90	0.136	21.769	39.426	1.418	21.569	39.158	0.381	0.508	0.516	0.335	66.759	1030	1850
91	0.134	19.495	39.762	1.383	19.240	39.582	0.508	0.339	0.507	0.336	0.453	919	1870
92	0.127	102.010	40.054	1.378	101.854	39.814	0.318	0.508	0.509	0.317	74.185	4818	1881
93	0.130	108.059	40.274	1.383	107.886	40.005	0.339	0.508	0.518	0.320	73.947	5107	1890
94	0.106	41.455	40.273	1.237	41.254	40.068	0.402	0.402	0.442	0.305	43.649	1961	1893
95	0.127	96.934	40.546	1.346	96.710	40.344	0.423	0.423	0.494	0.328	133.025	4573	1906
96	0.120	103.583	40.582	1.291	103.378	40.344	0.381	0.444	0.455	0.335	57.761	4895	1906
97	0.132	26.397	40.658	1.371	26.226	40.407	0.360	0.487	0.500	0.337	105.846	1244	1909
98	0.136	17.093	40.791	1.406	16.870	40.576	0.466	0.423	0.513	0.338	143.335	801	1917
