 	Area	X	Y	Perim.	BX	BY	Width	Height	Major	Minor	Angle	XStart	YStart
1	0.141	90.435	11.721	1.443	90.170	11.536	0.529	0.360	0.552	0.324	159.911	4266	545
2	0.128	44.120	14.350	1.353	43.900	14.160	0.444	0.381	0.494	0.330	29.904	2084	669
3	0.146	64.602	14.512	1.478	64.410	14.245	0.402	0.529	0.566	0.329	117.495	3046	673
4	0.148	98.070	17.986	1.493	97.896	17.716	0.339	0.550	0.568	0.331	101.168	4630	837
5	0.143	94.965	18.105	1.438	94.721	17.928	0.508	0.360	0.538	0.339	20.129	4486	847
6	0.144	42.119	19.861	1.426	41.868	19.685	0.508	0.360	0.525	0.350	164.551	1982	930
7	0.116	64.539	20.157	1.299	64.304	20.002	0.466	0.339	0.448	0.328	175.125	3046	945
8	0.144	63.589	20.687	1.503	63.310	20.510	0.572	0.339	0.559	0.327	7.230	3003	969
9	0.121	38.423	20.904	1.304	38.206	20.701	0.402	0.423	0.469	0.328	130.019	1810	978
10	0.145	93.723	21.204	1.448	93.514	20.955	0.402	0.508	0.534	0.345	64.520	4428	990
11	0.129	23.892	23.316	1.359	23.686	23.093	0.402	0.444	0.497	0.329	55.692	1128	1091
12	0.130	34.036	23.358	1.371	33.803	23.156	0.466	0.381	0.506	0.327	153.591	1602	1094
13	0.138	60.526	23.551	1.448	60.346	23.283	0.360	0.550	0.553	0.319	108.799	2856	1100
14	0.123	109.872	23.559	1.323	109.707	23.326	0.318	0.487	0.493	0.317	96.533	5187	1102
15	0.139	36.721	24.037	1.473	36.534	23.749	0.360	0.550	0.558	0.318	75.338	1737	1122
16	0.129	56.055	24.561	1.371	55.880	24.320	0.360	0.487	0.497	0.329	71.475	2648	1149
17	0.132	26.047	24.629	1.383	25.823	24.426	0.444	0.402	0.466	0.361	20.291	1232	1154
18	0.119	58.080	24.690	1.306	57.848	24.532	0.466	0.318	0.487	0.312	13.223	2742	1159
19	0.141	109.290	24.767	1.413	109.030	24.596	0.529	0.339	0.529	0.339	169.479	5156	1162
20	0.125	56.499	24.830	1.371	56.324	24.617	0.381	0.466	0.497	0.321	53.185	2671	1163
21	0.131	59.786	26.478	1.383	59.626	26.226	0.318	0.508	0.513	0.325	86.327	2822	1239
22	0.129	37.827	26.896	1.396	37.677	26.628	0.296	0.550	0.538	0.304	96.248	1785	1258
23	0.144	36.658	26.963	1.436	36.428	26.734	0.444	0.466	0.520	0.352	48.135	1733	1263
24	0.138	30.093	26.942	1.443	29.845	26.755	0.508	0.381	0.540	0.325	22.126	1425	1264
25	0.125	16.153	27.483	1.291	15.938	27.284	0.423	0.402	0.428	0.371	39.063	762	1289
26	0.147	40.754	27.806	1.558	40.450	27.644	0.593	0.339	0.574	0.325	173.558	1921	1306
