 	Area	X	Y	Perim.	BX	BY	Width	Height	Major	Minor	Angle	XStart	YStart
1	0.150	70.059	17.831	1.468	69.786	17.653	0.529	0.360	0.539	0.355	175.495	3306	834
2	0.171	77.317	18.585	1.568	77.068	18.330	0.487	0.508	0.577	0.377	132.374	3647	866
3	0.151	84.768	20.005	1.443	84.582	19.748	0.381	0.508	0.522	0.369	76.181	4002	933
4	0.142	59.011	22.400	1.436	58.801	22.162	0.402	0.508	0.519	0.349	114.209	2783	1047
5	0.157	65.823	24.113	1.551	65.553	23.918	0.529	0.423	0.524	0.382	19.853	3108	1130
6	0.143	34.212	25.610	1.426	34.036	25.358	0.360	0.508	0.524	0.349	74.876	1614	1198
7	0.098	98.386	26.239	1.159	98.213	26.035	0.339	0.402	0.414	0.300	124.116	4645	1230
8	0.162	79.007	26.274	1.508	78.761	26.056	0.508	0.444	0.559	0.369	143.485	3724	1231
9	0.175	68.960	27.405	1.658	68.707	27.136	0.508	0.550	0.644	0.347	129.044	3249	1282
10	0.049	57.390	28.148	0.920	57.235	28.046	0.339	0.212	0.320	0.195	8.896	2709	1325
11	0.159	89.730	28.366	1.508	89.450	28.173	0.550	0.402	0.531	0.382	0.678	4236	1331
12	0.154	114.918	29.857	1.510	114.744	29.591	0.381	0.529	0.559	0.351	73.013	5428	1398
13	0.142	44.996	31.649	1.443	44.810	31.411	0.381	0.487	0.504	0.359	101.905	2121	1484
14	0.153	83.335	32.003	1.486	83.058	31.814	0.550	0.360	0.551	0.354	8.765	3937	1503
15	0.142	71.492	32.150	1.431	71.268	31.940	0.466	0.423	0.523	0.344	147.516	3369	1509
16	0.120	85.712	33.582	1.334	85.492	33.359	0.423	0.423	0.494	0.308	39.424	4053	1576
17	0.142	79.980	34.177	1.443	79.798	33.888	0.360	0.529	0.518	0.349	100.242	3776	1601
18	0.142	88.630	34.978	1.450	88.456	34.713	0.339	0.529	0.555	0.325	103.991	4183	1640
19	0.115	68.626	35.481	1.334	68.368	35.306	0.487	0.360	0.464	0.316	153.215	3235	1668
20	0.147	122.039	35.813	1.478	121.772	35.624	0.529	0.381	0.534	0.352	160.752	5759	1683
21	0.172	76.516	35.895	1.648	76.200	35.708	0.614	0.381	0.619	0.353	16.220	3614	1687
22	0.152	60.950	37.653	1.533	60.727	37.402	0.423	0.529	0.575	0.338	122.250	2874	1767
23	0.050	130.461	38.179	0.925	130.323	38.058	0.318	0.233	0.331	0.191	154.645	6159	1798
24	0.147	89.447	38.749	1.486	89.260	38.460	0.381	0.529	0.531	0.351	107.238	4223	1817
25	0.143	88.267	38.910	1.418	88.074	38.650	0.381	0.508	0.531	0.344	115.043	4165	1826
26	0.153	84.377	38.963	1.478	84.159	38.693	0.423	0.508	0.534	0.365	60.834	3987	1828
27	0.148	105.137	39.057	1.475	104.860	38.904	0.550	0.318	0.570	0.330	173.798	4957	1838
28	0.142	45.378	39.600	1.483	45.148	39.370	0.466	0.466	0.514	0.352	138.997	2139	1860
29	0.161	103.304	40.784	1.558	103.145	40.471	0.339	0.614	0.598	0.343	91.111	4878	1912
30	0.144	52.387	40.788	1.478	52.197	40.534	0.423	0.508	0.523	0.350	68.017	2474	1915
31	0.144	79.539	40.823	1.461	79.354	40.555	0.360	0.550	0.539	0.340	77.261	3758	1916
32	0.129	92.542	42.366	1.468	92.350	42.143	0.402	0.444	0.459	0.357	79.044	4369	1991
33	0.187	57.527	42.423	1.695	57.214	42.206	0.614	0.444	0.619	0.384	154.408	2709	1994
34	0.042	87.736	42.571	0.842	87.566	42.482	0.296	0.190	0.282	0.188	171.980	4141	2007
35	0.128	118.995	43.023	1.359	118.787	42.820	0.444	0.402	0.466	0.350	33.621	5621	2023
36	0.138	65.551	43.137	1.471	65.342	42.905	0.444	0.487	0.521	0.336	57.694	3098	2027
37	0.150	22.478	43.994	1.580	22.183	43.773	0.529	0.444	0.525	0.363	141.422	1054	2068
38	0.155	37.350	44.075	1.618	37.084	43.900	0.529	0.381	0.528	0.374	178.999	1759	2074
39	0.153	83.667	44.817	1.528	83.354	44.640	0.593	0.339	0.586	0.332	178.123	3951	2109
40	0.106	109.517	45.192	1.214	109.347	44.979	0.360	0.402	0.447	0.302	131.225	5168	2125
41	0.140	93.471	45.584	1.436	93.260	45.339	0.423	0.487	0.530	0.336	127.287	4412	2142
42	0.159	37.154	45.679	1.508	36.936	45.424	0.444	0.508	0.562	0.361	128.827	1749	2146
43	0.142	53.064	45.793	1.448	52.811	45.572	0.487	0.423	0.497	0.365	22.313	2508	2153
44	0.150	126.564	46.031	1.480	126.386	45.762	0.339	0.550	0.558	0.342	88.087	5977	2162
45	0.090	56.934	46.259	1.107	56.769	46.080	0.318	0.360	0.388	0.296	122.495	2687	2177
46	0.110	101.936	46.461	1.244	101.727	46.292	0.444	0.339	0.433	0.324	175.108	4813	2187
47	0.145	46.073	46.805	1.448	45.847	46.567	0.444	0.466	0.541	0.342	48.228	2178	2200
48	0.126	122.565	46.912	1.323	122.364	46.715	0.402	0.402	0.473	0.339	47.457	5789	2207
49	0.163	40.384	47.100	1.551	40.153	46.842	0.466	0.508	0.575	0.361	48.701	1912	2213
50	0.137	78.518	47.231	1.431	78.296	47.032	0.466	0.423	0.517	0.338	34.343	3709	2222
51	0.153	58.225	47.625	1.468	57.976	47.434	0.508	0.381	0.532	0.366	162.090	2744	2241
52	0.133	81.673	49.025	1.376	81.428	48.832	0.487	0.381	0.494	0.342	158.195	3855	2307
53	0.163	95.094	49.586	1.563	94.806	49.382	0.572	0.402	0.591	0.351	16.168	4496	2333
54	0.142	48.734	49.731	1.433	48.578	49.466	0.318	0.529	0.546	0.330	95.789	2297	2337
55	0.144	97.175	49.930	1.436	96.943	49.699	0.466	0.444	0.532	0.345	140.922	4586	2348
56	0.123	81.190	50.429	1.359	81.005	50.207	0.381	0.444	0.485	0.323	54.851	3838	2372
57	0.127	60.725	50.504	1.329	60.558	50.271	0.339	0.487	0.481	0.337	90.119	2865	2375
58	0.150	70.891	50.836	1.486	70.718	50.567	0.360	0.529	0.539	0.354	107.470	3346	2389
59	0.116	45.373	51.130	1.353	45.170	50.906	0.381	0.444	0.499	0.297	55.843	2146	2405
60	0.130	46.935	51.239	1.418	46.778	50.969	0.339	0.550	0.525	0.316	100.067	2214	2408
61	0.151	107.161	51.787	1.473	106.892	51.604	0.550	0.360	0.537	0.359	174.378	5059	2438
62	0.143	72.188	52.084	1.598	71.988	51.837	0.444	0.529	0.523	0.349	74.952	3410	2449
63	0.155	45.874	52.118	1.486	45.678	51.858	0.381	0.529	0.551	0.359	106.452	2162	2450
64	0.147	68.124	53.451	1.521	67.924	53.171	0.381	0.550	0.566	0.330	109.914	3215	2512
65	0.156	118.261	53.919	1.533	118.046	53.658	0.423	0.529	0.575	0.345	121.775	5582	2535
66	0.157	52.893	54.956	1.480	52.620	54.779	0.529	0.360	0.540	0.369	176.635	2492	2588
67	0.155	113.781	55.060	1.478	113.538	54.843	0.487	0.444	0.535	0.369	144.692	5369	2591
68	0.157	73.969	55.128	1.498	73.787	54.864	0.381	0.529	0.559	0.358	69.538	3493	2592
69	0.169	52.186	56.557	1.540	51.922	56.346	0.529	0.402	0.552	0.390	11.185	2468	2662
70	0.157	86.275	56.693	1.593	86.042	56.452	0.487	0.466	0.552	0.363	42.354	4079	2667
71	0.154	114.476	56.978	1.515	114.279	56.706	0.402	0.529	0.561	0.349	63.076	5410	2679
72	0.153	33.498	57.425	1.491	33.253	57.192	0.487	0.444	0.559	0.349	142.077	1577	2702
73	0.154	41.925	57.922	1.526	41.720	57.637	0.423	0.550	0.547	0.359	62.839	1982	2723
74	0.121	58.645	57.809	1.306	58.420	57.637	0.444	0.339	0.486	0.316	24.408	2771	2723
75	0.141	102.597	57.956	1.475	102.426	57.679	0.318	0.550	0.569	0.316	92.557	4845	2725
76	0.123	65.320	59.459	1.316	65.109	59.246	0.423	0.402	0.475	0.331	142.203	3081	2799
77	0.147	74.417	59.659	1.486	74.210	59.415	0.423	0.487	0.550	0.340	51.773	3518	2807
78	0.142	75.904	59.705	1.431	75.671	59.478	0.444	0.444	0.500	0.361	44.575	3590	2810
79	0.139	20.328	60.352	1.406	20.087	60.156	0.487	0.402	0.485	0.365	156.886	955	2842
80	0.169	23.217	60.505	1.558	22.924	60.325	0.593	0.360	0.597	0.360	171.621	1089	2850
81	0.166	111.550	61.807	1.538	111.316	61.553	0.466	0.508	0.570	0.372	128.262	5263	2908
82	0.149	118.830	61.960	1.473	118.597	61.743	0.466	0.444	0.554	0.343	41.394	5615	2917
83	0.155	91.708	63.579	1.491	91.504	63.331	0.423	0.508	0.551	0.357	56.235	4333	2992
84	0.143	60.871	64.331	1.471	60.600	64.114	0.529	0.423	0.565	0.323	146.855	2870	3029
85	0.136	105.035	64.594	1.378	104.860	64.368	0.360	0.444	0.481	0.359	110.139	4956	3041
86	0.161	18.236	64.668	1.533	18.034	64.389	0.381	0.550	0.543	0.378	93.957	860	3042
87	0.159	109.576	64.643	1.503	109.368	64.389	0.423	0.508	0.565	0.357	122.481	5171	3042
88	0.149	65.540	65.266	1.466	65.320	65.024	0.444	0.487	0.549	0.345	131.847	3090	3072
89	0.162	71.106	66.039	1.540	70.930	65.744	0.360	0.572	0.576	0.357	84.667	3357	3106
90	0.135	26.778	66.119	1.406	26.543	65.913	0.487	0.402	0.519	0.332	148.601	1260	3114
91	0.127	71.835	66.142	1.364	71.628	65.913	0.423	0.444	0.484	0.333	132.164	3390	3114
92	0.158	98.138	66.247	1.498	97.854	66.061	0.550	0.360	0.557	0.361	176.574	4635	3121
93	0.126	54.232	66.653	1.334	54.060	66.400	0.360	0.487	0.484	0.333	75.694	2562	3137
94	0.161	101.626	67.322	1.551	101.388	67.056	0.466	0.508	0.576	0.356	132.532	4794	3168
95	0.150	69.924	67.570	1.456	69.744	67.310	0.360	0.529	0.546	0.349	102.621	3299	3180
96	0.161	110.067	67.636	1.503	109.792	67.437	0.529	0.402	0.545	0.376	21.868	5199	3186
97	0.124	107.847	67.924	1.359	107.675	67.670	0.360	0.487	0.499	0.315	65.926	5095	3197
98	0.150	35.448	68.017	1.461	35.242	67.755	0.402	0.508	0.526	0.363	115.556	1671	3201
99	0.148	128.491	68.732	1.456	128.228	68.538	0.529	0.360	0.530	0.355	177.679	6069	3238
100	0.169	71.362	69.753	1.625	71.184	69.448	0.360	0.614	0.613	0.352	86.795	3371	3281
101	0.132	36.156	69.875	1.371	35.941	69.660	0.423	0.423	0.492	0.342	133.450	1703	3291
102	0.146	39.107	70.039	1.461	38.926	69.765	0.381	0.529	0.546	0.339	107.915	1844	3296
103	0.123	25.775	71.366	1.353	25.527	71.205	0.508	0.318	0.515	0.305	177.584	1218	3364
104	0.131	56.915	72.257	1.424	56.684	72.030	0.466	0.444	0.556	0.300	137.659	2682	3403
105	0.151	72.415	72.531	1.558	72.221	72.242	0.402	0.550	0.598	0.322	117.081	3413	3413
106	0.056	78.073	72.361	0.997	77.872	72.242	0.381	0.254	0.359	0.199	28.206	3689	3413
107	0.150	78.205	73.591	1.461	77.999	73.342	0.402	0.508	0.540	0.353	115.591	3689	3465
108	0.066	13.410	73.688	1.007	13.250	73.512	0.318	0.339	0.309	0.272	48.706	632	3473
109	0.142	81.826	74.081	1.418	81.640	73.829	0.381	0.508	0.497	0.364	81.438	3865	3488
110	0.160	81.046	74.763	1.533	80.814	74.528	0.466	0.487	0.559	0.365	131.042	3822	3521
111	0.152	90.737	74.776	1.491	90.466	74.570	0.529	0.402	0.552	0.350	24.182	4289	3523
112	0.135	68.901	75.025	1.466	68.665	74.782	0.487	0.444	0.551	0.313	141.440	3248	3533
113	0.134	67.235	75.291	1.401	67.056	75.036	0.360	0.508	0.525	0.324	69.771	3177	3545
114	0.149	99.357	75.361	1.468	99.187	75.099	0.360	0.529	0.540	0.352	89.502	4691	3548
115	0.152	101.585	75.359	1.480	101.325	75.184	0.529	0.360	0.533	0.363	179.203	4795	3552
116	0.146	83.467	75.770	1.436	83.248	75.544	0.423	0.487	0.534	0.347	125.863	3936	3569
117	0.142	106.881	76.182	1.431	106.680	75.925	0.402	0.487	0.527	0.345	59.949	5051	3587
118	0.154	87.071	76.229	1.491	86.868	75.967	0.402	0.529	0.548	0.358	70.955	4114	3589
119	0.141	105.011	76.427	1.448	104.817	76.200	0.423	0.487	0.541	0.332	54.498	4961	3600
120	0.154	103.423	76.759	1.515	103.166	76.560	0.529	0.402	0.540	0.363	22.418	4887	3617
121	0.149	107.218	77.345	1.491	106.934	77.174	0.572	0.360	0.538	0.353	173.479	5060	3646
122	0.143	86.952	77.681	1.456	86.762	77.406	0.360	0.529	0.533	0.341	104.815	4106	3657
123	0.142	74.271	77.700	1.461	74.020	77.491	0.508	0.402	0.545	0.333	148.003	3501	3661
124	0.143	79.885	77.683	1.461	79.629	77.491	0.529	0.381	0.556	0.327	156.307	3766	3661
125	0.137	69.539	77.791	1.424	69.321	77.555	0.444	0.466	0.527	0.330	134.015	3280	3664
126	0.159	87.809	77.913	1.493	87.630	77.639	0.360	0.529	0.548	0.369	82.806	4147	3668
127	0.138	117.690	78.558	1.446	117.475	78.317	0.444	0.487	0.553	0.319	128.164	5554	3700
128	0.132	80.191	79.348	1.478	79.946	79.163	0.487	0.381	0.508	0.330	150.711	3781	3740
129	0.146	93.081	79.436	1.486	92.816	79.248	0.550	0.360	0.581	0.320	159.944	4388	3744
130	0.164	97.055	79.924	1.558	96.774	79.735	0.572	0.381	0.588	0.354	17.740	4586	3767
131	0.143	91.368	80.176	1.443	91.186	79.925	0.381	0.487	0.530	0.343	120.247	4309	3776
132	0.101	30.939	80.797	1.172	30.755	80.603	0.360	0.381	0.368	0.348	118.959	1459	3808
133	0.174	101.298	81.217	1.588	101.029	81.005	0.550	0.423	0.589	0.376	156.782	4778	3827
134	0.156	109.580	81.723	1.521	109.305	81.513	0.529	0.423	0.578	0.344	31.318	5178	3851
135	0.134	84.555	82.037	1.383	84.370	81.809	0.381	0.466	0.510	0.334	62.095	3994	3865
136	0.123	89.413	82.079	1.321	89.218	81.830	0.381	0.466	0.484	0.324	56.350	4226	3866
137	0.128	74.579	82.123	1.383	74.337	81.936	0.466	0.381	0.518	0.314	148.250	3514	3871
138	0.151	95.454	82.243	1.510	95.165	82.084	0.572	0.339	0.583	0.331	177.921	4503	3878
