 	Area	X	Y	Perim.	BX	BY	Width	Height	Major	Minor	Angle	XStart	YStart
1	0.042	20.546	15.706	0.860	20.447	15.536	0.190	0.318	0.307	0.173	78.262	970	734
2	0.120	102.091	18.898	1.346	101.833	18.711	0.487	0.360	0.489	0.313	160.676	4818	884
3	0.127	95.442	18.959	1.341	95.208	18.775	0.466	0.360	0.464	0.349	169.972	4507	887
4	0.160	82.295	19.991	1.540	82.127	19.706	0.360	0.572	0.575	0.354	85.501	3884	931
5	0.153	88.283	24.141	1.473	88.053	23.918	0.466	0.444	0.532	0.367	42.694	4171	1130
6	0.147	74.937	24.289	1.461	74.761	24.024	0.360	0.550	0.526	0.356	98.666	3536	1135
7	0.123	88.878	24.348	1.376	88.625	24.172	0.508	0.360	0.510	0.307	17.635	4201	1142
8	0.126	79.396	25.405	1.353	79.142	25.252	0.508	0.318	0.502	0.319	176.679	3745	1193
9	0.149	102.510	25.539	1.478	102.298	25.294	0.466	0.466	0.537	0.353	134.181	4837	1195
10	0.160	49.447	26.743	1.515	49.276	26.458	0.360	0.572	0.566	0.361	99.100	2331	1250
11	0.156	58.094	26.774	1.528	57.912	26.480	0.360	0.572	0.571	0.349	74.303	2748	1251
12	0.143	60.958	26.803	1.568	60.770	26.522	0.402	0.572	0.525	0.346	66.652	2878	1253
13	0.167	61.598	27.149	1.707	61.299	26.924	0.614	0.402	0.585	0.364	6.930	2908	1272
14	0.147	49.221	27.258	1.491	48.958	27.030	0.487	0.444	0.556	0.337	41.033	2327	1277
15	0.151	115.575	27.347	1.545	115.295	27.178	0.572	0.339	0.567	0.338	8.235	5459	1284
16	0.116	99.606	27.531	1.329	99.441	27.284	0.339	0.487	0.512	0.287	113.553	4701	1289
17	0.134	59.839	27.703	1.468	59.690	27.390	0.296	0.593	0.583	0.294	86.068	2828	1294
18	0.166	108.499	27.951	1.580	108.268	27.686	0.466	0.529	0.598	0.353	126.904	5121	1308
19	0.142	64.218	28.808	1.456	64.050	28.512	0.339	0.550	0.543	0.332	80.192	3035	1347
20	0.141	73.635	28.701	1.461	73.385	28.512	0.508	0.381	0.521	0.345	156.153	3472	1347
21	0.134	95.332	29.165	1.413	95.102	28.956	0.466	0.402	0.530	0.320	35.492	4507	1368
22	0.168	61.765	29.232	1.595	61.489	29.041	0.572	0.360	0.579	0.371	178.543	2912	1372
23	0.142	66.453	29.356	1.448	66.252	29.104	0.402	0.508	0.532	0.341	61.044	3144	1375
24	0.130	60.390	29.449	1.413	60.134	29.231	0.466	0.402	0.514	0.323	33.711	2859	1381
25	0.148	68.894	29.933	1.486	68.707	29.676	0.381	0.529	0.559	0.338	68.066	3256	1402
26	0.155	26.239	30.461	1.515	26.035	30.205	0.381	0.529	0.536	0.368	79.450	1238	1427
27	0.136	52.309	31.347	1.401	52.091	31.136	0.402	0.466	0.513	0.338	127.947	2465	1471
28	0.119	59.449	31.392	1.311	59.267	31.200	0.402	0.402	0.467	0.323	47.069	2808	1474
29	0.136	38.308	31.997	1.413	38.100	31.771	0.402	0.466	0.519	0.334	125.734	1802	1501
30	0.147	78.162	32.053	1.480	77.936	31.835	0.466	0.423	0.521	0.359	146.816	3683	1504
31	0.148	85.386	32.171	1.486	85.111	32.004	0.550	0.360	0.547	0.345	173.684	4027	1512
32	0.148	40.631	32.310	1.461	40.428	32.046	0.423	0.487	0.520	0.362	124.366	1914	1514
33	0.120	73.598	32.210	1.336	73.342	32.046	0.508	0.296	0.507	0.301	2.027	3474	1514
34	0.151	112.130	33.730	1.538	111.950	33.464	0.381	0.550	0.538	0.358	82.226	5295	1581
35	0.146	49.106	33.878	1.478	48.895	33.613	0.444	0.487	0.537	0.346	129.149	2318	1588
36	0.127	49.494	34.286	1.359	49.276	34.078	0.423	0.423	0.511	0.316	134.387	2331	1610
37	0.169	54.965	34.569	1.593	54.737	34.311	0.444	0.550	0.596	0.361	123.010	2590	1621
38	0.147	52.532	34.558	1.533	52.260	34.332	0.529	0.423	0.597	0.312	36.020	2485	1622
39	0.127	32.314	34.756	1.383	32.089	34.565	0.487	0.360	0.505	0.320	158.906	1519	1633
40	0.129	96.814	36.812	1.448	96.541	36.618	0.487	0.402	0.514	0.320	146.032	4572	1730
41	0.141	72.904	36.887	1.431	72.644	36.703	0.529	0.360	0.538	0.334	162.704	3439	1734
42	0.128	94.913	37.803	1.376	94.721	37.571	0.381	0.487	0.517	0.314	120.818	4478	1775
43	0.140	106.778	37.843	1.436	106.553	37.613	0.487	0.423	0.520	0.342	151.259	5039	1777
44	0.145	59.322	37.994	1.483	59.076	37.782	0.529	0.423	0.508	0.363	158.782	2796	1785
45	0.137	61.900	39.425	1.443	61.659	39.222	0.466	0.423	0.528	0.329	140.202	2917	1853
46	0.134	53.035	40.445	1.396	52.790	40.259	0.487	0.360	0.501	0.339	165.816	2502	1902
47	0.147	60.752	40.503	1.448	60.537	40.259	0.444	0.466	0.531	0.351	132.497	2864	1902
48	0.117	69.301	40.722	1.323	69.046	40.576	0.508	0.296	0.515	0.289	170.493	3267	1917
49	0.116	57.295	41.470	1.294	57.108	41.275	0.381	0.402	0.474	0.313	49.729	2707	1950
50	0.111	59.396	43.078	1.304	59.182	42.884	0.444	0.381	0.503	0.280	37.548	2809	2026
51	0.140	40.881	44.267	1.406	40.682	44.027	0.402	0.487	0.514	0.346	57.881	1933	2080
52	0.128	97.697	44.351	1.408	97.536	44.090	0.318	0.529	0.552	0.295	107.096	4610	2083
53	0.145	31.888	44.778	1.468	31.602	44.598	0.550	0.339	0.549	0.337	175.312	1503	2107
54	0.152	121.155	45.275	1.545	120.946	45.043	0.444	0.508	0.555	0.350	55.526	5723	2128
55	0.145	57.053	46.239	1.456	56.832	46.016	0.466	0.423	0.527	0.350	146.057	2688	2174
56	0.150	95.627	46.957	1.545	95.356	46.778	0.572	0.360	0.550	0.346	169.043	4508	2210
57	0.133	68.867	47.187	1.401	68.622	47.011	0.508	0.360	0.513	0.330	169.140	3248	2221
58	0.152	91.179	47.603	1.515	90.996	47.329	0.360	0.572	0.569	0.340	103.604	4303	2236
59	0.134	57.384	48.657	1.388	57.171	48.408	0.402	0.466	0.485	0.353	60.090	2712	2287
60	0.142	85.506	48.674	1.453	85.302	48.429	0.423	0.508	0.545	0.333	124.036	4033	2288
61	0.157	44.363	48.709	1.538	44.069	48.535	0.593	0.381	0.566	0.354	168.579	2086	2293
62	0.152	60.380	49.845	1.523	60.198	49.572	0.360	0.550	0.562	0.344	82.289	2850	2342
63	0.149	78.866	50.229	1.503	78.676	49.932	0.360	0.572	0.542	0.350	97.869	3725	2359
64	0.150	61.365	50.707	1.491	61.150	50.461	0.444	0.487	0.531	0.360	123.020	2893	2384
65	0.135	80.218	51.406	1.401	80.010	51.160	0.402	0.466	0.507	0.338	55.524	3792	2417
66	0.143	99.480	52.535	1.426	99.229	52.345	0.487	0.381	0.501	0.363	17.458	4701	2473
67	0.136	75.893	52.751	1.443	75.692	52.493	0.402	0.487	0.538	0.321	55.347	3590	2480
68	0.141	122.389	52.678	1.438	122.132	52.493	0.487	0.381	0.530	0.339	154.583	5775	2480
69	0.128	56.715	53.700	1.396	56.473	53.530	0.487	0.360	0.511	0.319	157.192	2669	2529
70	0.145	43.360	54.527	1.473	43.138	54.293	0.444	0.466	0.546	0.338	47.493	2050	2565
71	0.137	82.042	54.636	1.448	81.767	54.441	0.508	0.402	0.515	0.339	154.318	3872	2572
72	0.138	42.013	56.092	1.461	41.762	55.880	0.466	0.423	0.515	0.342	139.963	1980	2640
73	0.152	67.091	56.955	1.528	66.908	56.663	0.360	0.572	0.571	0.340	91.376	3169	2677
74	0.139	63.911	57.296	1.480	63.712	57.044	0.402	0.487	0.528	0.336	119.365	3015	2695
75	0.142	109.382	57.660	1.461	109.157	57.446	0.487	0.423	0.541	0.335	145.255	5159	2714
76	0.135	103.844	58.909	1.406	103.590	58.716	0.487	0.381	0.507	0.340	152.400	4902	2774
77	0.161	124.112	59.842	1.521	123.825	59.648	0.572	0.381	0.550	0.372	176.862	5860	2818
78	0.127	39.854	60.475	1.366	39.624	60.283	0.444	0.381	0.503	0.322	30.746	1885	2848
79	0.119	104.418	60.701	1.346	104.182	60.516	0.466	0.381	0.504	0.300	150.267	4927	2859
80	0.143	68.577	61.262	1.448	68.368	61.002	0.402	0.508	0.537	0.339	61.588	3241	2882
81	0.126	68.974	61.294	1.401	68.792	61.045	0.381	0.466	0.496	0.323	116.704	3255	2884
82	0.134	66.974	61.378	1.401	66.738	61.172	0.423	0.444	0.507	0.337	127.676	3157	2890
83	0.169	118.106	61.626	1.593	117.877	61.362	0.444	0.550	0.590	0.366	124.139	5574	2899
84	0.116	70.416	61.700	1.311	70.168	61.532	0.466	0.339	0.463	0.318	10.417	3331	2907
85	0.137	105.419	61.793	1.413	105.220	61.553	0.402	0.466	0.497	0.350	59.853	4980	2908
86	0.130	108.702	62.018	1.401	108.500	61.764	0.381	0.487	0.522	0.318	60.938	5137	2918
87	0.119	103.064	62.175	1.366	102.934	61.891	0.254	0.572	0.563	0.269	90.402	4868	2924
88	0.139	35.012	62.828	1.443	34.819	62.569	0.381	0.508	0.544	0.326	63.756	1654	2956
89	0.136	75.802	62.821	1.426	75.544	62.653	0.508	0.360	0.513	0.337	167.650	3574	2960
90	0.150	58.050	62.979	1.468	57.848	62.717	0.402	0.487	0.528	0.362	60.241	2743	2963
91	0.146	92.707	63.135	1.443	92.498	62.907	0.402	0.487	0.525	0.353	120.749	4373	2972
92	0.112	56.451	63.396	1.294	56.198	63.246	0.487	0.296	0.493	0.289	8.117	2668	2988
93	0.144	66.291	64.121	1.513	66.061	63.860	0.466	0.508	0.578	0.317	131.031	3126	3017
94	0.142	64.823	64.071	1.426	64.558	63.902	0.529	0.339	0.532	0.339	3.270	3059	3019
95	0.136	113.107	64.601	1.401	112.840	64.431	0.508	0.360	0.520	0.332	161.950	5337	3044
96	0.145	103.453	64.637	1.436	103.188	64.452	0.529	0.381	0.530	0.349	159.536	4882	3045
97	0.140	104.183	65.362	1.418	103.950	65.151	0.487	0.402	0.535	0.332	148.795	4915	3078
98	0.142	116.344	66.358	1.456	116.184	66.082	0.339	0.550	0.536	0.339	82.134	5495	3122
99	0.122	83.797	66.373	1.378	83.545	66.209	0.508	0.318	0.533	0.291	162.080	3952	3128
100	0.141	100.714	67.393	1.443	100.520	67.141	0.381	0.508	0.539	0.333	118.139	4754	3172
101	0.129	59.311	67.336	1.371	59.076	67.162	0.466	0.360	0.465	0.352	2.894	2802	3173
102	0.117	62.893	67.495	1.341	62.696	67.268	0.381	0.444	0.483	0.309	55.938	2972	3178
103	0.115	97.875	67.558	1.371	97.600	67.416	0.550	0.296	0.531	0.276	170.313	4617	3185
104	0.135	103.527	67.624	1.461	103.293	67.416	0.487	0.423	0.515	0.333	145.520	4881	3185
105	0.157	102.419	67.980	1.580	102.129	67.755	0.550	0.423	0.572	0.349	32.490	4841	3201
106	0.145	24.298	68.593	1.478	24.130	68.326	0.381	0.550	0.527	0.351	91.675	1145	3228
107	0.153	91.913	68.718	1.505	91.736	68.453	0.339	0.550	0.555	0.350	88.324	4341	3234
108	0.131	69.537	68.718	1.366	69.278	68.559	0.508	0.318	0.515	0.324	3.073	3281	3239
109	0.140	27.662	68.887	1.421	27.411	68.728	0.508	0.339	0.523	0.342	4.066	1302	3247
110	0.141	24.515	69.342	1.443	24.320	69.088	0.381	0.508	0.542	0.332	113.229	1153	3264
111	0.150	100.277	70.267	1.513	100.055	69.998	0.444	0.508	0.560	0.340	128.635	4731	3307
112	0.146	79.033	70.365	1.456	78.825	70.125	0.444	0.444	0.513	0.362	136.186	3726	3313
113	0.142	19.895	70.918	1.491	19.643	70.718	0.508	0.402	0.544	0.332	31.337	940	3341
114	0.116	46.400	71.564	1.334	46.207	71.332	0.423	0.423	0.494	0.300	134.932	2185	3370
115	0.108	105.244	71.734	1.226	105.071	71.543	0.360	0.402	0.421	0.325	66.443	4969	3380
116	0.147	43.128	71.974	1.448	42.884	71.755	0.487	0.423	0.545	0.342	146.916	2032	3390
117	0.138	91.297	72.094	1.426	91.122	71.818	0.339	0.529	0.525	0.334	86.604	4313	3393
118	0.133	48.589	72.169	1.401	48.429	71.903	0.339	0.529	0.524	0.322	99.734	2292	3397
119	0.152	50.613	72.517	1.498	50.440	72.242	0.339	0.572	0.562	0.345	95.688	2389	3413
120	0.146	88.975	72.526	1.551	88.794	72.242	0.360	0.614	0.586	0.317	106.120	4200	3413
121	0.143	65.656	72.751	1.461	65.468	72.454	0.360	0.550	0.533	0.342	99.723	3101	3423
122	0.151	117.299	73.262	1.521	117.073	73.004	0.444	0.487	0.550	0.348	56.103	5543	3449
123	0.133	28.396	74.247	1.383	28.215	73.999	0.360	0.487	0.506	0.335	115.637	1338	3496
124	0.132	65.021	74.389	1.426	64.834	74.126	0.360	0.508	0.505	0.333	81.475	3074	3502
125	0.132	44.951	75.136	1.388	44.725	74.930	0.466	0.402	0.538	0.311	142.472	2115	3540
126	0.147	76.145	75.206	1.461	75.883	75.015	0.529	0.381	0.551	0.340	160.134	3589	3544
127	0.146	90.919	75.309	1.515	90.720	75.057	0.402	0.529	0.561	0.331	62.615	4300	3546
128	0.144	49.519	75.351	1.563	49.318	75.120	0.444	0.508	0.530	0.346	54.269	2341	3549
129	0.155	74.198	75.480	1.508	73.956	75.269	0.508	0.444	0.558	0.353	37.364	3505	3556
130	0.151	46.347	75.836	1.480	46.080	75.671	0.529	0.360	0.535	0.359	5.565	2185	3575
131	0.153	85.572	75.992	1.486	85.323	75.777	0.487	0.423	0.552	0.354	34.031	4044	3580
132	0.150	94.068	76.225	1.468	93.811	76.052	0.529	0.360	0.552	0.345	164.835	4434	3593
133	0.141	111.683	76.405	1.413	111.442	76.200	0.466	0.402	0.505	0.355	27.837	5282	3600
134	0.151	48.308	76.470	1.496	48.070	76.242	0.508	0.444	0.559	0.343	142.323	2275	3602
135	0.134	78.923	76.651	1.401	78.676	76.475	0.508	0.360	0.524	0.327	159.264	3719	3613
136	0.159	60.834	77.413	1.545	60.579	77.195	0.529	0.423	0.588	0.344	146.173	2866	3647
137	0.139	82.429	77.472	1.438	82.254	77.216	0.339	0.529	0.535	0.331	82.230	3894	3648
138	0.131	51.756	77.668	1.431	51.562	77.428	0.381	0.487	0.519	0.321	62.841	2448	3658
139	0.132	94.603	77.655	1.388	94.382	77.449	0.444	0.423	0.516	0.325	42.295	4470	3659
140	0.152	93.430	77.800	1.508	93.239	77.512	0.381	0.572	0.553	0.349	103.787	4410	3662
141	0.129	102.379	77.867	1.376	102.129	77.682	0.487	0.360	0.473	0.348	4.140	4836	3670
142	0.148	120.048	77.869	1.461	119.761	77.682	0.529	0.381	0.512	0.367	12.197	5671	3670
143	0.136	79.906	77.948	1.376	79.714	77.703	0.402	0.466	0.490	0.353	127.265	3771	3671
144	0.160	13.028	77.980	1.551	12.785	77.745	0.487	0.487	0.558	0.366	45.820	616	3673
145	0.126	93.883	78.257	1.366	93.620	78.105	0.508	0.318	0.497	0.323	179.874	4431	3690
146	0.146	67.328	78.400	1.483	67.098	78.147	0.466	0.487	0.531	0.349	49.804	3183	3692
147	0.149	122.517	78.813	1.533	122.259	78.613	0.508	0.423	0.522	0.363	27.516	5790	3714
148	0.143	49.236	79.142	1.443	49.001	78.909	0.444	0.444	0.530	0.343	43.640	2329	3728
149	0.131	116.380	79.794	1.431	116.163	79.566	0.466	0.423	0.541	0.308	144.370	5489	3759
150	0.134	77.973	79.879	1.359	77.766	79.650	0.402	0.444	0.469	0.364	62.202	3682	3763
151	0.138	59.767	80.010	1.461	59.563	79.735	0.402	0.508	0.508	0.347	60.731	2825	3767
152	0.130	66.248	80.209	1.383	66.061	79.968	0.360	0.487	0.504	0.328	107.209	3126	3778
153	0.119	70.927	80.732	1.299	70.739	80.497	0.360	0.444	0.470	0.322	59.094	3353	3803
154	0.147	87.428	80.685	1.461	87.164	80.497	0.529	0.381	0.528	0.353	8.136	4129	3803
155	0.145	62.877	80.853	1.466	62.632	80.624	0.466	0.466	0.538	0.344	136.525	2966	3809
156	0.135	57.746	81.006	1.413	57.573	80.751	0.360	0.508	0.525	0.328	112.648	2722	3815
157	0.138	86.787	81.129	1.413	86.614	80.857	0.360	0.508	0.524	0.334	112.631	4097	3820
158	0.128	56.319	81.192	1.371	56.049	81.026	0.508	0.339	0.515	0.316	163.692	2656	3828
159	0.101	69.862	82.341	1.244	69.681	82.127	0.381	0.402	0.452	0.284	128.977	3295	3880
160	0.141	115.240	82.343	1.436	114.977	82.127	0.508	0.402	0.532	0.337	31.200	5447	3880
161	0.126	121.933	82.469	1.341	121.687	82.296	0.487	0.339	0.487	0.329	8.310	5759	3888
162	0.125	65.241	83.837	1.316	65.024	83.630	0.423	0.402	0.471	0.338	138.429	3077	3951
163	0.122	122.301	83.943	1.396	122.026	83.799	0.508	0.318	0.496	0.313	167.951	5770	3959
164	0.133	62.021	84.128	1.371	61.849	83.862	0.339	0.508	0.499	0.339	99.430	2930	3962
165	0.150	47.921	84.146	1.473	47.731	83.884	0.360	0.550	0.537	0.355	85.681	2263	3963
166	0.141	83.796	84.080	1.480	83.502	83.926	0.572	0.318	0.561	0.320	172.791	3951	3965
167	0.135	94.799	84.204	1.396	94.615	83.968	0.381	0.466	0.523	0.330	122.343	4472	3967
168	0.146	94.368	84.271	1.478	94.128	84.032	0.466	0.466	0.535	0.346	46.760	4460	3970
169	0.151	98.614	84.291	1.491	98.404	84.032	0.423	0.508	0.553	0.349	54.112	4662	3970
170	0.130	55.114	84.385	1.431	54.928	84.095	0.360	0.529	0.521	0.319	70.760	2605	3973
171	0.139	74.488	84.784	1.431	74.295	84.518	0.360	0.529	0.515	0.344	100.543	3518	3993
172	0.137	82.376	85.209	1.456	82.190	84.963	0.381	0.508	0.538	0.323	63.926	3895	4014
173	0.145	79.034	85.284	1.450	78.761	85.111	0.529	0.339	0.534	0.345	177.381	3729	4021
174	0.144	76.772	85.393	1.473	76.539	85.154	0.444	0.466	0.532	0.344	42.746	3633	4023
175	0.143	91.525	86.015	1.503	91.228	85.831	0.572	0.360	0.572	0.318	13.209	4324	4055
176	0.113	76.136	86.242	1.286	75.967	86.000	0.339	0.466	0.473	0.305	103.201	3594	4063
177	0.153	104.407	86.384	1.503	104.204	86.127	0.402	0.529	0.547	0.356	69.663	4933	4069
178	0.139	101.866	86.430	1.473	101.706	86.148	0.339	0.550	0.559	0.316	103.934	4808	4070
179	0.132	107.532	86.555	1.383	107.273	86.381	0.508	0.339	0.526	0.319	161.651	5073	4081
180	0.163	98.687	87.137	1.630	98.510	86.847	0.360	0.614	0.613	0.339	86.966	4659	4103
