 	Area	X	Y	Perim.	BX	BY	Width	Height	Major	Minor	Angle	XStart	YStart
1	0.118	60.922	13.927	1.306	60.770	13.695	0.318	0.466	0.485	0.311	78.212	2877	647
2	0.127	74.296	14.120	1.371	74.126	13.885	0.381	0.466	0.482	0.336	104.250	3506	656
3	0.125	77.480	15.327	1.323	77.301	15.092	0.339	0.466	0.477	0.333	93.976	3658	713
4	0.110	18.100	20.663	1.256	17.928	20.447	0.339	0.423	0.431	0.326	95.008	853	966
5	0.107	73.242	23.233	1.239	73.088	23.029	0.339	0.423	0.443	0.306	66.043	3460	1088
6	0.106	81.129	26.051	1.239	80.899	25.887	0.444	0.318	0.459	0.293	20.563	3834	1223
7	0.109	74.757	26.545	1.244	74.570	26.352	0.381	0.402	0.461	0.301	44.211	3534	1245
8	0.125	97.290	28.273	1.329	97.049	28.109	0.487	0.339	0.506	0.314	163.500	4589	1328
9	0.100	77.493	29.162	1.209	77.280	29.020	0.423	0.296	0.440	0.291	13.710	3660	1371
10	0.102	84.815	29.933	1.261	84.646	29.697	0.339	0.444	0.433	0.300	106.979	4006	1403
11	0.108	83.119	30.475	1.239	82.952	30.247	0.318	0.444	0.451	0.305	90.760	3923	1429
12	0.099	85.052	31.086	1.251	84.921	30.840	0.275	0.487	0.483	0.261	84.164	4017	1457
13	0.112	122.901	31.486	1.256	122.746	31.263	0.318	0.466	0.466	0.306	70.264	5806	1477
14	0.103	38.605	31.623	1.226	38.396	31.454	0.423	0.339	0.424	0.311	168.384	1821	1486
15	0.128	117.049	31.829	1.341	116.798	31.665	0.487	0.339	0.485	0.336	174.666	5524	1496
16	0.095	24.689	32.679	1.179	24.511	32.491	0.360	0.360	0.430	0.280	137.290	1159	1535
17	0.116	82.192	33.334	1.281	82.021	33.105	0.339	0.444	0.458	0.322	72.693	3883	1564
18	0.123	62.903	33.712	1.316	62.696	33.507	0.402	0.423	0.479	0.328	133.300	2966	1583
19	0.100	17.607	34.219	1.202	17.441	34.015	0.339	0.423	0.436	0.292	63.371	832	1607
20	0.122	113.638	34.204	1.346	113.411	34.015	0.444	0.381	0.481	0.322	36.330	5369	1607
21	0.118	23.660	34.503	1.311	23.474	34.269	0.339	0.466	0.467	0.322	100.772	1115	1619
22	0.128	79.468	34.915	1.364	79.248	34.692	0.423	0.444	0.505	0.322	46.220	3757	1639
23	0.118	102.139	34.997	1.276	101.918	34.840	0.444	0.318	0.465	0.323	172.237	4820	1646
24	0.132	120.738	35.923	1.436	120.481	35.729	0.508	0.402	0.543	0.310	32.281	5708	1688
25	0.122	99.339	36.266	1.311	99.102	36.089	0.466	0.339	0.470	0.331	2.235	4693	1705
26	0.120	85.782	36.518	1.323	85.640	36.258	0.296	0.508	0.509	0.299	84.406	4052	1713
27	0.117	97.585	37.400	1.281	97.346	37.232	0.466	0.318	0.471	0.318	170.334	4607	1759
28	0.116	83.445	37.812	1.299	83.270	37.571	0.339	0.466	0.471	0.315	69.706	3944	1775
29	0.117	66.253	38.093	1.281	66.019	37.931	0.466	0.318	0.476	0.314	168.691	3125	1792
30	0.121	90.645	38.376	1.306	90.488	38.142	0.318	0.466	0.487	0.315	104.108	4278	1802
31	0.108	88.391	38.748	1.256	88.223	38.523	0.318	0.466	0.450	0.307	85.820	4174	1820
32	0.118	55.898	39.202	1.299	55.668	39.010	0.444	0.360	0.471	0.318	26.187	2644	1843
33	0.117	88.235	39.393	1.269	88.074	39.158	0.318	0.466	0.462	0.322	91.132	4166	1850
34	0.108	94.919	39.816	1.239	94.763	39.582	0.296	0.466	0.466	0.294	89.612	4482	1870
35	0.124	83.292	39.909	1.353	83.122	39.666	0.339	0.487	0.499	0.317	103.239	3932	1874
36	0.120	79.303	40.488	1.329	79.121	40.259	0.360	0.466	0.495	0.309	118.314	3740	1902
37	0.099	18.828	41.367	1.159	18.648	41.169	0.360	0.381	0.408	0.308	128.908	886	1945
38	0.110	100.218	41.731	1.256	99.991	41.571	0.444	0.339	0.432	0.325	179.174	4734	1964
39	0.096	89.283	42.219	1.167	89.133	42.016	0.296	0.423	0.431	0.283	78.814	4216	1985
40	0.110	58.181	42.310	1.256	58.018	42.079	0.339	0.444	0.461	0.303	106.185	2745	1988
41	0.111	81.129	43.276	1.256	80.962	43.074	0.360	0.423	0.466	0.302	57.426	3833	2035
42	0.128	58.529	44.104	1.341	58.314	43.900	0.423	0.402	0.496	0.328	135.844	2759	2074
43	0.119	67.176	44.257	1.316	66.950	44.069	0.466	0.360	0.487	0.311	153.095	3172	2082
44	0.121	83.995	44.921	1.304	83.820	44.683	0.360	0.466	0.471	0.327	114.410	3966	2111
45	0.113	79.233	45.025	1.291	79.036	44.810	0.381	0.444	0.482	0.300	124.543	3738	2117
46	0.131	10.511	45.556	1.336	10.287	45.381	0.444	0.360	0.462	0.360	8.615	494	2144
47	0.121	35.445	45.736	1.299	35.221	45.551	0.444	0.360	0.467	0.329	158.677	1671	2152
48	0.114	53.797	46.161	1.274	53.615	45.932	0.360	0.444	0.473	0.306	116.233	2538	2170
49	0.114	80.032	47.058	1.269	79.862	46.842	0.339	0.444	0.475	0.306	115.737	3775	2213
50	0.125	54.654	47.522	1.359	54.420	47.329	0.466	0.381	0.495	0.322	33.063	2585	2236
