 	Area	X	Y	Perim.	BX	BY	Width	Height	Major	Minor	Angle	XStart	YStart
1	0.118	108.400	13.088	1.411	108.225	12.827	0.360	0.529	0.521	0.289	61.885	5126	606
2	0.139	104.586	13.578	1.468	104.415	13.293	0.339	0.550	0.564	0.315	79.289	4940	628
3	0.114	48.801	14.309	1.323	48.662	14.055	0.275	0.529	0.527	0.275	89.666	2303	664
4	0.146	114.815	15.936	1.473	114.618	15.706	0.423	0.487	0.551	0.337	53.714	5424	742
5	0.110	56.595	17.089	1.281	56.452	16.828	0.296	0.487	0.482	0.290	99.567	2672	795
6	0.139	86.706	17.431	1.456	86.550	17.145	0.318	0.572	0.556	0.318	88.076	4095	810
7	0.123	68.514	17.674	1.366	68.368	17.420	0.318	0.508	0.526	0.298	80.351	3235	823
8	0.137	54.570	18.259	1.438	54.420	17.992	0.339	0.529	0.535	0.326	99.534	2572	850
9	0.146	33.729	18.362	1.473	33.549	18.098	0.360	0.529	0.537	0.345	92.725	1591	855
10	0.118	29.942	18.374	1.318	29.782	18.140	0.318	0.466	0.499	0.301	107.753	1410	857
11	0.133	86.911	18.557	1.383	86.678	18.373	0.466	0.381	0.522	0.325	149.696	4097	868
12	0.149	97.489	18.663	1.466	97.240	18.436	0.487	0.444	0.541	0.351	38.983	4607	871
13	0.110	98.668	18.853	1.251	98.510	18.627	0.318	0.444	0.437	0.320	90.715	4659	880
14	0.134	42.889	19.410	1.401	42.714	19.135	0.360	0.508	0.500	0.340	83.803	2025	904
15	0.104	51.541	20.545	1.269	51.350	20.320	0.360	0.423	0.493	0.269	54.386	2438	960
16	0.133	89.747	21.106	1.426	89.577	20.849	0.339	0.529	0.529	0.320	81.736	4240	985
17	0.122	102.079	21.225	1.329	101.918	20.976	0.318	0.487	0.493	0.316	102.675	4820	991
18	0.166	86.192	21.546	1.593	85.979	21.251	0.444	0.550	0.591	0.357	116.572	4068	1004
19	0.111	55.224	21.864	1.269	55.076	21.632	0.296	0.487	0.480	0.293	99.803	2605	1022
20	0.123	82.527	22.271	1.341	82.360	22.013	0.339	0.487	0.487	0.321	103.641	3896	1040
21	0.142	62.276	22.396	1.436	62.040	22.183	0.487	0.423	0.523	0.346	143.392	2936	1048
22	0.148	63.623	22.810	1.450	63.352	22.648	0.529	0.339	0.542	0.349	177.621	2998	1070
23	0.140	113.750	23.177	1.426	113.517	22.966	0.444	0.423	0.508	0.351	45.212	5373	1085
24	0.126	87.796	23.379	1.371	87.588	23.156	0.402	0.444	0.519	0.309	126.497	4141	1094
25	0.103	72.542	23.433	1.226	72.348	23.241	0.381	0.381	0.454	0.290	132.087	3422	1098
26	0.152	88.034	24.053	1.491	87.842	23.791	0.402	0.529	0.570	0.339	117.869	4152	1124
27	0.141	36.774	25.041	1.503	36.597	24.744	0.360	0.572	0.571	0.314	79.633	1738	1169
28	0.159	93.687	25.225	1.605	93.451	24.977	0.444	0.508	0.555	0.364	119.287	4419	1180
29	0.134	49.650	25.254	1.388	49.445	25.019	0.402	0.466	0.522	0.328	52.023	2347	1182
30	0.128	60.900	25.826	1.376	60.664	25.633	0.466	0.402	0.516	0.316	36.643	2877	1211
31	0.154	103.619	25.860	1.473	103.378	25.633	0.466	0.444	0.533	0.367	41.352	4896	1211
32	0.133	105.534	26.415	1.453	105.262	26.226	0.572	0.360	0.494	0.342	171.268	4984	1239
33	0.124	44.780	27.110	1.359	44.514	26.924	0.508	0.339	0.524	0.300	17.999	2120	1272
34	0.127	27.066	27.637	1.408	26.903	27.368	0.318	0.529	0.538	0.301	101.033	1276	1293
35	0.162	47.092	27.632	1.593	46.821	27.390	0.529	0.466	0.581	0.356	34.087	2230	1294
36	0.043	18.727	27.995	0.800	18.584	27.898	0.275	0.190	0.275	0.197	172.161	881	1318
37	0.126	38.100	28.664	1.383	37.952	28.384	0.296	0.550	0.545	0.295	96.097	1798	1341
38	0.118	65.993	28.646	1.294	65.828	28.406	0.318	0.466	0.469	0.320	85.804	3117	1342
39	0.124	88.809	28.999	1.341	88.582	28.787	0.423	0.402	0.485	0.325	41.257	4198	1360
40	0.157	91.095	30.207	1.583	90.911	29.930	0.381	0.550	0.559	0.358	91.126	4300	1414
41	0.131	116.675	31.661	1.388	116.438	31.454	0.466	0.402	0.498	0.335	36.790	5514	1486
