 	Area	X	Y	Perim.	BX	BY	Width	Height	Major	Minor	Angle	XStart	YStart
1	0.225	102.962	10.692	1.850	102.637	10.393	0.614	0.572	0.553	0.519	26.117	4863	491
2	0.142	68.062	17.100	1.456	67.882	16.849	0.360	0.529	0.545	0.333	106.038	3211	796
3	0.125	62.149	18.766	1.366	61.997	18.500	0.296	0.529	0.522	0.304	97.323	2935	874
4	0.131	21.163	19.404	1.376	20.997	19.135	0.339	0.529	0.512	0.325	85.288	999	904
5	0.163	74.079	19.446	1.580	73.829	19.198	0.466	0.529	0.586	0.353	131.983	3493	907
6	0.116	87.882	20.853	1.288	87.651	20.701	0.466	0.296	0.488	0.304	5.762	4148	978
7	0.059	116.350	21.075	0.915	116.247	20.913	0.233	0.318	0.322	0.232	93.981	5494	988
8	0.136	52.188	21.190	1.391	52.028	20.934	0.318	0.508	0.523	0.331	89.919	2463	989
9	0.134	78.358	21.524	1.431	78.168	21.272	0.381	0.508	0.538	0.317	60.375	3704	1005
10	0.130	82.840	21.824	1.351	82.635	21.590	0.402	0.466	0.500	0.331	127.052	3910	1020
11	0.116	110.025	23.278	1.329	109.876	23.008	0.318	0.508	0.488	0.304	88.241	5195	1087
12	0.135	71.115	23.499	1.443	70.930	23.241	0.381	0.508	0.554	0.310	116.860	3353	1098
13	0.105	51.488	24.019	1.244	51.266	23.855	0.444	0.339	0.463	0.290	156.980	2427	1127
14	0.115	26.889	25.207	1.264	26.712	24.998	0.339	0.423	0.434	0.338	107.825	1266	1181
15	0.125	39.653	25.315	1.378	39.497	25.061	0.318	0.508	0.523	0.303	82.554	1872	1184
16	0.096	118.732	25.483	1.174	118.597	25.273	0.275	0.423	0.434	0.281	97.142	5606	1194
17	0.129	32.325	25.931	1.418	32.152	25.654	0.339	0.550	0.553	0.296	103.387	1524	1212
18	0.133	62.069	25.915	1.401	61.891	25.654	0.360	0.508	0.503	0.337	80.358	2932	1212
19	0.107	116.092	25.992	1.249	115.909	25.760	0.381	0.423	0.475	0.286	132.339	5480	1217
20	0.127	59.685	26.113	1.406	59.478	25.866	0.381	0.487	0.476	0.340	107.460	2817	1222
21	0.154	43.313	26.294	1.515	43.116	26.014	0.402	0.529	0.555	0.352	110.513	2041	1229
22	0.122	100.569	26.673	1.341	100.394	26.416	0.339	0.487	0.483	0.321	100.832	4751	1248
23	0.151	94.626	26.805	1.533	94.361	26.606	0.529	0.402	0.561	0.342	20.824	4474	1257
24	0.096	33.296	27.390	1.311	33.084	27.242	0.444	0.296	0.462	0.265	174.146	1566	1287
25	0.148	30.133	28.581	1.473	29.930	28.321	0.402	0.508	0.550	0.342	117.938	1419	1338
26	0.124	13.674	28.631	1.304	13.462	28.427	0.423	0.402	0.474	0.332	140.817	641	1343
27	0.101	32.828	29.058	1.191	32.660	28.871	0.318	0.402	0.408	0.315	88.816	1548	1364
28	0.128	85.512	29.125	1.388	85.259	28.977	0.529	0.318	0.512	0.319	4.122	4034	1369
29	0.240	107.243	29.874	2.014	106.955	29.612	0.593	0.529	0.608	0.502	3.950	5061	1399
30	0.147	16.794	30.391	1.438	16.616	30.141	0.360	0.508	0.523	0.359	81.699	791	1424
31	0.122	20.566	31.193	1.316	20.384	30.967	0.402	0.423	0.470	0.331	129.328	967	1463
32	0.138	79.272	31.447	1.491	79.058	31.200	0.423	0.508	0.574	0.307	122.316	3738	1474
33	0.105	15.808	31.734	1.261	15.621	31.517	0.381	0.423	0.493	0.272	130.586	741	1489
34	0.145	126.185	32.116	1.478	125.963	31.877	0.444	0.487	0.535	0.346	134.969	5957	1506
35	0.102	49.053	32.290	1.294	48.916	32.025	0.296	0.487	0.488	0.266	104.574	2314	1513
36	0.107	33.048	32.452	1.251	32.808	32.322	0.487	0.275	0.487	0.279	174.539	1553	1527
37	0.151	102.742	32.680	1.491	102.531	32.427	0.423	0.508	0.566	0.341	123.162	4848	1532
38	0.127	111.091	32.650	1.388	110.850	32.427	0.444	0.423	0.493	0.327	37.499	5252	1532
39	0.135	33.939	32.948	1.448	33.740	32.681	0.402	0.508	0.560	0.308	57.726	1606	1544
40	0.138	56.886	33.020	1.448	56.684	32.766	0.402	0.508	0.552	0.320	58.889	2689	1548
41	0.114	73.418	33.058	1.306	73.279	32.808	0.275	0.508	0.510	0.285	91.949	3467	1550
42	0.125	76.856	33.209	1.388	76.645	32.999	0.423	0.423	0.505	0.315	135.381	3622	1559
43	0.082	106.189	33.191	1.209	105.960	33.041	0.423	0.275	0.403	0.258	13.416	5022	1561
44	0.096	48.322	33.603	1.256	48.154	33.359	0.318	0.466	0.459	0.266	63.764	2286	1576
45	0.141	13.369	33.977	1.443	13.166	33.740	0.402	0.487	0.527	0.340	58.215	633	1594
46	0.134	39.770	34.160	1.418	39.539	33.951	0.466	0.423	0.551	0.310	143.428	1869	1604
47	0.142	98.250	34.615	1.418	98.002	34.417	0.466	0.423	0.525	0.343	141.945	4635	1626
48	0.110	51.417	34.828	1.264	51.266	34.586	0.296	0.466	0.476	0.295	78.733	2430	1634
49	0.091	43.774	35.460	1.184	43.540	35.327	0.466	0.275	0.468	0.249	160.435	2059	1669
50	0.139	97.387	36.235	1.406	97.155	36.026	0.466	0.423	0.512	0.347	141.256	4595	1702
51	0.129	43.784	36.295	1.371	43.624	36.047	0.339	0.508	0.497	0.329	92.432	2066	1703
52	0.147	36.280	36.461	1.461	36.068	36.216	0.423	0.487	0.558	0.336	52.818	1717	1711
53	0.069	77.602	36.989	1.034	77.428	36.851	0.339	0.296	0.364	0.243	37.909	3666	1741
54	0.130	97.425	37.252	1.378	97.176	37.084	0.487	0.339	0.525	0.315	160.067	4594	1752
