 	Area	X	Y	Perim.	BX	BY	Width	Height	Major	Minor	Angle	XStart	YStart
1	0.130	67.872	11.828	1.513	67.691	11.557	0.381	0.529	0.508	0.326	95.677	3208	546
2	0.157	28.862	12.058	1.545	28.681	11.769	0.360	0.572	0.572	0.349	99.154	1361	556
3	0.154	37.799	13.744	1.510	37.613	13.483	0.381	0.529	0.545	0.360	82.842	1784	637
4	0.129	82.155	13.735	1.366	81.978	13.504	0.360	0.466	0.477	0.344	107.224	3877	638
5	0.171	32.204	13.908	1.748	31.962	13.589	0.508	0.550	0.492	0.442	142.090	1519	642
6	0.148	109.048	14.124	1.443	108.860	13.864	0.381	0.508	0.526	0.358	74.221	5150	655
7	0.138	89.526	14.138	1.453	89.323	13.885	0.402	0.508	0.508	0.346	116.827	4225	656
8	0.148	29.913	14.379	1.468	29.718	14.118	0.360	0.529	0.536	0.352	86.263	1412	667
9	0.108	77.902	14.367	1.226	77.703	14.182	0.402	0.360	0.431	0.320	25.954	3681	670
10	0.118	83.921	14.661	1.274	83.693	14.478	0.444	0.360	0.441	0.340	24.803	3963	684
11	0.059	10.726	15.376	0.967	10.583	15.219	0.275	0.318	0.312	0.239	55.503	507	719
12	0.139	87.797	15.677	1.461	87.545	15.473	0.508	0.402	0.570	0.311	32.577	4150	731
13	0.111	77.702	16.172	1.226	77.491	16.002	0.423	0.339	0.446	0.316	153.318	3665	756
14	0.149	19.096	16.335	1.486	18.902	16.066	0.381	0.529	0.555	0.341	70.180	902	759
15	0.138	23.722	16.520	1.473	23.474	16.298	0.487	0.423	0.535	0.328	37.319	1127	770
16	0.157	41.863	16.794	1.540	41.571	16.616	0.572	0.360	0.577	0.346	166.407	1971	785
17	0.141	98.841	17.173	1.438	98.658	16.933	0.360	0.508	0.525	0.341	73.786	4669	800
18	0.124	76.270	17.344	1.383	76.031	17.166	0.487	0.360	0.529	0.298	28.232	3604	811
19	0.116	80.605	17.746	1.286	80.391	17.547	0.423	0.381	0.464	0.318	145.866	3804	829
20	0.141	25.599	17.992	1.450	25.442	17.716	0.318	0.550	0.548	0.327	83.576	1209	837
21	0.147	37.157	18.289	1.466	36.957	18.013	0.402	0.529	0.535	0.349	113.028	1752	851
22	0.161	20.637	18.526	1.623	20.320	18.330	0.635	0.381	0.608	0.338	20.766	976	866
23	0.133	18.870	18.658	1.388	18.669	18.415	0.402	0.466	0.498	0.340	117.328	887	870
24	0.145	21.413	19.033	1.450	21.230	18.775	0.381	0.487	0.513	0.360	72.956	1010	887
25	0.156	18.174	19.096	1.515	17.907	18.902	0.529	0.381	0.548	0.364	15.326	861	893
26	0.107	117.314	20.426	1.209	117.136	20.256	0.381	0.360	0.412	0.330	31.361	5539	957
27	0.134	86.451	20.626	1.353	86.212	20.447	0.466	0.360	0.483	0.353	160.008	4078	966
28	0.144	20.285	21.417	1.473	20.066	21.146	0.402	0.508	0.533	0.344	65.835	959	999
29	0.121	118.022	22.060	1.279	117.814	21.865	0.423	0.402	0.447	0.343	141.782	5570	1033
30	0.138	10.828	22.546	1.418	10.647	22.288	0.360	0.508	0.501	0.351	88.313	512	1053
31	0.150	79.904	22.674	1.491	79.629	22.479	0.529	0.402	0.561	0.340	152.243	3766	1062
32	0.126	80.722	22.738	1.336	80.560	22.500	0.339	0.466	0.486	0.330	104.124	3809	1063
33	0.138	79.695	23.374	1.431	79.481	23.135	0.402	0.487	0.535	0.327	122.751	3759	1093
34	0.112	78.744	23.806	1.246	78.528	23.643	0.423	0.318	0.447	0.320	10.096	3719	1117
35	0.137	9.985	25.228	1.396	9.737	25.040	0.487	0.360	0.488	0.356	177.143	471	1183
36	0.140	96.957	25.454	1.406	96.753	25.210	0.423	0.466	0.512	0.347	127.319	4576	1191
37	0.155	44.844	27.109	1.510	44.640	26.839	0.402	0.508	0.553	0.358	64.694	2119	1268
38	0.180	11.610	27.175	1.610	11.366	26.924	0.508	0.508	0.585	0.391	131.268	541	1272
39	0.118	102.257	27.209	1.336	102.044	27.051	0.423	0.339	0.447	0.337	178.289	4825	1278
40	0.143	113.820	28.088	1.413	113.623	27.855	0.381	0.487	0.497	0.366	74.447	5375	1316
41	0.155	116.173	28.983	1.508	115.930	28.766	0.508	0.444	0.548	0.361	146.296	5481	1359
42	0.157	60.449	29.523	1.508	60.198	29.295	0.508	0.444	0.554	0.361	144.003	2849	1384
43	0.132	69.424	30.464	1.371	69.236	30.247	0.381	0.466	0.496	0.338	59.153	3279	1429
44	0.129	95.235	30.666	1.341	94.996	30.480	0.444	0.381	0.478	0.344	146.906	4493	1440
45	0.152	64.075	31.472	1.491	63.796	31.284	0.529	0.381	0.529	0.367	177.004	3026	1478
46	0.130	94.505	32.306	1.401	94.340	32.046	0.339	0.529	0.537	0.308	76.149	4464	1514
47	0.089	100.898	32.482	1.137	100.753	32.279	0.296	0.402	0.396	0.285	102.582	4765	1525
48	0.108	88.804	32.892	1.359	88.625	32.660	0.381	0.466	0.518	0.264	53.040	4202	1543
49	0.110	100.825	33.085	1.232	100.626	32.893	0.402	0.381	0.414	0.337	135.415	4759	1554
50	0.142	101.656	34.908	1.448	101.452	34.650	0.423	0.487	0.538	0.335	127.233	4797	1637
51	0.106	17.929	35.280	1.249	17.759	35.052	0.339	0.444	0.420	0.322	80.271	846	1656
52	0.153	104.422	35.563	1.496	104.204	35.306	0.444	0.508	0.553	0.352	124.763	4929	1668
53	0.153	23.250	37.900	1.480	23.050	37.656	0.381	0.508	0.535	0.364	70.931	1097	1779
54	0.152	42.359	38.046	1.521	42.101	37.846	0.550	0.402	0.553	0.350	154.717	1992	1788
55	0.161	39.938	39.624	1.523	39.751	39.370	0.381	0.529	0.552	0.371	74.316	1883	1860
56	0.043	44.275	40.066	0.818	44.175	39.920	0.212	0.275	0.282	0.194	106.187	2088	1886
57	0.146	58.211	40.267	1.468	58.039	40.005	0.339	0.550	0.563	0.331	103.072	2745	1890
58	0.138	64.778	40.748	1.394	64.558	40.513	0.444	0.444	0.508	0.346	45.428	3062	1914
59	0.163	18.683	41.047	1.600	18.500	40.767	0.360	0.572	0.581	0.357	97.768	880	1926
60	0.127	87.537	42.416	1.359	87.355	42.185	0.360	0.487	0.495	0.327	76.449	4134	1993
61	0.139	84.267	43.222	1.424	84.032	42.990	0.444	0.466	0.527	0.337	50.008	3982	2031
62	0.100	31.720	46.826	1.221	31.517	46.672	0.423	0.296	0.423	0.302	6.127	1494	2205
63	0.172	53.916	47.382	1.605	53.636	47.180	0.572	0.423	0.595	0.369	22.677	2546	2229
64	0.145	18.470	49.385	1.491	18.288	49.149	0.381	0.508	0.520	0.354	72.872	871	2322
65	0.131	38.354	50.582	1.366	38.121	50.419	0.487	0.339	0.503	0.332	174.133	1804	2382
66	0.138	108.785	51.774	1.431	108.585	51.520	0.381	0.508	0.540	0.325	66.047	5140	2434
67	0.146	121.887	53.044	1.483	121.645	52.811	0.487	0.466	0.549	0.338	138.503	5752	2495
68	0.142	78.547	53.251	1.441	78.317	53.001	0.444	0.487	0.519	0.348	52.490	3713	2504
69	0.161	19.522	53.922	1.543	19.262	53.679	0.487	0.508	0.562	0.366	132.273	916	2536
70	0.138	28.711	53.884	1.401	28.469	53.700	0.487	0.381	0.504	0.347	160.599	1350	2537
71	0.116	20.661	53.937	1.261	20.447	53.742	0.423	0.381	0.437	0.337	152.289	974	2539
72	0.144	69.293	56.825	1.436	69.067	56.600	0.444	0.466	0.522	0.351	126.758	3267	2674
73	0.156	22.936	56.874	1.523	22.648	56.706	0.572	0.339	0.567	0.351	179.239	1077	2679
74	0.163	34.328	57.056	1.553	34.142	56.769	0.360	0.572	0.573	0.362	88.444	1621	2682
75	0.147	69.882	57.710	1.456	69.702	57.446	0.360	0.529	0.542	0.346	76.524	3302	2714
76	0.117	81.666	57.907	1.299	81.470	57.700	0.381	0.423	0.470	0.318	54.775	3858	2726
77	0.121	70.814	58.442	1.371	70.633	58.208	0.339	0.487	0.502	0.307	112.870	3341	2750
78	0.167	63.261	58.687	1.593	62.971	58.484	0.593	0.402	0.591	0.360	12.162	2992	2763
79	0.157	11.024	59.143	1.528	10.732	58.970	0.593	0.339	0.584	0.343	171.983	514	2786
80	0.117	70.988	59.533	1.316	70.760	59.351	0.444	0.360	0.471	0.316	151.506	3348	2804
81	0.116	70.109	59.670	1.256	69.914	59.478	0.402	0.381	0.460	0.320	137.656	3306	2810
82	0.145	71.204	60.313	1.478	71.014	60.050	0.402	0.508	0.534	0.346	118.395	3359	2837
83	0.138	12.399	60.429	1.418	12.213	60.156	0.381	0.508	0.514	0.342	112.331	584	2842
84	0.133	69.792	60.602	1.431	69.575	60.367	0.423	0.466	0.531	0.319	48.662	3297	2852
85	0.147	70.732	60.865	1.448	70.485	60.664	0.508	0.402	0.492	0.379	163.981	3336	2866
86	0.131	72.288	60.984	1.359	72.094	60.770	0.402	0.444	0.459	0.363	51.233	3415	2871
87	0.134	70.875	61.635	1.424	70.654	61.404	0.466	0.444	0.505	0.338	133.174	3344	2901
88	0.145	69.366	62.478	1.443	69.173	62.230	0.381	0.508	0.538	0.343	113.109	3272	2940
89	0.132	76.716	62.716	1.406	76.518	62.463	0.423	0.466	0.531	0.316	133.291	3618	2951
90	0.138	74.775	63.095	1.413	74.528	62.907	0.508	0.360	0.522	0.336	165.998	3530	2972
91	0.121	71.934	63.115	1.311	71.692	62.950	0.466	0.339	0.465	0.331	175.482	3394	2974
92	0.146	69.790	63.583	1.515	69.596	63.310	0.381	0.550	0.575	0.323	63.853	3300	2991
93	0.142	70.305	63.667	1.448	70.104	63.415	0.360	0.529	0.509	0.354	92.098	3321	2996
94	0.143	77.272	63.792	1.448	77.026	63.585	0.508	0.402	0.539	0.339	152.481	3644	3004
95	0.165	73.843	64.005	1.538	73.596	63.754	0.487	0.487	0.572	0.367	41.168	3494	3012
96	0.157	75.285	64.049	1.523	75.099	63.796	0.381	0.529	0.568	0.352	69.943	3556	3014
97	0.139	67.390	64.579	1.353	67.183	64.389	0.423	0.402	0.438	0.404	15.945	3179	3042
98	0.161	77.958	64.892	1.528	77.682	64.706	0.550	0.381	0.558	0.367	14.890	3681	3057
99	0.130	69.118	65.634	1.359	68.919	65.405	0.402	0.444	0.490	0.338	53.512	3267	3090
100	0.137	63.196	68.119	1.406	62.950	67.903	0.466	0.423	0.507	0.343	37.772	2986	3208
101	0.136	64.466	68.231	1.401	64.220	68.051	0.508	0.360	0.517	0.336	164.984	3040	3215
102	0.150	63.639	68.326	1.473	63.394	68.093	0.466	0.444	0.517	0.369	45.986	3007	3217
103	0.135	83.722	69.171	1.378	83.481	69.003	0.487	0.339	0.504	0.342	4.174	3954	3260
104	0.134	76.891	69.353	1.408	76.708	69.109	0.360	0.487	0.515	0.332	72.689	3631	3265
105	0.149	97.918	69.712	1.515	97.726	69.469	0.381	0.508	0.547	0.346	112.601	4618	3282
106	0.125	74.702	70.542	1.359	74.486	70.337	0.444	0.402	0.515	0.309	139.086	3522	3323
107	0.118	104.093	71.131	1.274	103.886	70.930	0.402	0.402	0.450	0.333	43.239	4919	3351
