 	Area	X	Y	Perim.	BX	BY	Width	Height	Major	Minor	Angle	XStart	YStart
1	0.135	66.738	12.709	1.383	66.569	12.446	0.339	0.508	0.521	0.330	76.938	3153	588
2	0.135	82.562	14.163	1.408	82.381	13.906	0.339	0.508	0.519	0.331	95.456	3898	657
3	0.143	70.007	14.514	1.431	69.808	14.266	0.402	0.487	0.527	0.345	120.667	3302	674
4	0.132	33.408	16.463	1.396	33.253	16.192	0.318	0.529	0.526	0.319	101.755	1574	765
5	0.174	20.832	16.777	1.553	20.574	16.574	0.529	0.402	0.560	0.396	163.473	976	783
6	0.123	47.803	18.648	1.418	47.583	18.415	0.423	0.466	0.538	0.291	50.305	2260	870
7	0.146	45.109	21.399	1.478	44.873	21.146	0.444	0.487	0.558	0.333	51.340	2133	999
8	0.145	58.974	22.260	1.450	58.801	21.992	0.339	0.529	0.545	0.338	81.248	2785	1039
9	0.149	52.728	22.354	1.468	52.536	22.098	0.381	0.508	0.537	0.353	69.691	2490	1044
10	0.142	68.702	23.235	1.436	68.453	23.008	0.466	0.444	0.523	0.346	38.119	3248	1087
11	0.145	92.056	24.658	1.491	91.821	24.405	0.444	0.487	0.565	0.327	44.907	4356	1153
12	0.142	63.019	25.861	1.468	62.865	25.590	0.318	0.572	0.566	0.320	87.983	2974	1209
13	0.108	61.275	25.907	1.251	61.045	25.739	0.444	0.318	0.442	0.310	19.168	2893	1216
14	0.167	73.348	26.174	1.568	73.110	25.908	0.466	0.529	0.581	0.366	124.077	3459	1224
15	0.155	102.668	26.731	1.533	102.404	26.501	0.508	0.444	0.561	0.352	36.599	4856	1252
16	0.160	80.018	27.316	1.556	79.777	27.072	0.487	0.487	0.580	0.351	47.184	3782	1279
17	0.151	43.146	27.305	1.491	42.884	27.093	0.529	0.402	0.544	0.353	154.830	2032	1280
18	0.153	70.680	27.844	1.508	70.443	27.601	0.466	0.487	0.564	0.345	46.311	3342	1304
19	0.155	13.268	28.263	1.610	12.996	28.025	0.487	0.487	0.490	0.404	135.456	625	1324
20	0.123	16.342	28.345	1.388	16.129	28.130	0.423	0.423	0.476	0.330	35.664	775	1329
21	0.122	42.689	29.556	1.334	42.460	29.358	0.466	0.381	0.473	0.329	23.272	2018	1387
22	0.143	103.312	29.698	1.468	103.018	29.528	0.550	0.339	0.551	0.331	9.696	4880	1395
23	0.142	86.697	29.771	1.461	86.424	29.570	0.529	0.381	0.529	0.342	18.836	4099	1397
24	0.052	79.609	31.412	0.962	79.396	31.306	0.381	0.212	0.378	0.175	4.446	3763	1479
25	0.114	108.458	32.476	1.329	108.225	32.279	0.444	0.381	0.507	0.287	37.462	5127	1525
26	0.142	28.612	33.008	1.436	28.384	32.766	0.444	0.466	0.539	0.336	132.955	1347	1548
27	0.135	67.332	33.532	1.391	67.183	33.274	0.318	0.508	0.522	0.330	90.244	3177	1572
28	0.150	25.110	34.120	1.533	24.913	33.824	0.381	0.572	0.582	0.327	68.709	1190	1598
29	0.144	71.457	35.323	1.431	71.205	35.116	0.487	0.402	0.522	0.352	28.830	3378	1659
30	0.134	97.095	35.736	1.396	96.816	35.581	0.529	0.318	0.527	0.322	3.867	4583	1681
31	0.144	103.816	38.371	1.473	103.632	38.079	0.360	0.550	0.532	0.345	94.610	4905	1799
32	0.147	60.154	39.708	1.498	59.944	39.455	0.402	0.508	0.557	0.336	61.715	2842	1864
33	0.141	36.327	39.928	1.515	36.004	39.751	0.593	0.339	0.572	0.313	10.478	1718	1878
34	0.130	64.085	41.473	1.353	63.818	41.317	0.508	0.318	0.509	0.326	178.612	3022	1952
35	0.135	99.922	41.990	1.388	99.674	41.804	0.487	0.381	0.508	0.338	23.619	4721	1975
