 	Area	X	Y	Perim.	BX	BY	Width	Height	Major	Minor	Angle	XStart	YStart
1	0.107	70.596	12.076	1.239	70.443	11.853	0.318	0.444	0.443	0.306	105.181	3331	560
2	0.115	65.979	13.726	1.321	65.744	13.526	0.423	0.402	0.389	0.377	93.451	3116	639
3	0.119	62.808	14.071	1.311	62.569	13.906	0.466	0.339	0.472	0.320	23.180	2964	657
4	0.126	48.704	14.493	1.383	48.535	14.224	0.339	0.508	0.512	0.314	99.584	2299	672
5	0.159	81.667	14.878	1.595	81.492	14.584	0.360	0.572	0.574	0.352	101.231	3852	689
6	0.047	72.838	15.144	0.870	72.665	15.028	0.339	0.233	0.352	0.168	153.596	3437	710
7	0.127	78.620	15.373	1.371	78.444	15.113	0.360	0.487	0.499	0.325	110.422	3711	714
8	0.131	48.310	15.594	1.401	48.133	15.346	0.360	0.487	0.492	0.339	98.358	2278	725
9	0.140	73.363	18.474	1.443	73.194	18.182	0.339	0.550	0.534	0.335	88.098	3465	859
10	0.140	86.054	18.919	1.493	85.873	18.648	0.360	0.529	0.565	0.316	106.336	4061	881
11	0.138	60.477	19.139	1.468	60.304	18.838	0.339	0.550	0.544	0.323	75.302	2858	890
12	0.142	59.373	19.795	1.510	59.203	19.516	0.339	0.550	0.539	0.335	99.199	2802	922
13	0.140	69.158	20.644	1.418	68.940	20.405	0.423	0.466	0.522	0.341	51.380	3272	964
14	0.126	45.748	20.674	1.359	45.508	20.489	0.487	0.360	0.478	0.336	168.919	2161	968
15	0.136	34.970	21.865	1.448	34.713	21.654	0.487	0.423	0.546	0.318	37.026	1654	1023
16	0.132	74.425	22.131	1.413	74.253	21.886	0.339	0.529	0.525	0.320	100.594	3511	1034
17	0.126	46.905	22.543	1.371	46.757	22.267	0.318	0.529	0.510	0.314	91.907	2213	1052
18	0.132	47.405	22.471	1.413	47.117	22.310	0.550	0.318	0.538	0.312	3.576	2238	1054
19	0.142	69.747	22.632	1.436	69.490	22.416	0.487	0.423	0.542	0.334	37.588	3297	1059
20	0.142	109.982	23.055	1.468	109.813	22.796	0.339	0.529	0.541	0.333	99.636	5192	1077
21	0.137	38.585	23.651	1.456	38.333	23.453	0.487	0.402	0.547	0.318	29.352	1829	1108
22	0.120	82.583	24.224	1.311	82.402	24.003	0.360	0.444	0.492	0.311	119.412	3895	1134
23	0.142	45.562	24.278	1.486	45.297	24.109	0.572	0.339	0.568	0.319	10.098	2153	1139
24	0.151	59.529	25.467	1.558	59.372	25.167	0.318	0.593	0.586	0.329	93.779	2809	1189
25	0.136	69.976	25.495	1.473	69.808	25.188	0.339	0.572	0.555	0.311	77.442	3308	1190
26	0.128	34.160	25.697	1.396	34.015	25.421	0.296	0.550	0.545	0.299	98.958	1609	1201
27	0.129	50.746	25.951	1.408	50.482	25.802	0.550	0.296	0.554	0.296	175.485	2390	1219
28	0.140	51.367	26.056	1.436	51.139	25.844	0.487	0.423	0.519	0.343	144.774	2420	1221
29	0.135	100.548	26.549	1.431	100.372	26.268	0.360	0.529	0.535	0.322	74.963	4751	1241
30	0.146	108.502	26.568	1.491	108.331	26.289	0.360	0.572	0.550	0.338	93.935	5124	1242
31	0.147	21.845	26.685	1.515	21.654	26.416	0.360	0.550	0.564	0.333	104.977	1028	1248
32	0.144	34.987	26.984	1.468	34.734	26.797	0.508	0.381	0.558	0.328	27.774	1654	1266
33	0.145	52.685	27.140	1.491	52.472	26.903	0.466	0.466	0.569	0.325	131.406	2481	1271
34	0.135	22.566	27.158	1.431	22.331	26.945	0.444	0.444	0.530	0.324	131.420	1056	1273
35	0.130	87.703	27.252	1.426	87.545	26.988	0.318	0.550	0.545	0.304	95.658	4140	1275
36	0.122	34.605	27.712	1.383	34.459	27.432	0.296	0.550	0.537	0.290	82.045	1635	1296
37	0.137	47.219	27.855	1.413	46.969	27.686	0.529	0.339	0.523	0.334	179.530	2227	1308
38	0.148	71.615	28.607	1.468	71.438	28.342	0.360	0.529	0.549	0.343	108.621	3376	1339
39	0.100	9.158	28.649	1.209	8.954	28.490	0.381	0.339	0.375	0.339	171.951	430	1346
40	0.119	91.232	28.819	1.329	91.059	28.596	0.360	0.466	0.479	0.316	62.663	4311	1351
41	0.137	49.785	29.049	1.408	49.551	28.871	0.487	0.360	0.525	0.332	156.577	2341	1364
42	0.148	114.434	29.597	1.538	114.194	29.337	0.444	0.508	0.554	0.341	50.489	5411	1386
43	0.137	53.745	29.610	1.466	53.530	29.358	0.444	0.487	0.556	0.313	131.090	2530	1387
44	0.046	115.499	30.360	0.798	115.380	30.226	0.254	0.275	0.277	0.210	121.289	5453	1428
45	0.139	32.974	32.309	1.413	32.724	32.131	0.508	0.360	0.513	0.346	178.453	1554	1518
46	0.133	62.352	32.362	1.443	62.145	32.131	0.423	0.466	0.532	0.317	126.007	2939	1518
47	0.117	87.621	32.847	1.329	87.461	32.618	0.339	0.487	0.488	0.306	72.724	4140	1541
48	0.144	74.507	33.171	1.498	74.337	32.872	0.339	0.572	0.575	0.319	104.225	3515	1553
49	0.134	15.699	33.488	1.448	15.494	33.232	0.423	0.487	0.550	0.311	122.858	734	1570
50	0.138	49.372	33.765	1.468	49.191	33.507	0.360	0.529	0.566	0.312	114.939	2327	1583
51	0.131	48.938	33.791	1.401	48.768	33.549	0.339	0.529	0.514	0.325	103.094	2308	1585
52	0.142	52.833	34.118	1.456	52.642	33.867	0.381	0.508	0.534	0.339	71.367	2495	1600
53	0.158	13.304	34.337	1.545	13.018	34.142	0.572	0.381	0.576	0.349	159.201	621	1613
54	0.132	99.689	34.600	1.418	99.441	34.375	0.466	0.423	0.517	0.324	42.999	4712	1624
55	0.116	51.269	34.807	1.323	51.118	34.544	0.296	0.508	0.499	0.296	88.209	2422	1632
56	0.128	47.421	35.095	1.448	47.244	34.798	0.360	0.550	0.544	0.300	107.641	2237	1644
57	0.138	59.770	35.266	1.431	59.563	35.031	0.423	0.466	0.547	0.320	127.346	2817	1655
58	0.112	7.784	35.328	1.281	7.578	35.158	0.402	0.339	0.405	0.353	4.912	365	1661
59	0.127	72.545	35.940	1.418	72.390	35.687	0.318	0.550	0.524	0.308	90.817	3425	1686
60	0.140	77.328	36.164	1.461	77.152	35.878	0.360	0.550	0.560	0.319	104.891	3649	1695
