 	Area	X	Y	Perim.	BX	BY	Width	Height	Major	Minor	Angle	XStart	YStart
1	0.041	48.838	1.259	0.788	48.704	1.143	0.254	0.233	0.245	0.214	120.467	2305	54
2	0.141	61.461	14.502	1.424	61.214	14.288	0.487	0.423	0.507	0.354	29.417	2907	675
3	0.125	91.942	16.009	1.334	91.715	15.833	0.444	0.360	0.437	0.363	0.111	4339	748
4	0.052	116.022	17.230	0.848	115.888	17.082	0.254	0.275	0.273	0.240	75.250	5481	807
5	0.132	69.509	17.670	1.351	69.321	17.420	0.381	0.487	0.467	0.360	109.866	3282	823
6	0.044	67.927	20.831	0.823	67.818	20.680	0.233	0.296	0.325	0.172	54.244	3211	977
7	0.115	105.662	21.356	1.269	105.495	21.146	0.339	0.423	0.434	0.338	85.333	4989	999
8	0.140	70.423	24.512	1.424	70.210	24.278	0.423	0.487	0.508	0.352	123.790	3323	1147
9	0.048	5.850	26.576	0.830	5.715	26.458	0.275	0.233	0.289	0.213	30.321	277	1250
10	0.116	109.646	28.068	1.316	109.432	27.855	0.423	0.402	0.476	0.312	39.238	5183	1316
11	0.155	85.816	31.239	1.473	85.556	31.052	0.529	0.381	0.532	0.371	164.417	4047	1467
12	0.122	91.146	31.434	1.304	90.932	31.221	0.423	0.402	0.472	0.330	37.360	4310	1475
13	0.132	109.289	32.000	1.366	109.114	31.771	0.360	0.466	0.474	0.355	78.461	5161	1501
14	0.113	105.126	32.428	1.274	104.902	32.258	0.444	0.360	0.464	0.311	26.470	4966	1524
15	0.125	113.146	33.848	1.329	112.966	33.613	0.360	0.466	0.470	0.338	86.656	5343	1588
16	0.141	49.295	34.539	1.436	49.064	34.311	0.444	0.466	0.538	0.334	129.967	2322	1621
17	0.129	79.145	34.788	1.353	78.888	34.629	0.508	0.318	0.503	0.326	175.553	3733	1636
18	0.155	110.450	35.184	1.473	110.215	34.967	0.466	0.444	0.514	0.383	138.800	5212	1652
19	0.123	79.294	35.836	1.329	79.058	35.666	0.487	0.339	0.504	0.311	156.639	3738	1685
20	0.120	45.960	37.623	1.286	45.784	37.402	0.360	0.444	0.465	0.329	120.886	2166	1767
21	0.155	113.612	38.005	1.478	113.369	37.782	0.487	0.444	0.542	0.364	35.851	5369	1785
22	0.121	83.326	38.265	1.299	83.164	38.037	0.339	0.466	0.471	0.327	96.780	3934	1797
