 	Area	X	Y	Perim.	BX	BY	Width	Height	Major	Minor	Angle	XStart	YStart
1	0.042	83.068	16.437	0.828	82.931	16.298	0.275	0.275	0.296	0.179	130.037	3922	770
2	0.119	98.041	17.926	1.456	97.811	17.759	0.466	0.381	0.459	0.329	163.533	4628	839
3	0.094	87.716	19.515	1.179	87.524	19.368	0.402	0.296	0.409	0.292	172.421	4139	915
4	0.110	97.506	23.066	1.244	97.282	22.902	0.444	0.339	0.459	0.304	155.277	4599	1082
5	0.107	73.878	24.025	1.244	73.724	23.791	0.318	0.466	0.460	0.296	107.181	3487	1124
6	0.108	97.738	24.258	1.378	97.515	24.109	0.487	0.296	0.456	0.303	167.737	4611	1139
7	0.120	103.554	24.733	1.304	103.336	24.553	0.444	0.381	0.449	0.340	150.672	4886	1160
8	0.116	105.100	25.101	1.294	104.881	24.934	0.444	0.339	0.445	0.334	166.134	4961	1178
9	0.104	90.445	25.462	1.214	90.234	25.294	0.402	0.360	0.414	0.320	149.504	4269	1195
10	0.106	46.521	25.686	1.234	46.376	25.464	0.296	0.444	0.455	0.297	80.006	2196	1203
11	0.098	41.503	26.635	1.167	41.360	26.416	0.296	0.423	0.417	0.298	93.780	1959	1248
12	0.042	75.556	27.454	0.818	75.396	27.347	0.296	0.212	0.293	0.181	25.520	3569	1292
13	0.098	69.500	27.925	1.219	69.342	27.707	0.318	0.444	0.435	0.287	106.219	3280	1309
14	0.108	58.037	28.044	1.226	57.848	27.855	0.402	0.360	0.450	0.305	140.782	2736	1316
15	0.103	65.237	28.849	1.244	65.045	28.660	0.402	0.381	0.457	0.289	41.444	3084	1354
16	0.077	123.576	29.500	1.010	123.423	29.337	0.318	0.318	0.316	0.311	1.317	5836	1386
17	0.107	34.053	30.034	1.239	33.846	29.866	0.423	0.339	0.447	0.304	159.933	1604	1411
18	0.108	109.687	30.146	1.311	109.495	29.908	0.339	0.466	0.473	0.291	73.396	5183	1413
19	0.087	88.319	30.309	1.119	88.180	30.120	0.296	0.381	0.398	0.278	112.154	4168	1423
20	0.126	83.443	30.501	1.364	83.270	30.247	0.339	0.508	0.481	0.334	88.733	3941	1429
21	0.093	52.139	31.998	1.261	51.922	31.856	0.444	0.296	0.419	0.282	166.091	2457	1505
22	0.073	91.950	32.641	0.992	91.779	32.512	0.360	0.254	0.361	0.259	173.573	4339	1536
23	0.102	86.424	32.740	1.204	86.212	32.597	0.423	0.296	0.428	0.304	1.379	4079	1540
24	0.086	83.141	32.844	1.069	82.952	32.702	0.381	0.296	0.380	0.287	177.165	3924	1545
25	0.118	15.941	33.585	1.329	15.769	33.338	0.339	0.487	0.480	0.312	93.815	752	1575
26	0.105	15.165	33.578	1.214	15.007	33.359	0.318	0.444	0.434	0.308	91.174	715	1576
27	0.087	79.548	33.628	1.089	79.375	33.464	0.339	0.318	0.370	0.300	143.628	3754	1581
28	0.101	90.643	33.620	1.172	90.424	33.464	0.423	0.318	0.418	0.309	7.867	4280	1581
29	0.072	89.166	34.535	0.980	88.985	34.396	0.339	0.275	0.328	0.278	9.118	4211	1625
30	0.106	95.520	35.401	1.251	95.335	35.221	0.381	0.360	0.431	0.312	141.588	4505	1664
31	0.101	71.044	35.456	1.226	70.866	35.242	0.360	0.402	0.455	0.283	126.771	3350	1665
32	0.094	73.319	36.011	1.137	73.173	35.814	0.296	0.402	0.418	0.286	70.129	3463	1692
33	0.117	75.010	36.087	1.431	74.824	35.835	0.381	0.466	0.469	0.319	54.485	3549	1693
34	0.119	63.634	36.184	1.286	63.458	35.962	0.360	0.444	0.461	0.328	66.338	3006	1699
35	0.110	70.257	36.348	1.239	70.040	36.174	0.423	0.339	0.441	0.317	155.190	3313	1709
36	0.086	106.926	36.471	1.087	106.744	36.301	0.360	0.339	0.360	0.303	141.246	5049	1715
37	0.063	104.585	37.156	0.915	104.458	37.020	0.254	0.296	0.300	0.266	106.618	4936	1749
38	0.091	102.266	37.680	1.124	102.066	37.528	0.381	0.318	0.384	0.303	9.442	4830	1773
39	0.100	81.655	38.803	1.191	81.513	38.587	0.296	0.423	0.436	0.293	77.967	3857	1823
40	0.113	73.558	38.876	1.269	73.342	38.693	0.423	0.360	0.472	0.304	33.299	3477	1828
41	0.113	95.362	38.894	1.346	95.144	38.693	0.423	0.381	0.414	0.348	16.805	4500	1828
42	0.099	72.989	39.557	1.172	72.834	39.349	0.318	0.423	0.433	0.290	67.423	3449	1859
43	0.107	108.147	39.668	1.251	107.992	39.455	0.318	0.444	0.466	0.291	69.114	5109	1864
44	0.106	74.287	40.018	1.244	74.104	39.814	0.360	0.423	0.469	0.287	124.820	3504	1881
45	0.121	23.859	40.921	1.473	23.686	40.661	0.360	0.487	0.480	0.321	63.317	1128	1921
46	0.100	40.187	40.893	1.189	39.984	40.725	0.423	0.339	0.425	0.299	14.642	1898	1924
47	0.116	89.495	41.077	1.269	89.281	40.894	0.423	0.360	0.455	0.324	158.097	4225	1932
48	0.102	41.557	41.255	1.232	41.402	41.042	0.339	0.444	0.451	0.288	63.598	1963	1939
49	0.103	80.818	41.656	1.341	80.624	41.423	0.381	0.402	0.366	0.359	6.320	3818	1957
50	0.077	63.624	41.648	1.015	63.458	41.487	0.339	0.318	0.358	0.274	39.663	3005	1960
51	0.114	35.803	41.721	1.341	35.581	41.529	0.444	0.360	0.457	0.318	172.650	1686	1962
52	0.087	104.472	41.860	1.107	104.330	41.677	0.296	0.381	0.381	0.291	70.197	4933	1969
53	0.090	89.677	42.007	1.094	89.493	41.846	0.360	0.318	0.378	0.303	156.470	4234	1977
54	0.094	84.828	42.140	1.137	84.624	41.995	0.402	0.296	0.413	0.290	168.462	4003	1984
55	0.101	68.971	42.375	1.196	68.813	42.164	0.318	0.423	0.456	0.283	117.621	3254	1992
56	0.086	122.320	42.580	1.069	122.132	42.418	0.360	0.318	0.356	0.308	20.415	5777	2004
57	0.099	70.505	42.839	1.172	70.316	42.651	0.360	0.381	0.432	0.291	50.255	3331	2015
58	0.109	62.264	44.164	1.226	62.040	44.006	0.444	0.318	0.451	0.308	9.354	2943	2079
59	0.089	83.200	44.366	1.082	83.016	44.217	0.381	0.296	0.386	0.293	162.707	3926	2089
60	0.072	53.512	44.950	1.017	53.361	44.810	0.318	0.275	0.328	0.279	23.655	2525	2117
61	0.104	69.848	45.190	1.202	69.660	45.000	0.381	0.381	0.433	0.307	41.853	3301	2126
62	0.106	58.648	45.599	1.226	58.441	45.424	0.402	0.360	0.462	0.291	144.209	2764	2146
63	0.097	87.948	45.744	1.154	87.757	45.593	0.381	0.339	0.388	0.319	6.062	4151	2154
64	0.060	107.033	46.318	0.990	106.892	46.143	0.318	0.339	0.359	0.212	54.505	5057	2180
65	0.111	86.046	46.411	1.226	85.831	46.249	0.423	0.339	0.427	0.330	12.802	4063	2185
66	0.116	80.480	46.611	1.269	80.264	46.440	0.444	0.339	0.451	0.328	2.193	3800	2194
67	0.116	89.574	46.657	1.299	89.344	46.482	0.466	0.339	0.464	0.319	16.542	4231	2196
68	0.120	63.236	46.748	1.323	63.013	46.567	0.444	0.360	0.483	0.316	26.825	2991	2200
69	0.105	64.224	47.097	1.214	64.008	46.926	0.423	0.339	0.433	0.308	29.848	3033	2217
70	0.103	89.317	47.147	1.196	89.112	46.990	0.423	0.318	0.434	0.302	20.956	4217	2220
71	0.061	91.522	47.132	0.907	91.377	46.990	0.275	0.296	0.303	0.258	110.499	4321	2220
72	0.096	87.163	47.213	1.167	86.953	47.054	0.423	0.296	0.429	0.284	14.121	4118	2223
73	0.117	28.366	47.398	1.323	28.215	47.159	0.318	0.487	0.493	0.303	87.627	1338	2228
74	0.113	84.677	47.587	1.269	84.455	47.413	0.444	0.339	0.446	0.323	9.670	3999	2240
75	0.112	120.010	48.326	1.297	119.782	48.133	0.423	0.402	0.452	0.317	137.959	5665	2274
76	0.104	88.139	48.348	1.214	87.926	48.175	0.423	0.339	0.432	0.308	14.246	4164	2276
77	0.087	113.360	48.349	1.129	113.157	48.196	0.402	0.318	0.427	0.259	152.082	5351	2277
78	0.110	38.572	48.535	1.251	38.396	48.324	0.339	0.423	0.456	0.308	62.570	1822	2283
79	0.109	79.621	48.811	1.316	79.417	48.620	0.402	0.381	0.424	0.327	147.426	3759	2297
80	0.086	113.239	48.757	1.082	113.051	48.620	0.381	0.296	0.381	0.286	172.711	5345	2297
81	0.100	87.396	48.832	1.191	87.186	48.683	0.423	0.296	0.442	0.288	18.398	4128	2300
82	0.120	96.572	49.070	1.424	96.287	48.874	0.487	0.402	0.479	0.318	146.767	4558	2309
83	0.101	93.492	49.661	1.294	93.303	49.466	0.381	0.360	0.409	0.314	146.037	4410	2337
84	0.103	109.175	50.020	1.214	108.966	49.848	0.423	0.339	0.450	0.293	23.525	5159	2355
85	0.103	108.403	50.725	1.209	108.204	50.546	0.402	0.339	0.434	0.302	28.639	5124	2388
86	0.094	43.238	51.100	1.167	43.053	50.927	0.360	0.360	0.408	0.294	41.573	2043	2406
87	0.091	94.765	51.354	1.112	94.573	51.202	0.402	0.296	0.404	0.288	161.741	4472	2419
88	0.089	79.648	51.524	1.099	79.481	51.350	0.339	0.360	0.382	0.296	128.428	3758	2426
89	0.121	14.985	51.857	1.406	14.796	51.626	0.360	0.466	0.486	0.317	68.798	707	2439
90	0.112	13.002	51.857	1.269	12.785	51.689	0.444	0.339	0.459	0.312	172.609	610	2442
91	0.097	99.509	51.865	1.154	99.314	51.710	0.402	0.318	0.412	0.299	156.597	4696	2443
92	0.104	60.182	51.940	1.359	59.965	51.795	0.444	0.360	0.423	0.313	2.545	2837	2447
93	0.113	60.020	52.448	1.274	59.817	52.239	0.402	0.402	0.471	0.305	44.635	2838	2468
94	0.089	44.038	52.769	1.142	43.836	52.620	0.402	0.296	0.404	0.281	166.333	2077	2486
95	0.115	13.952	53.311	1.299	13.716	53.128	0.444	0.360	0.469	0.313	30.724	660	2510
96	0.127	78.941	53.522	1.483	78.698	53.276	0.423	0.487	0.498	0.324	117.423	3725	2517
97	0.097	31.503	53.522	1.179	31.348	53.298	0.296	0.423	0.438	0.281	69.192	1489	2518
98	0.103	98.697	53.533	1.209	98.488	53.382	0.423	0.318	0.443	0.296	166.380	4658	2522
99	0.089	99.730	53.891	1.099	99.568	53.700	0.339	0.360	0.384	0.296	128.101	4708	2537
100	0.101	100.463	54.052	1.202	100.267	53.848	0.381	0.381	0.425	0.302	131.964	4743	2544
101	0.099	106.795	54.657	1.167	106.595	54.504	0.402	0.318	0.408	0.308	7.655	5042	2575
102	0.095	35.377	55.353	1.161	35.242	55.139	0.275	0.423	0.435	0.279	86.407	1669	2605
103	0.088	88.695	55.472	1.082	88.519	55.308	0.360	0.318	0.370	0.304	148.098	4186	2613
104	0.117	16.035	55.644	1.376	15.812	55.478	0.466	0.339	0.464	0.321	178.401	754	2621
105	0.097	84.912	55.924	1.159	84.709	55.753	0.402	0.339	0.424	0.291	151.238	4007	2634
106	0.101	85.518	56.509	1.226	85.323	56.324	0.381	0.360	0.438	0.294	144.548	4036	2661
107	0.109	46.600	56.653	1.269	46.440	56.430	0.318	0.466	0.469	0.297	101.613	2198	2666
108	0.125	16.501	56.700	1.413	16.320	56.452	0.360	0.487	0.488	0.325	108.412	773	2667
109	0.100	87.920	56.649	1.184	87.736	56.473	0.381	0.360	0.427	0.298	138.055	4147	2668
110	0.098	108.707	56.783	1.174	108.500	56.642	0.423	0.275	0.434	0.288	0.890	5131	2676
111	0.116	43.676	56.961	1.321	43.498	56.706	0.360	0.487	0.486	0.304	112.426	2061	2679
112	0.083	89.928	57.202	1.129	89.768	57.023	0.339	0.381	0.433	0.244	56.221	4249	2694
113	0.113	84.435	57.719	1.256	84.222	57.531	0.423	0.360	0.447	0.321	154.830	3984	2718
114	0.108	27.859	58.246	1.226	27.644	58.081	0.423	0.339	0.451	0.305	158.440	1312	2744
115	0.067	121.713	58.306	0.945	121.560	58.166	0.296	0.275	0.303	0.282	159.757	5747	2748
116	0.091	88.493	58.604	1.202	88.328	58.399	0.339	0.381	0.367	0.314	124.512	4183	2759
117	0.040	11.206	58.683	0.745	11.070	58.568	0.233	0.233	0.228	0.225	121.121	529	2767
118	0.115	91.742	58.926	1.334	91.525	58.738	0.466	0.381	0.490	0.298	146.427	4326	2775
119	0.110	21.072	59.791	1.256	20.892	59.584	0.360	0.423	0.456	0.306	122.202	990	2815
120	0.109	15.836	59.831	1.256	15.684	59.605	0.318	0.466	0.452	0.308	93.310	746	2816
121	0.097	72.378	60.373	1.167	72.221	60.177	0.339	0.381	0.416	0.297	118.721	3414	2843
122	0.117	86.259	60.373	1.299	86.021	60.198	0.466	0.339	0.467	0.319	165.606	4070	2844
123	0.099	55.539	60.799	1.172	55.351	60.642	0.402	0.339	0.411	0.308	28.330	2621	2865
