 	Area	X	Y	Perim.	BX	BY	Width	Height	Major	Minor	Angle	XStart	YStart
1	0.145	68.215	13.600	1.438	68.030	13.356	0.360	0.508	0.501	0.368	94.472	3220	631
2	0.043	52.412	16.252	0.883	52.282	16.129	0.275	0.254	0.286	0.193	137.048	2473	762
3	0.144	59.737	16.557	1.491	59.478	16.341	0.487	0.444	0.530	0.346	148.420	2817	772
4	0.149	85.462	16.712	1.508	85.259	16.468	0.402	0.508	0.519	0.365	64.089	4037	778
5	0.089	88.510	17.112	1.112	88.350	16.933	0.339	0.360	0.349	0.324	97.548	4179	800
6	0.133	91.607	18.825	1.436	91.419	18.563	0.381	0.508	0.528	0.321	111.899	4325	877
7	0.127	90.256	19.479	1.426	90.085	19.240	0.339	0.529	0.516	0.314	87.678	4262	909
8	0.110	58.491	19.883	1.239	58.293	19.706	0.402	0.360	0.438	0.319	35.294	2762	931
9	0.121	89.004	20.992	1.341	88.836	20.764	0.339	0.466	0.484	0.319	114.262	4199	981
10	0.128	92.528	21.056	1.388	92.308	20.849	0.444	0.423	0.527	0.309	137.864	4363	985
11	0.076	71.584	22.452	1.105	71.416	22.246	0.339	0.381	0.326	0.297	76.944	3380	1051
12	0.143	88.630	24.203	1.466	88.434	23.940	0.402	0.508	0.545	0.335	117.278	4182	1131
13	0.145	79.343	25.741	1.436	79.121	25.506	0.444	0.466	0.516	0.357	138.275	3744	1205
14	0.110	49.890	26.287	1.304	49.678	26.077	0.423	0.402	0.496	0.283	137.758	2350	1232
15	0.146	84.446	26.595	1.496	84.222	26.352	0.423	0.487	0.513	0.362	62.928	3990	1245
16	0.129	57.739	27.627	1.376	57.489	27.432	0.487	0.381	0.505	0.324	23.042	2733	1296
17	0.113	49.674	27.847	1.369	49.509	27.601	0.360	0.529	0.475	0.304	96.593	2345	1304
18	0.129	126.053	29.551	1.366	125.899	29.295	0.318	0.508	0.517	0.318	100.980	5952	1384
19	0.128	102.879	29.709	1.316	102.658	29.506	0.423	0.402	0.457	0.357	43.504	4860	1394
20	0.125	113.804	29.756	1.383	113.623	29.506	0.360	0.487	0.521	0.305	64.206	5381	1394
21	0.131	95.613	30.252	1.376	95.419	30.014	0.402	0.466	0.503	0.331	55.221	4520	1418
22	0.155	83.154	30.467	1.578	82.910	30.226	0.487	0.466	0.545	0.363	137.057	3923	1428
23	0.147	76.605	30.694	1.513	76.369	30.459	0.466	0.466	0.530	0.353	139.042	3613	1439
24	0.156	42.263	30.919	1.628	42.016	30.713	0.508	0.423	0.509	0.390	14.792	1995	1451
25	0.112	50.150	31.452	1.279	49.932	31.221	0.402	0.423	0.450	0.317	49.009	2372	1475
26	0.134	85.575	31.862	1.453	85.386	31.602	0.381	0.487	0.485	0.353	104.187	4041	1493
27	0.111	12.036	33.493	1.244	11.811	33.316	0.444	0.339	0.438	0.322	165.183	567	1574
28	0.126	45.570	34.189	1.436	45.339	33.951	0.444	0.444	0.514	0.313	49.663	2157	1604
29	0.127	119.909	34.187	1.388	119.655	33.994	0.487	0.381	0.511	0.316	25.601	5668	1606
30	0.126	78.695	34.632	1.341	78.507	34.396	0.360	0.466	0.471	0.342	66.523	3718	1625
31	0.148	73.234	35.552	1.515	73.046	35.285	0.360	0.529	0.538	0.351	93.551	3456	1667
32	0.052	58.934	35.505	0.900	58.780	35.370	0.318	0.254	0.280	0.235	152.904	2783	1671
33	0.048	101.222	36.695	0.835	101.092	36.555	0.254	0.275	0.284	0.217	54.565	4782	1727
34	0.121	105.431	37.360	1.359	105.220	37.169	0.444	0.402	0.509	0.304	37.233	4981	1756
35	0.134	112.003	37.444	1.381	111.781	37.232	0.444	0.423	0.473	0.361	147.109	5288	1759
36	0.139	120.871	37.653	1.521	120.692	37.402	0.360	0.550	0.534	0.332	80.681	5708	1767
37	0.146	114.588	38.216	1.556	114.321	37.973	0.466	0.508	0.523	0.354	117.188	5411	1794
38	0.142	54.785	38.567	1.461	54.504	38.396	0.550	0.339	0.523	0.347	176.083	2582	1814
39	0.121	121.885	40.152	1.334	121.666	39.963	0.444	0.381	0.458	0.335	157.967	5755	1888
40	0.115	11.167	40.570	1.251	10.964	40.407	0.423	0.339	0.435	0.337	9.938	523	1909
41	0.138	17.787	40.864	1.468	17.611	40.598	0.339	0.550	0.530	0.331	100.716	836	1918
42	0.146	18.045	41.304	1.478	17.801	41.106	0.487	0.444	0.496	0.374	36.222	849	1942
43	0.128	16.417	43.737	1.513	16.192	43.498	0.508	0.423	0.462	0.353	151.984	775	2055
44	0.044	18.126	44.141	0.877	18.013	43.984	0.233	0.275	0.256	0.218	89.026	858	2078
45	0.129	124.656	44.426	1.388	124.396	44.260	0.508	0.339	0.497	0.332	166.460	5883	2091
46	0.160	50.868	45.027	1.605	50.631	44.789	0.487	0.466	0.554	0.368	141.466	2394	2116
47	0.140	76.689	45.982	1.453	76.496	45.720	0.402	0.508	0.498	0.358	103.645	3620	2160
48	0.167	118.901	46.683	1.588	118.660	46.418	0.466	0.508	0.585	0.364	49.061	5625	2193
49	0.157	23.419	47.214	1.551	23.220	46.926	0.402	0.572	0.542	0.369	99.330	1106	2217
50	0.123	111.471	47.468	1.346	111.252	47.265	0.423	0.423	0.492	0.319	44.708	5267	2233
51	0.168	75.632	48.080	1.651	75.374	47.837	0.508	0.487	0.569	0.377	39.819	3576	2260
52	0.127	53.414	48.202	1.366	53.213	48.006	0.402	0.402	0.459	0.352	44.731	2522	2268
53	0.138	54.132	48.554	1.408	53.890	48.366	0.487	0.360	0.513	0.344	164.599	2553	2285
54	0.144	26.733	48.740	1.461	26.543	48.472	0.381	0.529	0.521	0.353	86.409	1262	2290
55	0.137	116.271	48.883	1.383	116.036	48.704	0.487	0.360	0.505	0.346	19.543	5491	2301
56	0.131	83.665	49.708	1.418	83.418	49.530	0.487	0.381	0.492	0.340	159.369	3945	2340
57	0.121	78.282	50.381	1.351	78.063	50.207	0.466	0.360	0.459	0.334	19.130	3697	2372
58	0.144	100.217	50.601	1.473	99.949	50.419	0.529	0.360	0.516	0.356	5.873	4732	2382
59	0.151	23.301	51.765	1.605	22.987	51.583	0.593	0.360	0.578	0.332	170.530	1096	2437
60	0.132	93.271	53.169	1.521	92.985	52.980	0.550	0.360	0.526	0.320	3.860	4411	2503
61	0.142	77.336	53.888	1.413	77.152	53.636	0.360	0.508	0.506	0.358	79.868	3653	2534
62	0.132	40.102	56.036	1.448	39.899	55.795	0.402	0.466	0.527	0.318	124.680	1887	2636
63	0.129	108.091	56.550	1.383	107.908	56.324	0.381	0.466	0.514	0.319	57.001	5107	2661
64	0.142	106.467	57.107	1.436	106.278	56.854	0.381	0.508	0.519	0.348	106.160	5026	2686
65	0.138	90.180	58.009	1.466	90.001	57.764	0.381	0.508	0.506	0.346	96.204	4258	2729
66	0.147	86.990	58.348	1.521	86.804	58.102	0.381	0.508	0.506	0.368	90.273	4107	2745
67	0.131	93.668	58.443	1.346	93.451	58.230	0.423	0.423	0.490	0.340	46.698	4425	2751
68	0.155	83.427	59.773	1.618	83.227	59.500	0.402	0.529	0.546	0.360	70.856	3943	2811
69	0.156	96.415	61.629	1.551	96.224	61.341	0.381	0.572	0.575	0.345	102.859	4552	2898
70	0.120	96.507	62.196	1.348	96.351	61.955	0.318	0.487	0.497	0.306	86.211	4558	2927
71	0.149	23.913	62.528	1.605	23.728	62.272	0.360	0.550	0.516	0.367	92.945	1128	2942
72	0.137	102.256	63.530	1.443	102.087	63.267	0.339	0.508	0.518	0.337	94.602	4827	2989
73	0.144	54.681	64.560	1.438	54.504	64.304	0.360	0.508	0.537	0.342	108.669	2578	3038
74	0.158	50.642	65.627	1.568	50.440	65.342	0.402	0.550	0.539	0.374	105.496	2390	3087
75	0.131	90.798	65.819	1.448	90.614	65.553	0.360	0.529	0.504	0.332	82.477	4287	3097
76	0.119	125.319	69.295	1.323	125.158	69.046	0.318	0.487	0.496	0.305	102.814	5919	3262
77	0.117	128.863	73.353	1.274	128.651	73.173	0.423	0.360	0.443	0.336	147.141	6081	3457
78	0.152	125.990	76.301	1.496	125.794	76.031	0.402	0.529	0.517	0.374	77.531	5951	3592
79	0.123	121.354	76.835	1.359	121.094	76.666	0.508	0.339	0.496	0.315	2.987	5733	3622
80	0.134	125.212	77.090	1.396	125.032	76.856	0.360	0.487	0.499	0.341	67.533	5915	3631
81	0.157	126.008	77.599	1.545	125.730	77.406	0.550	0.381	0.556	0.359	3.921	5956	3657
82	0.148	76.223	79.355	1.584	75.988	79.100	0.444	0.508	0.487	0.387	105.593	3598	3737
83	0.139	119.292	80.616	1.503	118.999	80.433	0.550	0.360	0.520	0.341	12.810	5635	3800
84	0.122	51.146	83.029	1.311	50.927	82.846	0.444	0.360	0.476	0.326	156.413	2413	3914
85	0.150	71.271	83.153	1.491	71.056	82.910	0.423	0.487	0.523	0.365	56.010	3368	3917
86	0.134	54.407	83.217	1.413	54.166	83.037	0.508	0.360	0.518	0.330	19.639	2569	3923
87	0.142	49.331	83.618	1.538	49.086	83.418	0.487	0.423	0.515	0.351	34.472	2330	3941
88	0.137	85.251	83.697	1.431	85.048	83.460	0.381	0.487	0.491	0.354	90.498	4026	3943
89	0.149	79.633	84.009	1.473	79.438	83.756	0.402	0.508	0.513	0.370	104.988	3758	3957
90	0.158	80.792	86.914	1.558	80.560	86.678	0.466	0.466	0.573	0.351	44.325	3819	4095
91	0.141	91.873	87.399	1.413	91.694	87.143	0.360	0.508	0.521	0.344	71.619	4340	4117
92	0.159	78.843	87.490	1.610	78.634	87.186	0.402	0.572	0.565	0.360	71.200	3728	4119
93	0.122	74.460	87.765	1.406	74.274	87.524	0.360	0.487	0.488	0.318	72.998	3517	4135
94	0.137	66.455	87.844	1.396	66.273	87.609	0.381	0.466	0.505	0.346	115.260	3134	4139
95	0.119	83.019	88.180	1.299	82.783	88.011	0.466	0.339	0.477	0.318	22.787	3921	4158
96	0.152	85.832	88.602	1.508	85.619	88.350	0.423	0.529	0.546	0.355	121.726	4051	4174
97	0.137	88.248	89.719	1.383	88.032	89.514	0.444	0.402	0.508	0.343	143.663	4161	4229
98	0.060	61.168	91.510	1.010	61.024	91.377	0.296	0.275	0.287	0.264	32.807	2886	4317
99	0.143	36.909	92.884	1.413	36.682	92.668	0.444	0.423	0.494	0.369	42.922	1744	4378
100	0.134	125.764	92.925	1.388	125.582	92.689	0.381	0.487	0.498	0.344	67.780	5941	4379
101	0.145	76.440	92.959	1.418	76.221	92.731	0.423	0.466	0.513	0.359	125.502	3606	4381
102	0.147	106.698	93.231	1.598	106.468	92.985	0.423	0.487	0.530	0.353	60.865	5041	4393
103	0.147	42.275	93.628	1.556	42.037	93.387	0.466	0.466	0.528	0.354	44.259	1998	4412
104	0.159	27.561	93.983	1.551	27.305	93.768	0.508	0.444	0.542	0.375	28.628	1301	4430
105	0.150	38.853	94.257	1.538	38.587	94.044	0.529	0.423	0.527	0.363	24.615	1840	4443
106	0.158	14.133	95.776	1.580	13.885	95.525	0.466	0.487	0.532	0.377	132.115	661	4513
107	0.136	114.393	96.430	1.443	114.215	96.181	0.360	0.529	0.505	0.344	88.127	5401	4544
108	0.168	51.402	96.731	1.675	51.160	96.435	0.423	0.572	0.558	0.382	80.479	2429	4556
109	0.155	75.387	97.975	1.610	75.205	97.663	0.360	0.593	0.571	0.345	95.526	3558	4614
110	0.134	121.564	100.491	1.431	121.391	100.224	0.339	0.508	0.507	0.338	91.202	5743	4735
111	0.130	94.903	100.573	1.388	94.721	100.330	0.381	0.466	0.487	0.340	117.777	4480	4740
112	0.137	36.646	101.769	1.406	36.407	101.558	0.466	0.423	0.498	0.350	33.318	1734	4798
113	0.125	88.443	102.203	1.341	88.265	101.960	0.339	0.487	0.474	0.337	96.898	4177	4817
114	0.132	95.245	102.938	1.388	95.017	102.743	0.466	0.402	0.517	0.326	34.500	4500	4854
115	0.138	44.749	103.682	1.526	44.577	103.420	0.360	0.508	0.499	0.352	90.325	2112	4886
116	0.124	17.727	104.815	1.359	17.547	104.563	0.360	0.487	0.479	0.329	97.536	836	4940
117	0.129	15.973	105.970	1.341	15.790	105.749	0.360	0.466	0.461	0.357	102.322	751	4996
118	0.154	45.985	106.121	1.538	45.699	105.939	0.550	0.381	0.551	0.356	170.264	2166	5005
119	0.119	111.688	106.398	1.411	111.485	106.172	0.381	0.466	0.459	0.329	85.692	5274	5016
120	0.138	61.871	106.580	1.461	61.616	106.362	0.487	0.423	0.542	0.323	34.248	2930	5025
121	0.052	16.012	106.656	0.853	15.875	106.532	0.296	0.254	0.294	0.227	4.776	755	5033
122	0.137	55.239	107.456	1.443	55.054	107.188	0.381	0.508	0.534	0.326	61.730	2613	5064
123	0.118	63.109	108.584	1.321	62.928	108.352	0.360	0.487	0.495	0.304	63.887	2983	5119
124	0.134	87.022	110.059	1.406	86.804	109.834	0.423	0.444	0.477	0.359	134.964	4108	5189
