 	Area	X	Y	Perim.	BX	BY	Width	Height	Major	Minor	Angle	XStart	YStart
1	0.113	56.738	11.802	1.299	56.600	11.557	0.296	0.508	0.476	0.302	93.133	2678	546
2	0.111	44.763	11.925	1.316	44.577	11.705	0.360	0.444	0.468	0.302	116.358	2110	553
3	0.135	44.182	12.175	1.366	43.942	12.002	0.487	0.339	0.509	0.337	14.320	2085	567
4	0.128	44.498	13.314	1.391	44.344	13.060	0.318	0.508	0.529	0.309	83.978	2100	617
5	0.129	63.636	13.491	1.371	63.458	13.229	0.360	0.487	0.489	0.336	70.037	3006	625
6	0.146	84.018	13.612	1.498	83.820	13.356	0.360	0.550	0.534	0.347	91.716	3969	631
7	0.122	97.564	13.690	1.408	97.409	13.420	0.296	0.550	0.543	0.287	85.735	4610	634
8	0.132	53.154	14.379	1.473	52.938	14.182	0.466	0.402	0.480	0.349	27.438	2510	670
9	0.089	44.227	14.525	1.154	44.006	14.351	0.402	0.318	0.424	0.268	28.462	2093	678
10	0.130	29.753	14.873	1.443	29.591	14.626	0.318	0.508	0.527	0.315	90.615	1402	691
11	0.113	48.540	14.935	1.256	48.366	14.711	0.339	0.444	0.457	0.315	106.134	2289	695
12	0.128	49.565	15.028	1.401	49.382	14.774	0.360	0.508	0.523	0.311	110.677	2338	698
13	0.130	29.002	15.181	1.371	28.829	14.922	0.339	0.508	0.498	0.333	95.861	1368	705
14	0.088	44.176	15.649	1.137	43.984	15.515	0.402	0.275	0.414	0.270	6.020	2083	733
15	0.130	66.774	16.208	1.359	66.527	16.023	0.487	0.360	0.505	0.328	20.746	3156	757
16	0.084	15.181	16.599	1.114	14.986	16.468	0.381	0.275	0.406	0.263	1.679	714	778
17	0.148	24.254	16.765	1.491	24.066	16.489	0.381	0.550	0.546	0.345	110.053	1141	779
18	0.094	39.387	17.249	1.142	39.180	17.082	0.402	0.318	0.424	0.281	26.830	1862	807
19	0.122	51.957	17.537	1.346	51.731	17.357	0.466	0.381	0.493	0.316	30.042	2454	820
20	0.138	92.329	17.786	1.436	92.117	17.547	0.423	0.487	0.541	0.324	124.714	4357	829
21	0.138	76.620	18.181	1.448	76.390	17.970	0.508	0.402	0.536	0.329	149.495	3612	849
22	0.128	56.747	18.245	1.378	56.578	17.992	0.318	0.508	0.530	0.308	97.455	2677	850
23	0.138	43.500	19.218	1.401	43.244	19.029	0.508	0.360	0.499	0.352	4.757	2052	899
24	0.144	65.458	19.658	1.438	65.278	19.389	0.339	0.529	0.539	0.340	80.410	3092	916
25	0.132	74.608	20.330	1.359	74.422	20.087	0.360	0.487	0.487	0.346	107.293	3523	949
26	0.119	45.808	21.516	1.299	45.635	21.294	0.360	0.444	0.482	0.314	59.709	2165	1006
27	0.125	25.932	21.765	1.329	25.760	21.526	0.339	0.487	0.491	0.324	106.013	1222	1017
28	0.134	32.451	22.101	1.478	32.216	21.865	0.423	0.466	0.476	0.357	59.341	1534	1033
29	0.127	81.516	22.297	1.376	81.301	22.098	0.444	0.423	0.496	0.327	48.019	3850	1044
30	0.099	39.585	22.404	1.226	39.370	22.225	0.423	0.339	0.437	0.287	23.562	1875	1050
31	0.155	78.530	22.438	1.558	78.274	22.246	0.529	0.402	0.566	0.347	30.051	3708	1051
32	0.113	31.454	22.578	1.269	31.221	22.416	0.466	0.318	0.460	0.313	3.633	1484	1059
33	0.133	21.522	22.667	1.353	21.315	22.458	0.402	0.423	0.487	0.346	130.055	1011	1061
34	0.134	85.028	22.662	1.371	84.773	22.500	0.508	0.339	0.509	0.336	3.966	4013	1063
35	0.114	82.116	22.906	1.256	81.915	22.733	0.423	0.360	0.443	0.329	156.454	3873	1074
36	0.109	26.147	23.433	1.286	25.950	23.241	0.444	0.360	0.457	0.303	155.061	1229	1098
37	0.157	62.389	23.701	1.535	62.103	23.516	0.550	0.360	0.578	0.347	16.036	2948	1111
38	0.133	60.029	23.885	1.426	59.754	23.728	0.550	0.318	0.555	0.304	6.176	2838	1121
39	0.143	27.405	24.062	1.480	27.136	23.897	0.550	0.339	0.558	0.327	16.281	1293	1129
40	0.130	24.578	24.563	1.346	24.384	24.342	0.402	0.444	0.491	0.338	127.744	1155	1150
41	0.114	82.586	24.587	1.279	82.381	24.363	0.402	0.423	0.477	0.305	48.136	3904	1151
42	0.138	80.004	26.285	1.478	79.820	26.014	0.402	0.508	0.529	0.331	115.304	3774	1229
43	0.123	44.717	26.550	1.406	44.450	26.395	0.550	0.339	0.540	0.289	159.858	2101	1247
44	0.118	37.583	26.636	1.311	37.338	26.480	0.487	0.318	0.486	0.309	174.505	1771	1251
45	0.151	47.381	27.524	1.503	47.117	27.326	0.529	0.402	0.575	0.333	152.629	2230	1291
46	0.107	50.676	27.646	1.269	50.482	27.453	0.381	0.402	0.476	0.286	47.837	2395	1297
47	0.104	35.258	27.785	1.256	35.116	27.538	0.296	0.487	0.460	0.289	91.219	1664	1301
48	0.131	44.960	27.804	1.401	44.683	27.644	0.529	0.339	0.510	0.327	6.144	2125	1306
49	0.105	60.204	28.402	1.226	60.008	28.236	0.423	0.339	0.436	0.307	22.800	2841	1334
50	0.117	119.355	28.527	1.316	119.105	28.342	0.487	0.339	0.461	0.323	173.533	5637	1339
51	0.135	17.382	29.904	1.418	17.145	29.697	0.487	0.402	0.541	0.319	148.879	812	1403
52	0.111	69.043	30.029	1.299	68.898	29.782	0.296	0.508	0.499	0.284	77.026	3261	1407
53	0.107	48.290	30.212	1.258	48.048	30.078	0.466	0.275	0.486	0.280	167.532	2272	1421
54	0.091	83.882	30.357	1.149	83.735	30.162	0.296	0.402	0.413	0.280	72.063	3961	1425
55	0.129	26.574	30.581	1.413	26.331	30.395	0.487	0.381	0.539	0.305	23.889	1260	1436
56	0.112	71.512	30.785	1.269	71.289	30.628	0.466	0.318	0.483	0.294	157.990	3369	1447
57	0.145	127.096	30.877	1.456	126.831	30.692	0.529	0.360	0.552	0.334	14.724	6008	1450
58	0.142	29.843	30.964	1.448	29.612	30.734	0.466	0.444	0.549	0.331	137.848	1404	1452
59	0.101	61.540	31.407	1.184	61.341	31.242	0.402	0.339	0.449	0.287	34.455	2907	1476
60	0.138	27.082	31.813	1.426	26.882	31.560	0.381	0.487	0.528	0.333	63.447	1281	1491
61	0.129	41.244	31.814	1.341	41.000	31.644	0.487	0.339	0.495	0.331	168.967	1944	1495
62	0.117	65.452	32.010	1.304	65.257	31.792	0.402	0.423	0.491	0.304	47.883	3095	1502
63	0.140	108.051	32.167	1.413	107.865	31.919	0.360	0.508	0.509	0.350	102.321	5101	1508
64	0.137	117.319	32.173	1.401	117.073	31.983	0.487	0.381	0.514	0.338	155.168	5536	1511
65	0.123	81.092	32.924	1.299	80.878	32.745	0.444	0.360	0.462	0.340	19.598	3829	1547
66	0.119	77.962	32.933	1.251	77.745	32.766	0.423	0.339	0.445	0.340	161.547	3677	1548
67	0.137	29.961	33.036	1.426	29.760	32.808	0.402	0.466	0.533	0.327	55.915	1415	1550
68	0.159	116.602	34.028	1.515	116.332	33.846	0.572	0.360	0.562	0.359	176.027	5503	1599
69	0.140	103.060	34.228	1.401	102.806	34.036	0.487	0.381	0.516	0.345	24.989	4870	1608
70	0.146	123.820	34.333	1.431	123.592	34.121	0.466	0.423	0.522	0.355	35.281	5851	1612
71	0.102	53.021	34.414	1.179	52.811	34.269	0.423	0.296	0.442	0.294	11.353	2501	1619
72	0.129	31.471	34.561	1.394	31.284	34.290	0.360	0.529	0.517	0.319	112.532	1484	1620
73	0.144	113.194	35.003	1.461	113.009	34.713	0.360	0.550	0.543	0.338	87.681	5347	1640
74	0.124	39.217	35.317	1.348	39.052	35.073	0.318	0.487	0.501	0.314	79.208	1852	1657
75	0.141	14.268	35.343	1.426	14.012	35.158	0.508	0.360	0.524	0.343	176.184	672	1661
76	0.118	60.835	36.157	1.323	60.579	36.004	0.508	0.296	0.510	0.294	173.690	2869	1701
77	0.134	40.715	36.335	1.418	40.534	36.089	0.381	0.508	0.527	0.322	62.630	1924	1705
78	0.161	127.543	36.882	1.503	127.275	36.682	0.529	0.402	0.559	0.366	157.916	6019	1733
79	0.128	26.805	37.139	1.376	26.585	36.915	0.444	0.423	0.516	0.315	41.703	1272	1744
80	0.133	111.518	37.829	1.413	111.358	37.550	0.318	0.550	0.532	0.317	88.386	5268	1774
81	0.129	120.716	38.233	1.406	120.502	37.973	0.402	0.487	0.510	0.321	53.688	5707	1794
82	0.131	90.138	38.681	1.424	89.916	38.460	0.466	0.444	0.524	0.318	131.450	4251	1817
83	0.142	72.521	38.869	1.450	72.348	38.608	0.339	0.529	0.540	0.334	98.665	3422	1824
84	0.139	81.213	39.980	1.450	81.047	39.730	0.339	0.529	0.546	0.324	102.848	3830	1877
