 	Area	X	Y	Perim.	BX	BY	Width	Height	Major	Minor	Angle	XStart	YStart
1	0.134	29.145	13.355	1.408	28.977	13.102	0.339	0.508	0.544	0.312	68.989	1376	619
2	0.080	20.877	14.529	1.052	20.743	14.330	0.275	0.381	0.371	0.275	74.419	987	677
3	0.149	22.397	15.238	1.486	22.204	14.986	0.381	0.529	0.568	0.334	112.925	1051	708
4	0.163	59.957	15.667	1.580	59.754	15.388	0.487	0.508	0.540	0.383	126.935	2826	727
5	0.129	86.572	16.053	1.388	86.402	15.812	0.339	0.508	0.495	0.333	94.082	4086	747
6	0.165	77.838	17.946	1.556	77.618	17.695	0.466	0.529	0.569	0.369	57.182	3678	836
7	0.160	45.307	19.196	1.558	45.106	18.923	0.402	0.550	0.588	0.346	66.407	2141	894
8	0.172	78.875	19.197	1.593	78.655	18.923	0.444	0.550	0.567	0.387	113.109	3721	894
9	0.135	42.872	19.371	1.413	42.651	19.177	0.466	0.402	0.531	0.323	37.933	2025	906
10	0.163	62.418	19.846	1.545	62.103	19.664	0.593	0.360	0.578	0.358	176.589	2945	929
11	0.149	59.011	20.349	1.478	58.801	20.087	0.444	0.487	0.558	0.341	128.293	2781	949
12	0.046	23.996	20.216	0.835	23.834	20.130	0.318	0.190	0.315	0.185	174.502	1128	951
13	0.131	50.726	20.772	1.359	50.504	20.553	0.423	0.423	0.505	0.330	45.151	2397	971
14	0.129	56.054	20.972	1.383	55.901	20.701	0.318	0.529	0.521	0.315	95.943	2645	978
15	0.137	34.086	21.621	1.468	33.930	21.336	0.318	0.572	0.558	0.313	87.544	1609	1008
16	0.142	85.524	21.901	1.431	85.302	21.654	0.423	0.466	0.530	0.342	49.941	4043	1023
17	0.151	86.234	22.078	1.515	86.021	21.823	0.402	0.508	0.541	0.355	64.617	4076	1031
18	0.175	68.630	22.118	1.645	68.347	21.886	0.550	0.466	0.577	0.386	33.400	3243	1034
19	0.119	25.135	22.583	1.329	24.956	22.352	0.360	0.466	0.496	0.306	60.875	1191	1056
20	0.137	66.386	23.179	1.461	66.125	22.987	0.529	0.360	0.528	0.329	169.228	3133	1086
21	0.121	44.115	23.781	1.383	43.963	23.495	0.318	0.529	0.511	0.300	98.235	2082	1110
22	0.136	91.206	23.728	1.418	90.953	23.537	0.508	0.381	0.540	0.321	28.024	4310	1112
23	0.170	117.184	24.932	1.600	116.904	24.744	0.593	0.381	0.590	0.367	175.192	5529	1169
