 	Area	X	Y	Perim.	BX	BY	Width	Height	Major	Minor	Angle	XStart	YStart
1	0.042	43.819	17.195	0.835	43.688	17.082	0.275	0.233	0.262	0.203	21.138	2070	807
2	0.130	64.156	18.919	1.334	63.944	18.711	0.423	0.423	0.490	0.338	135.367	3025	884
3	0.064	125.808	23.269	1.040	125.666	23.135	0.296	0.296	0.295	0.277	44.480	5940	1093
4	0.121	49.735	23.725	1.329	49.572	23.474	0.318	0.508	0.505	0.306	82.209	2349	1109
5	0.125	51.987	25.200	1.341	51.837	24.934	0.318	0.508	0.499	0.318	93.270	2453	1178
6	0.133	56.199	25.952	1.359	56.007	25.718	0.381	0.466	0.512	0.330	118.574	2649	1215
7	0.127	92.388	26.024	1.329	92.160	25.844	0.466	0.360	0.484	0.333	22.628	4364	1221
8	0.119	45.740	26.428	1.294	45.593	26.183	0.296	0.487	0.489	0.310	87.231	2159	1237
9	0.140	76.772	26.503	1.431	76.496	26.331	0.529	0.360	0.513	0.347	10.046	3627	1244
10	0.127	34.198	28.358	1.353	34.015	28.130	0.360	0.466	0.491	0.329	114.798	1609	1329
11	0.125	106.490	29.356	1.361	106.341	29.104	0.318	0.487	0.500	0.317	90.919	5028	1375
12	0.151	58.346	29.439	1.448	58.124	29.210	0.444	0.466	0.532	0.360	47.670	2757	1380
13	0.120	56.432	29.817	1.329	56.198	29.633	0.466	0.360	0.473	0.323	20.204	2669	1400
14	0.116	29.639	30.463	1.306	29.485	30.226	0.318	0.466	0.480	0.307	70.442	1403	1428
15	0.164	101.051	30.689	1.528	100.774	30.501	0.550	0.381	0.569	0.366	12.313	4773	1441
16	0.116	13.263	30.844	1.311	13.039	30.670	0.444	0.360	0.482	0.307	31.648	627	1449
17	0.142	65.534	31.720	1.406	65.320	31.475	0.423	0.466	0.510	0.356	52.162	3097	1487
18	0.148	50.867	32.188	1.496	50.652	31.919	0.423	0.529	0.557	0.338	124.005	2399	1508
19	0.132	64.317	32.843	1.408	64.093	32.639	0.444	0.402	0.524	0.321	144.686	3031	1542
20	0.128	114.407	33.410	1.334	114.194	33.189	0.423	0.423	0.481	0.339	138.663	5400	1568
21	0.131	46.538	33.757	1.408	46.376	33.507	0.318	0.529	0.544	0.307	105.868	2194	1583
22	0.125	53.644	34.083	1.341	53.467	33.846	0.360	0.466	0.470	0.337	104.256	2531	1599
23	0.128	51.140	34.327	1.394	50.948	34.078	0.402	0.487	0.513	0.318	118.220	2412	1610
24	0.121	92.550	35.179	1.329	92.371	34.925	0.339	0.487	0.480	0.321	78.792	4372	1650
25	0.140	73.451	35.918	1.431	73.194	35.729	0.508	0.381	0.515	0.346	155.069	3464	1688
26	0.135	109.293	36.287	1.399	109.093	36.047	0.423	0.487	0.513	0.335	53.504	5165	1703
27	0.112	33.174	36.330	1.251	32.956	36.174	0.444	0.318	0.464	0.306	165.814	1560	1709
28	0.143	27.394	36.447	1.431	27.136	36.258	0.508	0.381	0.542	0.337	23.511	1294	1713
29	0.122	122.784	36.723	1.346	122.576	36.491	0.402	0.444	0.465	0.335	58.137	5801	1724
30	0.117	75.694	36.853	1.269	75.502	36.661	0.402	0.381	0.454	0.328	141.165	3570	1732
31	0.140	71.900	37.170	1.406	71.692	36.936	0.423	0.466	0.536	0.333	130.449	3390	1745
32	0.126	40.446	37.675	1.341	40.280	37.423	0.339	0.487	0.497	0.323	77.723	1910	1768
33	0.149	54.831	37.940	1.503	54.589	37.719	0.487	0.444	0.581	0.327	141.002	2581	1782
34	0.117	35.115	38.394	1.294	34.946	38.185	0.339	0.444	0.470	0.317	70.914	1656	1804
35	0.120	36.701	38.886	1.329	36.512	38.693	0.402	0.423	0.481	0.317	44.407	1734	1828
36	0.143	60.040	38.907	1.413	59.796	38.714	0.487	0.381	0.502	0.363	16.540	2836	1829
37	0.128	33.693	39.047	1.426	33.528	38.798	0.339	0.487	0.521	0.313	75.018	1591	1833
38	0.137	120.373	39.673	1.426	120.121	39.497	0.508	0.360	0.540	0.322	155.309	5679	1866
39	0.162	60.600	40.122	1.521	60.346	39.878	0.487	0.466	0.555	0.372	43.294	2864	1884
40	0.116	51.144	40.699	1.299	50.969	40.471	0.339	0.466	0.461	0.321	73.884	2416	1912
41	0.164	123.139	40.681	1.533	122.851	40.492	0.572	0.381	0.561	0.371	2.792	5819	1913
42	0.113	108.689	40.680	1.276	108.458	40.513	0.444	0.318	0.462	0.311	175.556	5134	1914
43	0.120	62.147	41.387	1.299	61.912	41.212	0.466	0.339	0.481	0.318	162.358	2932	1947
44	0.133	42.762	41.416	1.378	42.503	41.254	0.508	0.318	0.521	0.325	172.863	2014	1949
45	0.151	14.622	41.931	1.491	14.414	41.698	0.444	0.487	0.541	0.355	47.014	692	1970
46	0.117	49.062	42.250	1.294	48.895	42.016	0.318	0.466	0.482	0.310	100.258	2315	1985
47	0.147	58.806	42.434	1.486	58.526	42.249	0.550	0.360	0.560	0.335	167.893	2773	1996
48	0.156	80.859	42.715	1.493	80.687	42.439	0.339	0.550	0.564	0.352	89.784	3818	2005
49	0.137	112.420	43.219	1.413	112.162	43.053	0.529	0.339	0.530	0.329	176.222	5307	2034
50	0.119	90.930	44.036	1.294	90.720	43.857	0.423	0.360	0.479	0.315	148.601	4287	2072
51	0.131	39.726	44.207	1.376	39.539	43.963	0.381	0.487	0.500	0.334	110.302	1873	2077
52	0.129	60.345	45.959	1.366	60.113	45.784	0.466	0.360	0.491	0.335	161.672	2845	2163
53	0.139	23.541	46.343	1.456	23.347	46.080	0.360	0.529	0.539	0.329	106.259	1109	2177
54	0.140	60.411	46.725	1.456	60.177	46.524	0.508	0.381	0.527	0.338	154.800	2847	2198
