 	Area	X	Y	Perim.	BX	BY	Width	Height	Major	Minor	Angle	XStart	YStart
1	0.067	118.987	10.071	0.950	118.851	9.927	0.296	0.296	0.303	0.283	57.470	5619	469
2	0.125	42.497	13.312	1.351	42.270	13.102	0.444	0.423	0.513	0.309	44.161	2008	619
3	0.103	46.948	13.363	1.244	46.800	13.123	0.296	0.487	0.458	0.285	90.482	2216	620
4	0.131	87.560	13.328	1.401	87.291	13.144	0.529	0.339	0.502	0.333	6.883	4134	621
5	0.116	114.544	14.191	1.294	114.385	13.970	0.339	0.444	0.449	0.329	109.187	5405	660
6	0.147	79.516	14.839	1.588	79.354	14.520	0.318	0.635	0.598	0.314	91.534	3756	686
7	0.044	44.034	14.733	0.842	43.878	14.647	0.339	0.169	0.330	0.169	170.952	2073	692
8	0.142	80.097	14.984	1.443	79.925	14.711	0.339	0.550	0.541	0.333	81.412	3785	695
9	0.137	76.047	14.998	1.468	75.861	14.753	0.360	0.529	0.513	0.340	108.675	3590	697
10	0.052	90.112	14.894	0.932	89.958	14.774	0.275	0.275	0.299	0.219	133.880	4254	698
11	0.128	65.406	15.526	1.413	65.257	15.261	0.318	0.550	0.540	0.301	94.125	3087	721
12	0.092	117.312	15.431	1.202	117.094	15.261	0.402	0.360	0.401	0.293	134.990	5537	721
13	0.112	113.392	15.820	1.256	113.178	15.642	0.402	0.381	0.455	0.315	135.840	5349	739
14	0.122	80.744	16.077	1.336	80.582	15.833	0.318	0.487	0.496	0.314	75.382	3816	748
15	0.121	29.448	16.718	1.321	29.231	16.510	0.423	0.423	0.500	0.307	133.318	1384	780
16	0.123	80.030	17.401	1.334	79.820	17.166	0.402	0.444	0.486	0.323	54.228	3783	811
17	0.134	98.350	17.423	1.401	98.171	17.166	0.360	0.508	0.524	0.327	114.392	4642	811
18	0.151	100.886	17.469	1.498	100.711	17.208	0.360	0.529	0.540	0.357	91.722	4761	813
19	0.133	43.078	17.752	1.383	42.926	17.484	0.318	0.529	0.522	0.323	86.605	2034	826
20	0.069	91.118	18.234	1.077	90.974	18.034	0.254	0.402	0.364	0.241	83.840	4306	852
21	0.122	84.729	18.578	1.323	84.497	18.415	0.466	0.339	0.461	0.337	11.365	4000	870
22	0.129	109.947	19.008	1.383	109.749	18.775	0.381	0.466	0.517	0.318	56.294	5196	887
23	0.131	30.170	19.163	1.366	29.993	18.923	0.339	0.487	0.498	0.334	89.568	1423	894
24	0.162	71.995	19.125	1.540	71.734	18.923	0.529	0.402	0.567	0.364	26.317	3400	894
25	0.136	50.838	19.485	1.448	50.631	19.240	0.423	0.487	0.558	0.310	128.573	2394	909
26	0.141	57.487	19.474	1.431	57.256	19.262	0.444	0.444	0.519	0.346	137.595	2711	910
27	0.151	36.650	20.004	1.491	36.407	19.770	0.466	0.466	0.556	0.345	42.851	1737	934
28	0.141	119.031	20.458	1.448	118.787	20.256	0.487	0.423	0.507	0.353	147.018	5618	957
29	0.110	94.659	20.564	1.299	94.467	20.362	0.402	0.402	0.473	0.297	132.042	4463	962
30	0.151	110.176	20.889	1.491	109.918	20.680	0.487	0.444	0.551	0.350	138.329	5199	977
31	0.150	24.421	21.315	1.528	24.236	21.018	0.360	0.572	0.583	0.328	76.153	1153	993
32	0.133	61.792	21.318	1.401	61.616	21.061	0.360	0.508	0.526	0.322	111.523	2914	995
33	0.122	118.194	21.430	1.359	117.983	21.209	0.402	0.423	0.487	0.320	51.038	5584	1002
34	0.139	87.913	21.560	1.473	87.630	21.378	0.550	0.360	0.570	0.311	13.732	4158	1010
35	0.120	58.386	21.981	1.353	58.230	21.738	0.318	0.508	0.503	0.304	74.052	2757	1027
36	0.140	61.491	22.014	1.448	61.299	21.759	0.381	0.529	0.522	0.341	104.839	2901	1028
37	0.114	45.557	22.092	1.316	45.381	21.844	0.339	0.487	0.490	0.296	62.741	2155	1032
38	0.121	19.185	22.398	1.341	19.008	22.162	0.360	0.466	0.522	0.296	119.230	900	1047
39	0.134	107.075	22.395	1.383	106.828	22.225	0.508	0.339	0.521	0.328	167.249	5051	1050
40	0.107	29.945	22.894	1.299	29.760	22.670	0.360	0.444	0.481	0.284	54.532	1418	1071
41	0.122	70.380	23.130	1.383	70.210	22.860	0.339	0.508	0.520	0.300	78.991	3324	1080
42	0.136	55.055	23.092	1.461	54.822	22.902	0.508	0.402	0.533	0.324	24.767	2601	1082
43	0.137	61.969	23.928	1.461	61.786	23.643	0.360	0.550	0.562	0.310	68.263	2929	1117
44	0.134	49.682	23.978	1.456	49.509	23.707	0.339	0.529	0.536	0.318	77.863	2347	1120
45	0.108	17.409	24.288	1.244	17.230	24.066	0.360	0.423	0.445	0.310	124.243	817	1137
46	0.133	87.582	24.462	1.431	87.397	24.194	0.360	0.529	0.539	0.313	72.443	4139	1143
47	0.143	85.970	24.832	1.491	85.683	24.638	0.550	0.381	0.566	0.321	19.548	4066	1164
48	0.132	85.275	24.931	1.426	85.111	24.659	0.318	0.550	0.538	0.313	84.211	4029	1165
49	0.153	107.228	25.257	1.480	106.955	25.082	0.550	0.339	0.563	0.345	1.302	5063	1185
50	0.135	44.117	25.410	1.388	43.942	25.146	0.360	0.508	0.518	0.332	67.513	2085	1188
51	0.140	48.776	25.477	1.461	48.599	25.231	0.381	0.529	0.534	0.334	70.707	2305	1192
52	0.117	58.242	25.436	1.346	57.997	25.273	0.508	0.339	0.511	0.292	25.294	2750	1194
53	0.142	113.155	25.645	1.498	112.966	25.358	0.360	0.550	0.581	0.311	68.747	5348	1198
54	0.131	50.388	25.784	1.376	50.165	25.569	0.444	0.423	0.501	0.334	45.380	2381	1208
55	0.130	33.333	25.988	1.378	33.189	25.739	0.318	0.508	0.510	0.324	85.984	1571	1216
56	0.125	67.450	26.209	1.388	67.246	25.972	0.381	0.487	0.538	0.295	119.684	3179	1227
57	0.138	105.647	26.487	1.413	105.452	26.247	0.381	0.487	0.511	0.343	115.233	4987	1240
58	0.130	16.694	26.446	1.418	16.425	26.268	0.508	0.360	0.512	0.323	159.697	783	1241
59	0.126	55.834	26.518	1.378	55.690	26.268	0.318	0.508	0.526	0.306	83.952	2635	1241
60	0.124	61.800	26.980	1.366	61.637	26.734	0.339	0.487	0.503	0.314	96.701	2916	1263
61	0.151	42.684	26.918	1.480	42.418	26.755	0.550	0.339	0.554	0.346	0.639	2010	1264
62	0.156	96.924	27.114	1.491	96.668	26.882	0.487	0.444	0.549	0.362	39.412	4581	1270
63	0.138	73.012	27.134	1.431	72.792	26.903	0.444	0.444	0.523	0.335	133.866	3446	1271
64	0.139	55.606	27.421	1.436	55.351	27.220	0.508	0.402	0.550	0.322	147.955	2619	1286
65	0.138	29.171	27.798	1.473	28.914	27.622	0.550	0.360	0.548	0.322	12.440	1378	1305
66	0.138	113.353	28.476	1.413	113.178	28.215	0.360	0.508	0.531	0.332	110.236	5351	1333
67	0.128	89.283	29.274	1.383	89.069	29.041	0.402	0.444	0.513	0.317	48.129	4222	1372
68	0.141	25.586	29.894	1.438	25.421	29.612	0.318	0.550	0.549	0.326	95.163	1208	1399
69	0.134	54.701	30.253	1.383	54.483	30.057	0.423	0.423	0.493	0.347	132.566	2576	1420
70	0.147	45.644	30.397	1.503	45.402	30.184	0.487	0.444	0.577	0.323	39.287	2158	1426
71	0.131	86.947	30.443	1.431	86.741	30.205	0.402	0.487	0.530	0.315	58.235	4108	1427
72	0.123	46.928	30.573	1.396	46.778	30.311	0.296	0.550	0.551	0.285	77.063	2217	1432
73	0.144	99.578	30.547	1.461	99.314	30.332	0.508	0.402	0.543	0.337	31.260	4707	1433
74	0.145	22.280	31.241	1.466	22.034	31.009	0.487	0.444	0.555	0.333	37.940	1058	1465
75	0.143	105.770	31.489	1.453	105.516	31.284	0.508	0.423	0.557	0.327	33.154	4999	1478
76	0.131	50.262	31.785	1.413	50.102	31.496	0.318	0.550	0.530	0.315	84.795	2374	1488
77	0.128	96.579	31.908	1.371	96.351	31.686	0.444	0.402	0.500	0.325	38.772	4565	1497
78	0.138	68.265	32.400	1.438	68.093	32.152	0.360	0.508	0.531	0.331	72.620	3225	1519
79	0.133	114.771	32.526	1.426	114.575	32.300	0.402	0.466	0.537	0.314	51.334	5424	1526
80	0.143	44.519	33.209	1.498	44.365	32.914	0.318	0.593	0.579	0.316	94.179	2102	1555
81	0.127	48.380	33.189	1.383	48.112	33.041	0.529	0.318	0.520	0.310	176.312	2279	1561
82	0.139	125.049	33.688	1.413	124.778	33.507	0.529	0.339	0.521	0.340	3.702	5906	1583
83	0.140	24.714	33.900	1.461	24.448	33.697	0.508	0.402	0.557	0.321	33.252	1169	1592
84	0.129	68.250	34.201	1.376	68.072	33.951	0.360	0.508	0.518	0.316	67.781	3226	1604
85	0.116	114.630	34.326	1.316	114.469	34.078	0.339	0.487	0.476	0.312	83.979	5415	1610
86	0.140	29.066	34.605	1.401	28.850	34.375	0.423	0.444	0.513	0.348	52.125	1374	1624
87	0.106	88.906	34.607	1.311	88.667	34.459	0.487	0.318	0.512	0.264	24.238	4199	1628
88	0.129	68.471	35.036	1.413	68.284	34.798	0.381	0.487	0.530	0.311	61.777	3235	1644
89	0.131	80.073	35.644	1.408	79.904	35.391	0.339	0.508	0.525	0.318	103.863	3779	1672
90	0.135	98.312	36.072	1.406	98.065	35.878	0.508	0.381	0.509	0.339	14.829	4645	1695
91	0.134	33.786	36.163	1.418	33.549	35.920	0.423	0.466	0.521	0.327	52.193	1599	1697
92	0.143	26.406	36.214	1.508	26.204	35.962	0.444	0.508	0.574	0.318	123.216	1239	1699
93	0.138	27.093	36.335	1.426	26.924	36.068	0.339	0.529	0.519	0.339	95.325	1278	1704
