 	Area	X	Y	Perim.	BX	BY	Width	Height	Major	Minor	Angle	XStart	YStart
1	0.134	38.186	20.961	1.401	38.015	20.701	0.339	0.529	0.509	0.334	90.874	1802	978
2	0.095	68.707	21.112	1.149	68.517	20.955	0.381	0.318	0.394	0.307	14.417	3244	990
3	0.129	57.710	22.039	1.346	57.510	21.823	0.402	0.444	0.453	0.362	62.589	2725	1031
4	0.148	53.370	23.001	1.473	53.107	22.818	0.550	0.360	0.563	0.335	164.621	2513	1078
5	0.148	42.243	23.469	1.448	42.037	23.220	0.402	0.508	0.529	0.356	116.137	1990	1097
6	0.142	17.146	24.092	1.413	16.954	23.855	0.402	0.466	0.509	0.354	120.770	805	1127
7	0.116	41.808	24.578	1.288	41.656	24.363	0.318	0.444	0.459	0.323	94.680	1970	1151
8	0.133	114.269	24.955	1.371	114.046	24.765	0.466	0.381	0.485	0.350	26.083	5397	1170
9	0.123	29.075	27.950	1.316	28.893	27.707	0.360	0.466	0.466	0.335	114.066	1369	1309
10	0.121	81.160	29.137	1.286	80.941	28.935	0.423	0.381	0.452	0.341	32.112	3836	1367
11	0.147	12.496	29.461	1.463	12.319	29.210	0.360	0.508	0.541	0.347	75.606	588	1380
12	0.125	29.786	30.581	1.323	29.549	30.416	0.466	0.339	0.480	0.332	159.884	1398	1437
13	0.128	12.786	31.611	1.424	12.573	31.348	0.402	0.508	0.539	0.302	60.834	606	1481
14	0.116	56.041	32.530	1.306	55.816	32.385	0.466	0.318	0.468	0.317	12.222	2643	1530
15	0.105	50.666	32.848	1.239	50.482	32.660	0.402	0.360	0.444	0.301	147.387	2386	1543
16	0.177	56.297	33.274	1.570	56.070	33.020	0.444	0.508	0.544	0.415	58.818	2658	1560
17	0.141	88.628	34.463	1.463	88.456	34.205	0.339	0.529	0.553	0.325	75.070	4187	1616
18	0.134	71.981	40.634	1.366	71.734	40.471	0.487	0.339	0.500	0.342	2.005	3395	1912
19	0.117	73.118	40.719	1.304	72.898	40.513	0.423	0.402	0.492	0.304	42.288	3456	1914
20	0.125	58.391	41.180	1.311	58.166	41.000	0.444	0.360	0.459	0.348	170.911	2757	1937
21	0.151	61.921	41.670	1.468	61.659	41.487	0.529	0.360	0.542	0.355	172.487	2921	1960
22	0.145	97.606	43.611	1.461	97.367	43.392	0.466	0.444	0.541	0.341	40.175	4613	2050
23	0.134	106.407	43.737	1.413	106.172	43.540	0.487	0.381	0.510	0.334	156.517	5022	2057
24	0.112	113.447	43.968	1.261	113.242	43.773	0.423	0.381	0.470	0.302	141.164	5354	2068
25	0.136	50.061	46.570	1.388	49.848	46.355	0.423	0.444	0.520	0.333	130.780	2357	2190
26	0.133	56.930	46.659	1.396	56.663	46.503	0.529	0.318	0.524	0.322	7.147	2687	2197
27	0.135	62.865	47.736	1.383	62.590	47.583	0.529	0.318	0.531	0.323	171.466	2962	2248
28	0.133	79.601	48.409	1.406	79.375	48.196	0.466	0.423	0.514	0.328	37.516	3763	2277
29	0.146	74.194	49.254	1.443	73.999	49.022	0.402	0.487	0.518	0.358	67.109	3503	2316
30	0.104	67.680	49.566	1.244	67.458	49.403	0.423	0.360	0.453	0.292	143.280	3190	2334
31	0.134	43.173	50.787	1.371	42.990	50.546	0.360	0.487	0.504	0.338	72.601	2038	2388
32	0.135	103.890	50.909	1.413	103.717	50.652	0.339	0.529	0.536	0.322	103.749	4904	2393
33	0.164	65.833	51.744	1.515	65.553	51.562	0.550	0.381	0.548	0.380	7.204	3105	2436
34	0.097	76.831	51.863	1.167	76.623	51.710	0.423	0.296	0.423	0.293	16.046	3627	2443
35	0.129	83.782	51.997	1.366	83.524	51.837	0.508	0.318	0.525	0.312	12.654	3957	2449
36	0.140	103.110	52.227	1.431	102.912	51.985	0.381	0.508	0.538	0.331	114.971	4865	2456
37	0.120	56.331	54.053	1.274	56.134	53.827	0.381	0.423	0.457	0.334	52.274	2663	2543
38	0.121	18.614	54.617	1.323	18.373	54.462	0.487	0.318	0.479	0.322	10.574	875	2573
39	0.107	20.267	55.061	1.244	20.045	54.906	0.466	0.318	0.477	0.286	19.426	956	2594
40	0.121	87.424	55.069	1.299	87.186	54.906	0.466	0.339	0.462	0.332	172.684	4125	2594
41	0.118	47.821	57.545	1.274	47.646	57.319	0.360	0.444	0.469	0.320	117.597	2255	2708
42	0.116	35.143	58.381	1.286	34.883	58.230	0.487	0.318	0.466	0.317	173.185	1656	2751
43	0.128	17.903	58.535	1.336	17.674	58.357	0.444	0.360	0.458	0.355	156.077	839	2757
44	0.130	41.710	59.228	1.388	41.466	59.034	0.487	0.381	0.515	0.321	30.003	1972	2789
45	0.138	70.031	60.372	1.461	69.829	60.113	0.381	0.529	0.539	0.325	76.973	3309	2840
46	0.138	31.982	60.665	1.401	31.771	60.452	0.466	0.402	0.494	0.355	147.477	1504	2856
47	0.106	69.465	61.596	1.359	69.278	61.404	0.360	0.444	0.425	0.318	78.108	3280	2901
48	0.143	39.794	62.878	1.448	39.539	62.696	0.529	0.381	0.522	0.349	160.858	1872	2962
49	0.121	29.582	64.019	1.299	29.379	63.818	0.423	0.381	0.471	0.326	138.116	1392	3015
50	0.137	32.172	65.218	1.406	31.940	65.003	0.487	0.402	0.542	0.321	147.729	1513	3071
51	0.110	43.290	65.657	1.214	43.095	65.490	0.402	0.360	0.411	0.342	15.751	2043	3094
52	0.126	31.986	65.849	1.316	31.771	65.659	0.423	0.402	0.483	0.332	136.888	1503	3102
53	0.135	27.316	66.652	1.406	27.072	66.463	0.508	0.381	0.523	0.328	156.223	1283	3140
54	0.114	39.050	67.062	1.299	38.883	66.823	0.339	0.466	0.465	0.313	82.106	1844	3157
55	0.137	26.011	67.231	1.401	25.823	66.992	0.381	0.487	0.532	0.328	60.909	1229	3165
56	0.122	19.876	68.478	1.359	19.706	68.220	0.318	0.508	0.505	0.307	94.020	937	3223
57	0.117	84.972	68.735	1.311	84.794	68.517	0.339	0.466	0.483	0.308	109.562	4008	3237
58	0.127	40.291	69.207	1.371	40.111	68.961	0.339	0.508	0.499	0.325	91.190	1902	3258
59	0.126	45.519	69.340	1.359	45.360	69.067	0.318	0.529	0.512	0.313	80.743	2151	3263
60	0.124	95.652	69.754	1.336	95.462	69.532	0.360	0.444	0.484	0.327	112.098	4514	3285
61	0.114	56.997	70.650	1.264	56.769	70.506	0.466	0.296	0.470	0.308	173.785	2685	3331
62	0.126	28.876	71.286	1.371	28.638	71.099	0.444	0.402	0.477	0.338	144.215	1359	3359
63	0.125	116.048	72.382	1.299	115.845	72.178	0.381	0.423	0.450	0.354	113.861	5477	3410
64	0.130	41.324	72.562	1.366	41.169	72.305	0.318	0.508	0.515	0.322	90.463	1949	3416
65	0.144	44.405	73.240	1.480	44.238	72.962	0.339	0.550	0.564	0.326	79.545	2096	3447
66	0.129	28.689	74.221	1.359	28.512	73.978	0.360	0.487	0.488	0.338	101.475	1352	3495
67	0.124	44.987	74.590	1.329	44.810	74.358	0.360	0.466	0.478	0.330	62.815	2126	3513
68	0.128	68.220	75.288	1.381	68.008	75.078	0.444	0.444	0.505	0.323	43.266	3226	3547
69	0.125	70.071	75.505	1.364	69.871	75.248	0.381	0.487	0.510	0.313	59.502	3312	3555
70	0.142	37.553	75.618	1.406	37.317	75.417	0.487	0.402	0.513	0.351	29.471	1774	3563
71	0.093	126.163	75.936	1.244	125.963	75.777	0.402	0.318	0.400	0.297	170.285	5958	3580
72	0.158	79.070	76.278	1.528	78.888	75.988	0.360	0.572	0.568	0.354	99.820	3733	3590
73	0.117	13.127	76.512	1.269	12.933	76.327	0.402	0.381	0.447	0.333	41.475	619	3606
74	0.124	93.791	76.599	1.323	93.620	76.369	0.339	0.466	0.484	0.326	104.510	4427	3608
75	0.127	50.464	77.164	1.359	50.292	76.920	0.339	0.487	0.480	0.337	98.346	2382	3634
76	0.126	110.090	79.103	1.366	109.940	78.846	0.296	0.529	0.522	0.307	86.629	5200	3725
77	0.124	34.679	79.785	1.359	34.502	79.523	0.339	0.508	0.499	0.315	101.245	1637	3757
78	0.120	61.134	80.480	1.329	60.896	80.328	0.508	0.318	0.483	0.316	0.848	2882	3795
79	0.129	105.412	80.570	1.346	105.220	80.349	0.402	0.444	0.500	0.329	127.614	4974	3796
80	0.101	100.710	80.854	1.204	100.563	80.624	0.275	0.444	0.457	0.282	96.241	4756	3809
81	0.049	59.732	80.883	0.860	59.584	80.772	0.296	0.233	0.307	0.205	155.025	2816	3816
82	0.121	49.838	83.807	1.294	49.678	83.566	0.318	0.466	0.478	0.322	100.879	2352	3948
83	0.122	17.061	84.338	1.316	16.828	84.159	0.466	0.360	0.488	0.319	24.360	808	3976
84	0.126	78.572	84.769	1.359	78.380	84.518	0.360	0.487	0.489	0.329	108.523	3710	3993
85	0.148	20.034	84.877	1.448	19.812	84.667	0.466	0.444	0.541	0.349	41.187	946	4000
86	0.138	20.367	85.325	1.431	20.108	85.132	0.508	0.381	0.536	0.329	25.150	964	4022
87	0.120	10.286	86.445	1.321	10.075	86.233	0.444	0.402	0.500	0.306	139.770	480	4074
88	0.108	42.570	87.220	1.316	42.418	86.974	0.296	0.487	0.486	0.284	82.741	2010	4109
89	0.122	61.904	89.525	1.311	61.722	89.302	0.360	0.444	0.475	0.328	60.687	2925	4219
90	0.124	110.778	89.554	1.323	110.554	89.387	0.444	0.339	0.464	0.339	9.346	5231	4223
91	0.127	24.703	90.805	1.336	24.532	90.572	0.339	0.466	0.483	0.334	80.747	1165	4279
92	0.134	104.636	90.906	1.366	104.458	90.678	0.360	0.466	0.510	0.334	115.038	4936	4284
93	0.112	109.046	90.933	1.264	108.902	90.699	0.296	0.466	0.475	0.302	84.510	5149	4285
94	0.120	23.517	91.549	1.299	23.304	91.355	0.423	0.381	0.482	0.316	36.022	1112	4316
95	0.136	43.819	93.608	1.394	43.624	93.366	0.402	0.487	0.515	0.336	121.496	2066	4411
96	0.124	46.623	93.909	1.294	46.397	93.747	0.444	0.339	0.463	0.340	167.569	2196	4429
97	0.124	105.048	95.527	1.336	104.902	95.271	0.296	0.508	0.509	0.310	89.619	4961	4501
98	0.135	119.346	95.950	1.413	119.105	95.779	0.508	0.360	0.514	0.334	23.380	5635	4525
99	0.057	129.111	96.007	0.985	128.947	95.843	0.296	0.318	0.354	0.205	59.239	6098	4528
100	0.139	63.124	96.450	1.413	62.950	96.181	0.339	0.529	0.523	0.338	92.036	2982	4544
101	0.129	57.209	96.516	1.394	57.023	96.266	0.381	0.508	0.518	0.317	66.625	2704	4548
