 	Area	X	Y	Perim.	BX	BY	Width	Height	Major	Minor	Angle	XStart	YStart
1	0.061	33.719	11.515	0.900	33.570	11.366	0.296	0.296	0.323	0.240	44.428	1593	537
2	0.050	18.905	15.220	0.800	18.796	15.092	0.233	0.254	0.265	0.239	65.981	890	713
3	0.097	78.855	15.639	1.202	78.698	15.409	0.296	0.466	0.441	0.280	79.916	3726	728
4	0.106	56.615	15.722	1.214	56.430	15.536	0.381	0.360	0.408	0.330	135.209	2669	734
5	0.088	29.157	16.169	1.124	28.977	16.002	0.339	0.360	0.394	0.285	128.843	1373	756
6	0.090	39.243	16.684	1.137	39.031	16.531	0.402	0.296	0.422	0.272	18.665	1855	781
7	0.090	68.963	16.738	1.131	68.834	16.531	0.254	0.423	0.429	0.267	89.298	3256	781
8	0.101	40.136	17.155	1.179	39.942	16.997	0.402	0.318	0.424	0.304	24.869	1893	803
9	0.073	44.945	17.400	1.069	44.789	17.230	0.318	0.360	0.407	0.230	48.692	2125	814
10	0.097	38.790	17.694	1.167	38.587	17.547	0.402	0.318	0.415	0.297	14.727	1830	829
11	0.115	72.745	19.037	1.311	72.580	18.817	0.339	0.444	0.467	0.314	70.637	3436	889
12	0.103	82.466	19.099	1.214	82.296	18.902	0.339	0.402	0.430	0.304	119.350	3891	893
13	0.089	60.972	20.056	1.107	60.770	19.918	0.402	0.275	0.405	0.280	8.872	2877	941
14	0.088	29.225	20.184	1.137	28.998	20.045	0.423	0.275	0.425	0.263	17.638	1380	947
15	0.112	99.324	21.410	1.239	99.102	21.251	0.444	0.318	0.449	0.316	7.493	4690	1004
16	0.114	92.902	21.557	1.291	92.710	21.336	0.381	0.444	0.468	0.309	122.534	4385	1008
17	0.108	99.223	22.323	1.246	98.996	22.183	0.444	0.296	0.458	0.299	8.824	4684	1048
18	0.099	26.657	22.635	1.191	26.437	22.500	0.444	0.275	0.451	0.281	175.256	1253	1063
19	0.099	39.953	23.478	1.214	39.772	23.283	0.381	0.381	0.461	0.274	134.722	1881	1100
20	0.087	65.884	23.591	1.107	65.744	23.389	0.275	0.402	0.409	0.270	103.290	3110	1105
21	0.096	36.746	24.264	1.154	36.576	24.088	0.360	0.360	0.414	0.295	142.507	1729	1138
22	0.151	128.988	24.415	1.540	128.820	24.130	0.339	0.593	0.594	0.323	81.656	6092	1140
23	0.111	115.539	25.298	1.256	115.316	25.146	0.444	0.318	0.462	0.305	168.581	5453	1188
24	0.108	48.679	25.482	1.214	48.472	25.315	0.423	0.339	0.429	0.321	18.191	2298	1196
25	0.100	33.867	25.801	1.184	33.676	25.633	0.402	0.339	0.430	0.296	151.088	1593	1211
26	0.115	89.824	25.807	1.264	89.598	25.654	0.444	0.318	0.464	0.315	10.208	4240	1212
27	0.098	20.473	26.168	1.172	20.299	25.972	0.339	0.402	0.439	0.283	120.862	962	1227
28	0.092	24.858	26.231	1.184	24.702	26.014	0.318	0.423	0.450	0.260	64.447	1175	1229
29	0.093	30.128	26.738	1.149	29.993	26.522	0.275	0.423	0.432	0.275	79.710	1422	1253
30	0.094	33.273	26.860	1.172	33.084	26.691	0.381	0.339	0.438	0.272	146.784	1566	1261
31	0.104	43.802	27.291	1.196	43.582	27.136	0.423	0.318	0.434	0.306	163.274	2064	1282
32	0.101	90.261	27.488	1.184	90.043	27.326	0.423	0.318	0.433	0.298	158.323	4259	1291
33	0.088	23.541	28.799	1.202	23.326	28.638	0.423	0.339	0.471	0.237	34.851	1113	1353
34	0.097	61.370	28.890	1.207	61.172	28.702	0.402	0.381	0.448	0.276	139.452	2893	1356
35	0.090	63.164	29.126	1.107	62.971	28.977	0.381	0.296	0.395	0.291	168.313	2980	1369
36	0.098	82.431	29.206	1.219	82.254	28.998	0.360	0.423	0.440	0.284	126.042	3890	1370
37	0.092	94.286	29.262	1.167	94.149	29.041	0.275	0.444	0.443	0.265	78.004	4453	1372
38	0.102	92.408	29.393	1.202	92.202	29.231	0.423	0.339	0.426	0.304	28.316	4364	1381
39	0.092	117.970	29.474	1.137	117.792	29.295	0.339	0.360	0.393	0.298	50.559	5573	1384
40	0.095	82.291	30.189	1.196	82.127	29.993	0.339	0.402	0.444	0.274	119.840	3882	1417
41	0.094	39.843	30.317	1.159	39.666	30.120	0.360	0.381	0.423	0.283	128.411	1878	1423
42	0.111	18.330	30.499	1.246	18.119	30.332	0.423	0.318	0.441	0.321	175.649	863	1433
43	0.084	22.231	31.292	1.094	22.077	31.115	0.318	0.360	0.406	0.264	58.640	1049	1470
44	0.095	78.365	31.479	1.167	78.168	31.327	0.402	0.318	0.435	0.277	153.000	3694	1480
45	0.094	49.229	31.656	1.137	49.086	31.454	0.296	0.402	0.404	0.296	81.185	2324	1486
46	0.104	81.498	31.740	1.251	81.344	31.517	0.318	0.444	0.464	0.286	104.128	3847	1489
47	0.102	49.610	31.758	1.196	49.445	31.560	0.339	0.402	0.419	0.311	63.837	2343	1491
48	0.081	93.456	32.030	1.077	93.303	31.856	0.296	0.360	0.402	0.257	117.887	4410	1505
49	0.117	127.811	32.041	1.286	127.593	31.856	0.444	0.360	0.466	0.321	25.127	6039	1505
50	0.099	57.983	32.221	1.191	57.764	32.089	0.444	0.275	0.442	0.287	4.550	2734	1516
51	0.116	27.741	32.558	1.281	27.580	32.322	0.318	0.466	0.472	0.312	101.886	1308	1527
52	0.103	86.940	32.513	1.196	86.762	32.322	0.360	0.381	0.446	0.294	130.728	4101	1527
53	0.098	53.746	32.657	1.184	53.594	32.427	0.296	0.444	0.436	0.287	77.757	2540	1532
54	0.095	34.014	32.708	1.214	33.846	32.491	0.339	0.423	0.451	0.270	115.899	1605	1535
55	0.096	76.134	33.476	1.172	75.946	33.295	0.381	0.360	0.436	0.280	138.502	3590	1573
56	0.116	102.774	33.565	1.294	102.552	33.401	0.444	0.339	0.488	0.301	27.604	4854	1578
57	0.103	66.668	33.659	1.239	66.484	33.464	0.381	0.381	0.444	0.297	37.775	3152	1581
58	0.102	116.539	33.668	1.209	116.332	33.507	0.423	0.318	0.447	0.291	20.033	5508	1583
59	0.126	121.634	33.904	1.311	121.433	33.697	0.381	0.423	0.471	0.342	124.226	5741	1592
60	0.100	56.731	33.903	1.172	56.536	33.740	0.402	0.339	0.414	0.307	162.532	2676	1594
61	0.091	72.615	33.943	1.124	72.454	33.761	0.318	0.381	0.416	0.280	121.220	3425	1595
62	0.080	64.276	34.224	1.069	64.114	34.036	0.318	0.360	0.403	0.252	50.818	3038	1608
63	0.092	118.093	34.514	1.149	117.877	34.375	0.423	0.275	0.430	0.274	170.194	5574	1624
64	0.083	32.514	35.134	1.102	32.385	34.925	0.254	0.402	0.421	0.251	104.140	1533	1650
65	0.081	66.659	35.126	1.084	66.548	34.925	0.233	0.402	0.422	0.243	83.329	3147	1650
66	0.105	60.534	35.521	1.226	60.325	35.370	0.423	0.318	0.435	0.308	9.770	2856	1671
67	0.096	55.870	35.546	1.154	55.668	35.391	0.402	0.318	0.422	0.289	158.400	2634	1672
68	0.091	23.183	36.293	1.149	23.050	36.089	0.275	0.423	0.427	0.273	92.132	1092	1705
69	0.081	51.431	36.625	1.040	51.266	36.470	0.339	0.318	0.393	0.261	38.239	2429	1723
70	0.096	22.450	36.930	1.179	22.310	36.724	0.296	0.423	0.447	0.275	73.233	1059	1735
71	0.080	28.890	37.539	1.064	28.766	37.338	0.254	0.402	0.392	0.259	95.079	1362	1764
72	0.089	31.044	37.592	1.119	30.925	37.380	0.254	0.423	0.425	0.266	89.330	1464	1766
73	0.100	91.683	37.936	1.189	91.504	37.740	0.381	0.381	0.441	0.290	138.682	4325	1783
74	0.130	74.722	38.063	1.359	74.507	37.846	0.423	0.423	0.487	0.340	139.763	3523	1788
75	0.085	44.234	38.441	1.112	44.069	38.248	0.318	0.381	0.395	0.274	112.625	2087	1807
76	0.078	55.942	38.443	1.047	55.795	38.248	0.275	0.360	0.387	0.255	64.862	2643	1807
77	0.108	20.120	38.466	1.226	19.939	38.269	0.381	0.381	0.445	0.309	45.224	951	1808
78	0.085	72.533	38.693	1.064	72.348	38.544	0.360	0.296	0.379	0.286	155.933	3422	1821
79	0.083	57.656	39.290	1.112	57.510	39.095	0.318	0.381	0.406	0.260	122.973	2720	1847
80	0.086	84.519	39.518	1.107	84.370	39.328	0.296	0.381	0.409	0.269	115.493	3989	1858
81	0.078	100.454	39.546	1.040	100.288	39.391	0.339	0.318	0.360	0.278	32.830	4746	1861
82	0.102	70.174	40.373	1.226	69.956	40.217	0.444	0.318	0.449	0.288	175.611	3312	1900
83	0.096	59.242	40.660	1.167	59.097	40.450	0.296	0.423	0.431	0.285	100.954	2796	1911
84	0.099	67.101	40.910	1.184	66.887	40.746	0.423	0.318	0.447	0.281	154.054	3165	1925
85	0.167	109.359	41.660	1.663	109.093	41.423	0.550	0.466	0.613	0.347	142.884	5157	1957
86	0.111	66.713	41.669	1.269	66.484	41.508	0.466	0.318	0.469	0.302	14.490	3152	1961
87	0.099	75.902	41.851	1.196	75.756	41.635	0.296	0.444	0.430	0.295	103.666	3584	1967
88	0.099	77.266	41.891	1.161	77.131	41.677	0.275	0.423	0.436	0.289	89.319	3648	1969
89	0.109	60.141	41.979	1.256	59.902	41.825	0.466	0.318	0.458	0.304	167.744	2836	1976
90	0.089	64.513	42.101	1.159	64.326	41.910	0.360	0.381	0.419	0.269	49.930	3050	1980
91	0.080	106.623	42.342	1.077	106.490	42.143	0.254	0.402	0.411	0.247	74.586	5037	1991
