 	Area	X	Y	Perim.	BX	BY	Width	Height	Major	Minor	Angle	XStart	YStart
1	0.062	127.241	12.375	0.972	127.085	12.234	0.339	0.296	0.320	0.246	148.362	6008	578
2	0.141	47.292	12.988	1.431	47.096	12.742	0.402	0.487	0.535	0.336	117.540	2229	602
3	0.058	56.762	14.309	0.980	56.578	14.182	0.381	0.233	0.373	0.199	166.642	2678	670
4	0.117	60.073	14.418	1.286	59.859	14.224	0.423	0.381	0.478	0.313	142.930	2833	672
5	0.129	25.456	16.037	1.388	25.273	15.769	0.360	0.508	0.509	0.324	104.885	1200	745
6	0.142	58.854	23.001	1.503	58.589	22.775	0.508	0.423	0.565	0.320	32.835	2787	1076
7	0.131	80.342	27.138	1.388	80.137	26.903	0.423	0.444	0.534	0.312	134.160	3788	1271
8	0.135	25.801	28.390	1.461	25.548	28.194	0.529	0.381	0.544	0.316	17.687	1223	1332
9	0.118	44.917	29.420	1.383	44.768	29.125	0.296	0.550	0.524	0.287	86.107	2123	1376
10	0.129	84.108	29.558	1.383	83.947	29.295	0.318	0.529	0.518	0.317	89.650	3972	1384
11	0.125	110.749	30.809	1.359	110.575	30.565	0.360	0.487	0.509	0.314	67.306	5232	1444
12	0.143	65.792	34.560	1.436	65.553	34.354	0.487	0.423	0.544	0.335	143.342	3100	1623
13	0.133	70.359	34.641	1.418	70.104	34.459	0.508	0.360	0.505	0.335	171.484	3321	1628
14	0.125	105.930	34.720	1.346	105.728	34.480	0.381	0.466	0.488	0.326	63.501	5006	1629
15	0.146	76.066	35.508	1.498	75.798	35.327	0.550	0.360	0.573	0.323	157.576	3584	1669
16	0.154	23.801	36.552	1.491	23.537	36.364	0.529	0.402	0.537	0.365	19.665	1123	1718
17	0.124	110.610	36.819	1.323	110.384	36.661	0.466	0.339	0.469	0.336	175.668	5218	1732
18	0.143	40.229	36.966	1.450	39.963	36.788	0.529	0.339	0.541	0.336	6.628	1900	1738
19	0.144	108.247	37.616	1.473	108.035	37.380	0.423	0.487	0.560	0.327	57.006	5114	1766
20	0.141	68.313	37.723	1.413	68.051	37.550	0.529	0.339	0.530	0.338	0.474	3225	1774
21	0.150	69.632	38.272	1.456	69.363	38.100	0.550	0.339	0.546	0.349	175.867	3283	1800
22	0.135	75.977	38.695	1.406	75.777	38.460	0.423	0.466	0.540	0.319	128.833	3582	1817
23	0.042	27.837	38.752	0.758	27.707	38.650	0.254	0.212	0.268	0.200	150.539	1310	1826
24	0.045	61.575	38.965	0.842	61.468	38.820	0.212	0.296	0.302	0.191	104.822	2905	1834
25	0.147	107.284	39.104	1.496	107.082	38.820	0.402	0.550	0.554	0.339	63.547	5071	1834
26	0.137	86.377	39.933	1.383	86.106	39.772	0.529	0.318	0.530	0.328	176.275	4075	1879
27	0.131	87.019	40.435	1.366	86.847	40.196	0.339	0.487	0.508	0.329	76.707	4108	1899
28	0.140	95.691	40.551	1.466	95.504	40.280	0.381	0.529	0.537	0.333	74.631	4521	1903
29	0.143	107.651	40.753	1.450	107.484	40.492	0.339	0.529	0.534	0.341	91.187	5083	1913
30	0.137	74.053	40.759	1.418	73.787	40.576	0.529	0.360	0.528	0.329	13.542	3498	1917
31	0.141	99.393	41.952	1.443	99.229	41.677	0.339	0.550	0.549	0.327	81.678	4695	1969
32	0.139	22.524	42.117	1.461	22.331	41.846	0.381	0.529	0.555	0.319	60.793	1068	1977
33	0.149	91.781	42.379	1.491	91.567	42.122	0.423	0.508	0.575	0.329	54.314	4340	1990
34	0.163	110.747	42.641	1.575	110.448	42.418	0.550	0.423	0.582	0.356	26.938	5235	2004
35	0.153	122.308	42.691	1.510	122.047	42.503	0.529	0.381	0.556	0.351	21.578	5778	2008
36	0.103	21.798	43.368	1.261	21.632	43.138	0.339	0.444	0.461	0.286	62.418	1031	2038
37	0.124	67.867	43.841	1.336	67.628	43.688	0.487	0.318	0.503	0.313	12.221	3203	2064
