 	Area	X	Y	Perim.	BX	BY	Width	Height	Major	Minor	Angle	XStart	YStart
1	0.135	24.011	13.815	1.413	23.834	13.568	0.360	0.487	0.519	0.332	112.949	1128	641
2	0.116	95.544	14.681	1.348	95.292	14.542	0.508	0.296	0.536	0.277	169.080	4504	687
3	0.043	42.325	14.784	0.788	42.206	14.668	0.254	0.233	0.258	0.210	16.425	1997	693
4	0.108	73.987	14.949	1.256	73.745	14.796	0.466	0.318	0.462	0.298	172.955	3490	699
5	0.091	100.968	15.735	1.124	100.753	15.600	0.423	0.275	0.414	0.281	3.787	4767	737
6	0.086	98.481	15.884	1.107	98.298	15.727	0.360	0.318	0.392	0.278	151.170	4650	743
7	0.132	41.954	16.402	1.408	41.804	16.129	0.318	0.529	0.536	0.313	87.839	1979	762
8	0.107	22.765	17.636	1.239	22.627	17.399	0.296	0.466	0.478	0.284	103.155	1071	822
9	0.120	15.837	19.974	1.366	15.684	19.706	0.318	0.508	0.516	0.296	101.079	746	931
10	0.072	103.225	20.507	0.992	103.039	20.384	0.360	0.254	0.363	0.251	174.018	4875	963
11	0.103	68.624	21.916	1.256	68.453	21.696	0.360	0.423	0.453	0.290	124.501	3235	1025
12	0.104	80.871	22.163	1.221	80.645	22.013	0.444	0.296	0.476	0.278	160.803	3813	1040
13	0.091	91.152	24.650	1.154	90.953	24.490	0.402	0.318	0.412	0.281	161.917	4303	1157
14	0.091	107.665	25.227	1.142	107.463	25.061	0.402	0.318	0.413	0.282	28.977	5087	1184
15	0.110	11.426	25.774	1.239	11.197	25.612	0.444	0.318	0.450	0.311	165.003	535	1210
16	0.095	27.186	26.569	1.177	26.966	26.416	0.444	0.318	0.442	0.272	20.470	1284	1248
17	0.118	29.698	26.715	1.334	29.485	26.522	0.444	0.402	0.504	0.299	40.783	1404	1253
18	0.069	88.129	27.338	1.022	88.011	27.136	0.233	0.402	0.387	0.227	85.774	4163	1282
19	0.091	33.323	27.377	1.191	33.126	27.242	0.402	0.296	0.418	0.276	174.233	1567	1287
20	0.099	30.524	28.330	1.221	30.332	28.130	0.360	0.381	0.462	0.271	51.717	1443	1329
21	0.094	108.894	28.382	1.172	108.712	28.194	0.402	0.339	0.425	0.282	143.204	5140	1332
22	0.077	113.514	28.704	1.082	113.348	28.512	0.318	0.360	0.392	0.251	49.600	5367	1347
23	0.091	102.704	28.751	1.149	102.468	28.617	0.444	0.254	0.445	0.262	0.422	4849	1352
24	0.074	114.000	29.226	1.010	113.856	29.041	0.275	0.360	0.350	0.269	66.769	5387	1372
25	0.116	42.837	29.255	1.361	42.587	29.104	0.487	0.296	0.490	0.302	6.911	2016	1375
26	0.124	51.674	29.307	1.341	51.456	29.125	0.444	0.381	0.500	0.316	33.231	2441	1376
27	0.078	94.732	29.959	1.027	94.573	29.782	0.296	0.360	0.340	0.292	74.007	4475	1407
28	0.086	104.600	30.612	1.082	104.415	30.459	0.360	0.318	0.361	0.302	161.534	4939	1439
29	0.098	45.764	30.675	1.299	45.508	30.522	0.487	0.296	0.510	0.245	18.197	2169	1442
30	0.095	91.952	31.089	1.184	91.758	30.925	0.402	0.318	0.398	0.304	21.714	4342	1461
31	0.078	63.822	31.527	1.129	63.669	31.306	0.296	0.423	0.436	0.229	64.230	3016	1479
32	0.134	33.328	31.764	1.478	33.084	31.538	0.487	0.444	0.549	0.311	36.634	1581	1490
33	0.127	15.959	31.903	1.383	15.790	31.644	0.318	0.529	0.520	0.311	97.913	752	1495
34	0.062	129.890	33.255	1.034	129.752	33.084	0.275	0.318	0.312	0.254	62.973	6141	1563
35	0.124	125.192	33.399	1.376	124.968	33.189	0.444	0.423	0.534	0.296	135.997	5907	1568
36	0.114	114.702	34.183	1.299	114.469	34.015	0.466	0.339	0.473	0.308	15.809	5419	1607
37	0.069	109.257	34.432	0.997	109.072	34.290	0.360	0.275	0.340	0.258	24.691	5160	1620
38	0.087	106.345	34.693	1.094	106.172	34.523	0.339	0.339	0.389	0.285	130.885	5018	1631
39	0.099	10.311	34.929	1.226	10.096	34.756	0.423	0.318	0.420	0.301	4.833	485	1642
40	0.090	15.642	34.979	1.196	15.388	34.862	0.487	0.254	0.471	0.242	179.103	734	1647
41	0.120	79.284	35.738	1.336	79.058	35.560	0.444	0.360	0.500	0.306	27.644	3747	1680
42	0.098	109.935	36.142	1.202	109.749	35.962	0.402	0.360	0.444	0.280	144.201	5187	1699
43	0.096	79.213	36.240	1.154	79.036	36.068	0.360	0.360	0.395	0.311	134.016	3737	1704
44	0.086	78.711	36.376	1.094	78.528	36.216	0.360	0.318	0.387	0.283	150.061	3714	1711
45	0.098	115.150	36.466	1.221	115.020	36.216	0.275	0.466	0.452	0.275	93.961	5437	1711
46	0.116	39.715	36.965	1.359	39.539	36.703	0.381	0.466	0.517	0.286	128.075	1870	1734
47	0.099	91.973	36.899	1.239	91.736	36.745	0.466	0.296	0.481	0.262	161.529	4340	1736
48	0.073	77.628	36.979	1.034	77.470	36.830	0.318	0.318	0.351	0.265	38.957	3669	1740
49	0.114	93.995	37.069	1.323	93.853	36.830	0.296	0.508	0.506	0.286	90.534	4437	1740
50	0.091	57.835	37.376	1.147	57.637	37.211	0.402	0.339	0.433	0.266	36.662	2732	1758
51	0.106	64.482	38.231	1.232	64.283	38.015	0.381	0.402	0.459	0.294	43.637	3050	1796
52	0.106	124.321	38.691	1.251	124.185	38.460	0.296	0.466	0.459	0.294	95.508	5869	1817
53	0.108	100.392	38.713	1.294	100.245	38.481	0.296	0.487	0.492	0.278	78.897	4743	1818
54	0.112	38.725	39.018	1.274	38.502	38.841	0.444	0.360	0.460	0.309	31.330	1829	1835
55	0.103	125.093	39.340	1.269	124.926	39.116	0.339	0.444	0.482	0.272	61.064	5911	1848
