 	Area	X	Y	Perim.	BX	BY	Width	Height	Major	Minor	Angle	XStart	YStart
1	0.141	57.083	15.539	1.491	56.917	15.261	0.339	0.572	0.546	0.329	85.406	2695	721
2	0.142	47.137	15.624	1.433	46.969	15.367	0.339	0.508	0.527	0.342	88.032	2224	726
3	0.182	71.626	15.687	1.740	71.374	15.388	0.487	0.593	0.558	0.415	80.887	3383	727
4	0.145	33.254	16.454	1.491	33.041	16.235	0.444	0.466	0.529	0.349	49.883	1570	767
5	0.118	86.403	16.508	1.269	86.233	16.277	0.339	0.444	0.446	0.336	95.229	4080	769
6	0.138	51.081	17.558	1.396	50.842	17.378	0.487	0.360	0.523	0.335	154.609	2404	821
7	0.061	97.817	17.761	1.045	97.621	17.632	0.381	0.254	0.372	0.210	160.989	4620	833
8	0.155	42.909	18.654	1.563	42.672	18.415	0.466	0.487	0.569	0.348	47.037	2032	870
9	0.098	27.810	18.620	1.196	27.622	18.436	0.402	0.339	0.426	0.293	149.162	1312	871
10	0.118	28.824	18.642	1.299	28.575	18.478	0.487	0.318	0.485	0.310	2.526	1361	873
11	0.210	42.073	19.177	1.924	41.720	18.965	0.741	0.402	0.727	0.367	175.814	1982	896
12	0.159	31.518	20.068	1.496	31.263	19.833	0.487	0.466	0.522	0.387	142.139	1486	937
13	0.052	41.028	20.230	0.962	40.852	20.130	0.360	0.212	0.359	0.184	161.466	1930	951
14	0.144	59.740	21.335	1.478	59.542	21.082	0.402	0.529	0.549	0.333	61.542	2825	996
15	0.147	59.027	22.315	1.443	58.822	22.077	0.402	0.487	0.502	0.371	67.931	2787	1043
16	0.133	98.089	22.690	1.401	97.917	22.416	0.339	0.529	0.527	0.322	104.209	4632	1059
17	0.112	51.052	22.690	1.239	50.864	22.500	0.402	0.360	0.441	0.322	143.249	2406	1063
18	0.145	110.686	23.658	1.448	110.469	23.410	0.423	0.487	0.544	0.340	53.051	5231	1106
19	0.147	31.197	23.962	1.521	30.988	23.707	0.402	0.529	0.554	0.339	64.075	1476	1120
20	0.131	109.730	24.105	1.346	109.516	23.897	0.444	0.402	0.476	0.351	37.088	5185	1129
21	0.165	50.272	24.361	1.568	49.953	24.172	0.614	0.381	0.575	0.365	174.348	2371	1142
22	0.121	126.475	24.994	1.281	126.259	24.807	0.423	0.360	0.439	0.351	18.796	5975	1172
23	0.162	61.934	25.393	1.503	61.722	25.125	0.423	0.508	0.535	0.386	60.909	2926	1187
24	0.135	110.946	25.778	1.418	110.723	25.548	0.444	0.444	0.519	0.332	41.019	5245	1207
