 	Area	X	Y	Perim.	BX	BY	Width	Height	Major	Minor	Angle	XStart	YStart
1	0.147	31.675	11.685	1.515	31.411	11.494	0.508	0.402	0.571	0.328	147.803	1485	543
2	0.207	87.625	13.686	1.817	87.249	13.504	0.698	0.402	0.707	0.373	169.144	4131	638
3	0.172	60.443	14.002	1.713	60.177	13.780	0.572	0.444	0.610	0.359	31.245	2857	651
4	0.151	40.337	14.239	1.521	40.047	14.034	0.550	0.402	0.577	0.334	151.736	1899	663
5	0.135	96.445	15.026	1.468	96.287	14.732	0.318	0.572	0.569	0.303	100.875	4553	696
6	0.151	80.912	15.164	1.540	80.730	14.880	0.360	0.572	0.595	0.324	72.695	3823	703
7	0.153	39.276	15.647	1.515	39.031	15.430	0.529	0.402	0.571	0.342	153.427	1848	729
8	0.171	65.339	15.946	1.635	65.088	15.706	0.508	0.487	0.605	0.360	140.064	3077	742
9	0.147	84.628	15.903	1.498	84.349	15.727	0.550	0.360	0.558	0.335	19.757	3998	743
10	0.140	101.122	16.413	1.461	100.902	16.150	0.423	0.487	0.548	0.325	54.162	4780	763
11	0.154	66.755	16.829	1.563	66.463	16.637	0.593	0.381	0.608	0.322	157.310	3146	786
12	0.170	95.857	17.001	1.630	95.568	16.785	0.572	0.423	0.635	0.342	29.962	4531	793
13	0.139	82.514	17.322	1.431	82.232	17.145	0.550	0.339	0.540	0.327	4.360	3897	810
14	0.152	54.093	17.430	1.521	53.806	17.230	0.572	0.381	0.587	0.330	20.299	2560	814
15	0.143	93.329	17.513	1.496	93.154	17.230	0.360	0.550	0.541	0.338	90.196	4409	814
16	0.164	102.198	17.516	1.593	101.939	17.272	0.508	0.487	0.617	0.337	139.203	4820	816
17	0.149	87.832	17.561	1.480	87.651	17.293	0.360	0.529	0.550	0.344	72.117	4149	817
18	0.139	106.280	17.745	1.431	106.003	17.568	0.550	0.339	0.537	0.331	179.791	5018	830
19	0.158	91.357	17.777	1.515	91.059	17.611	0.593	0.339	0.585	0.344	2.585	4311	832
20	0.143	54.037	18.318	1.508	53.806	18.076	0.466	0.487	0.564	0.323	133.655	2545	854
21	0.175	27.888	18.383	1.635	27.644	18.119	0.487	0.529	0.623	0.358	129.214	1308	856
